帖子id,帖子链接,帖子用户名,机器人状态,人的形象,是否比赛视频,robot_status原文,媒体类型,语言,特点,数据原文件地址
M5PcIBeMIvI,https://www.youtube.com/watch?v=M5PcIBeMIvI,Long in China,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
FGBLzMESBAo,https://www.youtube.com/watch?v=FGBLzMESBAo,BBC News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
f032JI60oBo,https://www.youtube.com/watch?v=f032JI60oBo,ANNnewsCH,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
pnz79EmT-V8,https://www.youtube.com/watch?v=pnz79EmT-V8,CNA,失败,服务照护,是,失败（如摔倒，失去能力）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Qbn48UhyUOw,https://www.youtube.com/watch?v=Qbn48UhyUOw,Kagan Dunlap,失败,观众,是,失败（如摔倒，失去能力）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
CHjdtTROPZg,https://www.youtube.com/watch?v=CHjdtTROPZg,Associated Press,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
IJOFuXzuiL8,https://www.youtube.com/watch?v=IJOFuXzuiL8,Lessons in Internet Culture,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
3CYCKobTz1U,Perché questo robot corre in questo modo strano?,Max Brain Devices,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
XgnBN8BLc-o,https://www.youtube.com/watch?v=XgnBN8BLc-o,news.com.au,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
hw0aRVR8EME,https://www.youtube.com/watch?v=hw0aRVR8EME,news.com.au,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
X9PI1gS7r9g,https://www.youtube.com/shorts/X9PI1gS7r9g,Channel 4 News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
AlU49GRCVpM,https://www.youtube.com/watch?v=AlU49GRCVpM,CodersVoice (CodersVoice),强势,服务照护,是,强势（如超高性能，跑得很快）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
0TVWSLPn_Z0,https://www.youtube.com/watch?v=0TVWSLPn_Z0,Chris Wabs,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
eiR-sEmDWu4,https://www.youtube.com/watch?v=eiR-sEmDWu4,BBC News,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Z544uWJpZPk,https://www.youtube.com/watch?v=Z544uWJpZPk,China Observer,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
0Ab5omy4nx4,"Sprint, saut, 400 m : le week-end où la Chine a explosé trois records humains",Le Parisien,混合,服务照护,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Zbkqhor3EKI,https://www.youtube.com/watch?v=Zbkqhor3EKI,Sky News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
ffVCZPWqrfA,https://www.youtube.com/shorts/ffVCZPWqrfA,DW हिन्दी,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
mYgWHn1JOYo,https://www.youtube.com/shorts/mYgWHn1JOYo,日本経済新聞,混合,服务照护,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
wVbssAPXYTw,https://www.youtube.com/watch?v=wVbssAPXYTw,Peter Kappes,混合,服务照护,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
mrGzq-APhVI,https://www.youtube.com/watch?v=mrGzq-APhVI,CodersVoice (CodersVoice),混合,服务照护,是,混合（都有）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
7hO8G6QRbwQ,https://www.youtube.com/watch?v=7hO8G6QRbwQ,CodersVoice (CodersVoice),强势,观众,是,强势（如超高性能，跑得很快）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
p0ONR6lnlxw,https://www.youtube.com/watch?v=p0ONR6lnlxw,CN.科技发布会,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
zmANJKXZQvk,https://www.youtube.com/watch?v=zmANJKXZQvk,DW हिन्दी,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
__1dGrYUJ5Y,https://www.youtube.com/watch?v=__1dGrYUJ5Y,DRM News,,,否,,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
4hZw0Lco3EA,https://www.youtube.com/watch?v=4hZw0Lco3EA,TBS NEWS DIG Powered by JNN,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
iUL4JE1k36A,https://www.youtube.com/watch?v=iUL4JE1k36A,CN.科技发布会,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
NCYerhaAeAs,https://www.youtube.com/watch?v=NCYerhaAeAs,CN.科技发布会,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
QpL16olNJvc,https://www.youtube.com/watch?v=QpL16olNJvc,South China Morning Post,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
D9XApebDAm0,https://www.youtube.com/watch?v=D9XApebDAm0,Diario AS,混合,服务照护,是,混合（都有）,原视频,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
G4veIyMobJc,https://www.youtube.com/watch?v=G4veIyMobJc,Kompas.com,混合,观众,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Di2s9wproyg,https://www.youtube.com/watch?v=Di2s9wproyg,CN.科技发布会,混合,服务照护,是,混合（都有）,官方新闻,中文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
FAjDUG1A_U8,https://www.youtube.com/watch?v=FAjDUG1A_U8,Srishti Kumari,强势,观众,是,强势（如超高性能，跑得很快）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
vTMvlk6-Zsk,https://www.youtube.com/watch?v=vTMvlk6-Zsk,Indian Express Hindi,混合,服务照护,是,混合（都有）,官方新闻,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
JMGycGx3KL8,https://www.youtube.com/watch?v=JMGycGx3KL8,DRM News,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
lftmpTyzSF4,https://www.youtube.com/watch?v=lftmpTyzSF4,CNN,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
SuO-GIrxM-w,https://www.youtube.com/watch?v=SuO-GIrxM-w,CCTV Video News Agency,常态,观众,是,常态（正常跑步和运动）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
x51F4OaRXMY,https://www.youtube.com/shorts/x51F4OaRXMY,Fajri Hendy,混合,观众,是,混合（都有）,民间解读,其他,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
8kmQ9ddce7w,https://www.youtube.com/watch?v=8kmQ9ddce7w,Al Jazeera English,强势,观众,是,强势（如超高性能，跑得很快）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
V9z-kLwst90,https://www.youtube.com/watch?v=V9z-kLwst90,NBC News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
bUoq5cHqvMQ,https://www.youtube.com/watch?v=bUoq5cHqvMQ,SBS News,混合,观众,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
3Y9E2CcMTFk,https://www.youtube.com/shorts/3Y9E2CcMTFk,ABC7,混合,服务照护,是,混合（都有）,官方新闻,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
Ys-3QDMNrPo,https://www.youtube.com/watch?v=Ys-3QDMNrPo,RoboSphäre | Jens Fischer,混合,观众,是,混合（都有）,民间解读,英文,,https://drive.google.com/file/d/14siW89kiojJygWfI8pzVilHCqMTXwBvm/view
