category,term,comment
non_human,它,第三人称非人代词
non_human,它们,第三人称复数非人代词
non_human,这玩意,口语非人化指称
non_human,这东西,口语非人化指称
non_human,那玩意,口语非人化指称
non_human,那东西,口语非人化指称
non_human,机器,物化称呼
non_human,机械,物化称呼
non_human,机器人,通用技术称呼
non_human,机器狗,具身设备称呼
non_human,机子,口语物化称呼
non_human,铁疙瘩,贬义物化称呼
masculinized,他,男性化人称代词
masculinized,他们,男性化复数代词
masculinized,小哥,男性化称呼
masculinized,哥们,男性化称呼
masculinized,大哥,男性化称呼
masculinized,兄弟,男性化称呼
masculinized,老哥,男性化称呼
feminized,她,女性化人称代词
feminized,她们,女性化复数代词
feminized,小姐姐,女性化称呼
feminized,妹妹,女性化称呼
feminized,美女,女性化称呼
feminized,小仙女,女性化称呼
infantilized,娃,幼体化称呼
infantilized,娃娃,幼体化称呼
infantilized,宝宝,幼体化称呼
infantilized,宝贝,幼体化称呼
infantilized,崽,幼体化称呼
infantilized,崽崽,幼体化称呼
infantilized,儿子,亲属化幼体称呼
infantilized,闺女,亲属化幼体称呼
infantilized,小孩,幼体化称呼
infantilized,小朋友,幼体化称呼
infantilized,小家伙,幼体化称呼
