id,bid,user_id,用户昵称,微博正文,话题,转发数,评论数,点赞数,发布时间,发布工具
5289921717208961,QBJh1ufnz,3191106110,车报导,DeepSeek启动首次外部融资？最新消息来了有关国内AI巨头DeepSeek可能正启动首次外部融资的消息，在业内持续传播。对此，某大型国资股权机构人士表示，“有渠道反馈，DeepSeek正启动首次外部融资的消息很有可能属实，目前完全投不进去”，“更多信息不便透露”。(中国证券报)Sora负责人离职OpenAI视频生成平台Sora负责人比尔·皮布尔斯宣布离职。公司正在调整战略，以减少“支线项目”，将重点转向编程和企业应用，皮布尔斯的离开正是这一系列调整的一部分。宇树H1半马赛场终点“累倒”，工作人员担架紧急处置4月19日，2026北京亦庄人形机器人半程马拉松终点，备受关注的宇树H1机器人在赛道上突发姿态失控，摇摇晃晃失去平衡摔倒。现场工作人员立即启动应急方案，用担架将其抬离赛道。这台H1此前排位赛中曾跑出亮眼成绩，被视作热门选手。（科创板日报）Meta计划于5月20日启动今年首轮大规模裁员消息人士称，Meta将在5月20日开始的首轮裁员中裁撤全球约10%的员工，相当于近8000人。这家拥有Facebook与Instagram的科技巨头还计划在今年下半年实施进一步裁员，不过包括具体时间与规模的相关细节，目前尚未最终确定。消息人士补充称，管理层或将根据人工智能技术进展情况调整相关计划。（第一财经）,,0,0,0,2026-04-20 23:31,iPhone客户端
5289914816007512,QBJ5TpcPm,2117355594,彭晓辉,物理产品都有残次品，何况基因的产品人呢？！人的基因控制的产品复杂程度比物理化学原理控制的物质产品成几何级数增加。放弃统计学正态分布范围之外的5%的天生愚笨的人，这一下，教师、家长和学校都解放了。要尊重自然规律，不要忤逆自然规律。你好春天《宇树H1机器人跑马拉松当场摔倒，所谓科技突破只是噱头？#全球纵横谈#》播放量：14万点赞量：547O网页链接,全球纵横谈,0,0,0,2026-04-20 23:03,百度App
5289900759058414,QBIJdC0vs,5308278590,住在月亮上的I人,当“踉跄”成为历史：人形机器人半马改写人类认知这周，一场看似小众的比赛，却成了全网最硬的“破圈”事件。4月19日，北京亦庄，人形机器人半程马拉松鸣枪起跑。没有明星跑者，没有流量加持，赛道两旁却挤满了屏息凝神的观众。不是因为比赛本身多盛大，而是因为一个数字——50分26秒。荣耀研发的“闪电”机器人，以这一成绩率先冲线。它不仅夺冠，更首次在人类半马标准赛道上，跑赢了人类世界纪录（目前男子半马世界纪录约58分钟）。从去年还在踉跄学步、频频摔倒的“萌新”，到如今稳如猎豹、配速惊人，这台机器只用了一年。有人说，这是中国机器人产业的“苏炳添时刻”。但我觉得，它更像一场无声的宣言：机器正在从“工具”进化为“跑者”。回看直播画面，“闪电”的步态流畅得令人恍惚——髋关节的摆动、足底的触地反馈、上身的重心迁移，每一个细节都透着算法与机械的精密协作。它不再需要后方的遥控手柄，也不再依赖预设轨迹。赛道上的坑洼、弯道、坡度，全部由它自己的“大脑”实时决策。这是真正的自主奔跑。更让人感慨的是，这并非实验室里的“完美秀”。当天的风力达到四级，路面有一段石板路，好几台机器人在途中摔倒、关节过热、甚至“抽筋”停机。但“闪电”扛住了。它的工程师赛后说：“我们没给它做任何特殊减重，反而加了配重，就是为了模拟真实负载。”你看，最动人的科技破圈，从来不是炫耀参数，而是在真实的不完美中，跑出完美的韧性。这场比赛之后，网友们不再戏谑机器人“像刚学走路的婴儿”。有人认真算了一笔账：半马21.0975公里，50分26秒完赛，平均配速约2分23秒/公里——这意味着，它已经比绝大多数业余跑者快得多，甚至能跟专业运动员掰掰手腕。当然，我们不必急着讨论“人类会不会被取代”。我更愿意把它看作一面镜子：当机器都能咬牙跑完一场马拉松，我们还有什么理由停下脚步？这一周，“闪电”照亮的不只是亦庄的赛道，更是我们对未来的想象力。科技破圈，破的从来都是认知的圈。——献给每一个仍在奔跑的人，与机器。L住在月亮上的I人的微博视频,,0,1,0,2026-04-20 22:08,iPhone客户端
5289898471855876,QBIFx7MNu,7846495792,一师亦友,机器人跑的越来越快，也越来越稳，相比去年我们看到他们不断的摔倒躺平，磕磕绊绊，今年我们再看机器人跑步，除了对他们的速度感到惊叹之外，更多的是在思考他们到底将会跑向哪里。机器人跑马拉松并非单纯的营销噱头，而是一种极限的技术压力测试，随着他们的硬件素质越来越成熟，算法越来越先进。技术瓶颈打破之后，下一步就是拼商业应用了。人形机器人产业的蓬勃发展期或将很快到来，应用场景也会很快的扩容，未来就看各家企业如何在商业化路径上亮出他们的绝活儿，如何的去百花齐放。,,0,1,0,2026-04-20 21:59,iPhone客户端
5289895924866444,QBIBqkpZ2,7609205541,脑放电波,"#微博声浪计划##听见微博#2026年北京亦庄人形机器人半程马拉松开跑，打破人类半马世界纪录，去年比赛的前三名今年连关门都进不了。本期节目从现场带来20个现场观察、技术与行业判断——从跑姿、构型、散热、自主导航到「为什么机器人一定要人形」，以及荣耀这个手机厂商为什么能闯进机器人领域。01:47赛事背景与成绩：去年冠军今年当关门机器人「去年只有6支机器人完赛，第三名跑了三小时三十五分钟。这个成绩放在今年——只能作为关门机器人。」2026年参赛超100支队伍，冠军荣耀「闪电」（自主组）以50分26秒完赛，打破人类半马世界纪录（人类纪录：基普利莫，57分20秒，2026年3月）遥控组冠军荣耀以48分19秒冲线，乘1.2系数后排名第九；前三名全部来自自主导航组规则细节：自主组系数1.0，遥控组系数1.2；换机器人首次罚15分钟；换电不罚时但计时不暂停去年天工冠军靠的是跟着背信标领航员的UWB半自主导航，今年全自主——连保障车都追不上现场直击：开车追机器人，没追上「我在两点五公里处等着，过了一分钟才看到人影慢慢过来——在那个点就已经拉开一分钟的距离。」Nixon从起点附近跑到4~6公里处的补给点，下车时跑得快的机器人早已过去，能看到的全是「老弱病残」遥控手去年是闲庭信步跟在后面，今年速度超人类极限，全部改坐高尔夫球车；部分宇树队用笔记本摁方向键遥控，为了实时看内部参数备用机器人被安全带绑在保障车最后一排，「像个观众一样坐着」10:40跑姿观察：快不等于美，下肢还没有泛化「人类跑得最快的，一定也是最美的——但机器人今天还做不到又快又美。」前几名机器人入弯瞬间普遍有短暂「停顿」，切换policy，相当于电脑切换任务时的loading过弯时机器人无法整体倾斜，只能靠下肢呈倒V字形补偿——根本原因：脚踝左右自由度被拿掉，无法提供足够向心加速度荣耀「元气仔」，使用马拉松运动员动捕数据训练，央视直播解说称「跑姿像女性马拉松选手」强化学习+模仿学习（AMP）让跑姿越来越像人，但retargeting（仿真到真实机器人的映射）的损失是跑姿不够好的根本瓶颈29:43构型之争：翘臀派vs三角裤派「前三名都是那种翘臀，荣耀、宇树H1、天工——已经有点超越仿生学了。」适合高动态奔跑的构型：髋关节宽、臀部后翘（「青蛙翘臀」），荣耀闪电/宇树H1/天工均是此构型宇树H2和特斯拉擎天柱是另一派：「三角裤」构型，更接近人体外形，适合日常行走和精细作业，但不适合高动态跑步「刀锋战士」：碳纤维C型弹性脚板（仿义肢），理论上最省力，但最终名次不佳——算法与材料弹性配合未到位托马斯白观点：这不是超越仿生学，而是像短跑运动员/长跑运动员/举重运动员各自发展出了不同体态——仍然是对人类的分场景模仿35:55散热战场：水冷、干冰与自带烟雾「有的机器人赛前在关节位置放了干冰，跑着跑着就自带烟雾效果——搞不好有人以为着火了。」今年头部队伍全部收敛到液冷方案：背后超大风扇+软胶水管连至膝踝关节没用水冷的基本进不了前十；部分队伍跑一段就停下来，工作人员手持「涂鸦罐」往关节处喷降温喷雾电机散热是核心瓶颈：往复运动导致发热，有效散热面积不足，制约电机持续输出功率38:20荣耀为什么赢：手机厂商的可靠性体系「荣耀的6台机器人全部完赛，撞了护栏、担架都出来了，结果迅速恢复步态完成最后200米冲刺。」手机厂商的跌落测试、散热经验、工业制造一致性，直接平行转移到机器人——这是初创机器人公司短期内补不齐的电机扭矩达400牛米（官方采访数据），相当于汽车发动机水准，且全部自研自产ID设计：「蚕蛹/机甲风」外壳兼顾风阻系数，整体完成度远高于大多数参赛机器人「极海战术」的另一面：头部团队派6~8台机器人参赛，本质是policy未收敛+一致性未达标时的风险对冲46:25遥控与导航：看起来和开车一样，实际上不是「我以为封路的赛道应该很简单，但它识别到障碍物、切换policy，结果两台机器人把赛道堵死了。」首摔事故：宇树机器人摔倒堵赛道，天工机器人避障时切换policy失败，连环倒地日夜训练环境差异、赛道旁人群张牙舞爪、阳光直射——这些cornercase在仿真中模拟了，但SIMtoReal的gap仍然存在今年自主组普遍采用RTK（厘米级局域GPS）+激光雷达+视觉避障的多传感器融合方案，比自动驾驶面对的环境更复杂52:12下肢的历史以及为什么重要：它不是坐骑，是上肢的一部分「FigureAI的Demo里，机器人用屁股顶了一下洗衣机的门——因为腿在那里，所以屁股才能在那里。」为什么一定要人形双腿：通过性（台阶/窄道/侧身进储物间）、重心稳定（盘式底盘需几百公斤才不倒）、人类社会环境完全为双腿设计下肢不是坐骑：腰部前弯需要下肢固定支撑，两腿叉开才能让上肢伸够目标，「用屁股顶洗衣机门」也是下肢在工作2026年初投资圈对下肢领域「回春」：运控新成果涌现，部分投资人重新关注下肢方向创业者——「跑得更快更强的冲击感，目前还是下肢更猛」人物：托马斯白-“脑放电波”主播，消费电子营销人，科技媒体特约作者Nixon-”脑放电波“主播，硬件产品经理，前媒体记者剪辑制作：Jeff欢迎订阅脑放电波，2024/25苹果播客周度推荐节目、小宇宙累计12次编辑推荐单集、2024CPA播客中文奖年度科技数码类播客欢迎在评论区留言发表你对机器人马拉松的感受与看法对于节目话题的更多观点，获取更多未呈现在节目中的扩展阅读，欢迎添加脑放电波小助手微信（BrainAMP01），附言“机器人”，加群参与讨论，后续会发布本期节目的文字稿节目中用到的音乐：来自monkeyman535的90'sRockStyle，地址freesound.org；来自kjartan_abel的BerlinTown，地址freesound.org；基于CCBY4.0DEED使用。脑放电波往期节目精选（搜索关键词可收听）具身智能：灵巧手/消费机器人浪潮/戴森与追觅/大疆扫地机/宇树机器人/斯坦福AlohaAI造物：3D打印机/3D打印的""iPhone时刻""/3D扫描、生成与打印/AI玩具和国产芯片AI应用：闪念贝壳汽车聚变、泛科技生活：SU7营销复盘/3D打印/孵化大疆饮食健康、现代病人：AI助推造神/生物骇客/AI内容真假难辨/控糖革命/信息过载/长寿革命/阿斯巴甜致癌疑云苹果特权：腕上革命/设计哲学/苹果供应链迷思/苹果广告底层逻辑/iPhone15和它的前任们/苹果零售店AI相关节目：人机交互的与“iPhone时刻”/会喘气的AI语音里藏着下一代交互范式/解构AppleIntelligence/和李楠聊AI硬件/611款AI生产力工具；脑放电波是一档关注科技前沿、品牌营销和个人成长的谈话类节目。每期带给您一个有趣有据的话题，帮您在信息严重过载的现代世界小幅自我迭代。您可以在小宇宙、苹果播客或者其他泛用型播客客户端搜索“脑放电波”找到并关注我们，如果您对本期节目有任何疑问，欢迎您给我们留言，如果您觉得这期内容对你有所帮助，欢迎您关注点赞收藏转发，这对我们非常重要。脑放电波的微博音频","微博声浪计划,听见微博",1,0,0,2026-04-20 21:48,微博音频
5289895384847236,QBIAykkZe,2157253621,科技潮数码,#微博声浪计划##听见微博#宇树H1机器人半马赛场终点累倒引发关注。其赛前测试成绩亮眼，正赛却因关节过热、算法误差失控摔倒。赛事暴露散热短板，也为技术优化提供数据。2026年人形机器人量产加速，租赁市场将破百亿，技术路线争论持续。科技潮数码的日常超话#宇树h1机器人半马赛场终点累倒#科技潮数码的微博音频,"微博声浪计划,听见微博,宇树h1机器人半马赛场终点累倒",0,0,1,2026-04-20 21:46,科技潮数码的日常超话
5289894171904736,QBIyB7Zvy,1301904252,江苏新闻,【#评新而论#｜#人类半马纪录被机器人秒了吗#？不，是产业赛道整体在提速】50分26秒，这是今年的冠军、来自荣耀齐天大圣队的机器人“闪电”的夺冠成绩；57分20秒，这是目前人类男子半马世界纪录。从“群魔乱舞”到超越人类半马世界纪录，中国的人形机器人，只用了一年的时间。从“能跑”到“快跑”“稳跑”，这是中国人形机器人产业最可怕的竞争力：不是某一家公司跑得快，而是整条赛道都在提速。路还长，但步子已经稳了。下一程，不再是跑不跑得动，而是看它能带着我们，跑多远。L江苏新闻的微博视频,"评新而论,人类半马纪录被机器人秒了吗",4,0,10,2026-04-20 21:41,微博视频号
5289893773187144,QBIxXdn7y,5487676937,今日份维C满满full,#机器人半马摔倒率大幅下降#机器人肉眼可见的一直进步,机器人半马摔倒率大幅下降,0,0,0,2026-04-20 21:40,iPhone客户端
5289893253089245,QBIx7cXEx,7501277582,财闻,【#机器人跑赢人类#？不，是人类跑赢了自己】那些机器人在赛道上奔跑，它们摔倒，爬起来，再摔倒，再爬起来。它们不知道为什么要跑，不知道终点意味着什么，不知道这场比赛对人类来说意味着什么——它们只是在执行被设定的程序。但赛道两旁的人类观众知道，他们看到的是技术的力量，也是人类的选择：是恐惧地站在原地，还是带着清醒的认知，勇敢地跑向未来。O机器人跑赢人类？不，是人类跑赢了自己,机器人跑赢人类,0,0,0,2026-04-20 21:38,微博 weibo.com
5289888598721901,QBIpBAAXP,1901150073,长夜望星,荣耀机器人横扫机器人马拉松比赛——来自大厂的降维碾压4月19日，北京亦庄迎来了一场备受关注的“半程马拉松暨人形机器人半程马拉松”比赛。这里汇聚了国内外众多专业研发团队，比拼的是人形机器人的续航、稳定性、步态算法、散热等全方位实力。来自荣耀的“闪电”机器人，一亮相便惊艳全场。最终凭借极致的性能，以50分26秒的成绩，跑完21.0975公里，不仅轻松斩获赛事冠军，更把上届比赛冠军2小时40分钟的成绩提高了近70%，也超越了人类半马的世界纪录。此次赛事的前六名，皆被荣耀机器人包揽。荣耀的另一款机器人“元气仔”，以最接近人类的步态，获得了“最佳步态”的专项奖。这些奖项让荣耀团队成为赛场最耀眼的存在。用实力证明了其在双足机器人领域后来居上的顶尖水平。这款“闪电”机器人身高169厘米，有效腿长95厘米，设计模仿了专业的长跑运动员的身体比例。工程师上移关节旋转中心，重心优化，步幅大、步频稳，适合长距离高速奔跑。闪电背部的“小书包”是分布式液冷系统，管道深入电机内部，散热效率高，长距离不减速、不宕机。同时，它的运动控制系统拥有多传感器和自研的运控算法，使其在运动状态中能根据环境快速调整姿态，稳定跑完全程。这场机器人马拉松的胜利，是电子消费领域大厂跨界的一次尝试，深刻展示了大厂雄厚的研发优势与技术沉淀，让人们不禁对行业的格局进行再度审视。荣耀制胜密码：算力替代传统实验，消费电子技术跨界应用央视在深圳坪山的荣耀研发中心实地采访，披露了荣耀能在短时间内研发出冠军级机器人的关键，首先在于跳出了传统研发思维，依托虚拟算力迭代，替代实验室反复试错。传统机器人研发，依赖实体样机反复拆改、测试、优化，材料选型、结构设计、步态调试都要靠线下实验，往往耗时数年、成本极高。荣耀搭建的超级数据中心与数字化仿真实验室，将机器人全机身数字化建模，在虚拟环境中完成所有测试。依托千余种材料数据库，快速匹配最优材质，再通过AI算法在虚拟场景里迭代近3万次方案。奔跑姿态、关节受力、散热布局、摔倒自救等所有细节，都在电脑里测算完毕，现实中快速落地成型，仅用7个月就完成了传统团队数年的研发进度。另一方面，荣耀将手机等消费电子领域深耕多年的成熟技术，直接平移到机器人身上：手机级液冷散热技术“放大”成全身散热系统，跑完半马关节温度仅30多度，杜绝过热死机。消费级高密电池+智能省电算法，得以让冠军“齐天大圣队”的机器人拥有强大的续航能力，全程无需更换电池。手机、汽车领域的轻量化高强度材料，让机器人材料兼顾轻便与耐用。AI智能算法，实现快速平衡恢复、自主导航避障，应对复杂环境游刃有余。这些经过市场验证的成熟技术，让荣耀机器人从诞生之初，就站在了更高的技术起点。荣耀机器人的夺冠之后，重新审视深圳的科技积淀荣耀机器人的诞生地深圳，一度在机器人领域落后，曾经引发了行业、媒体和投资圈对深圳科技后劲的强烈质疑。一直以来深圳缺少顶尖高校、国家级重点实验室，在AI大模型、通用算法、生物信息、前沿科学等非硬件领域，势头远弱于北京、杭州。然而这次机器人半马的成绩，让我们看到深圳在科技研发领域的积累依然不容小觑，一定程度上弥补了其在创投领域的短板。这里的科技企业就是最强研发机构，超九成研发投入来自企业；华为、比亚迪、荣耀、腾讯、大疆等大厂，深耕自己领域多年，手握海量的核心专利。从芯片、材料、算法到精密制造，全产业链闭环成熟。这些企业平日里深耕主业，技术储备深藏不露，一旦跨界切入新赛道，工业技术的相通之处就能让技术储备快转化成产品的竞争力，形成降维打击。同时深圳作为“文化沙漠”，缺乏人文社科领域带来的舆论和情怀营造能力。一种深藏与一种缺失，让深圳的整体科技实力，难以被完整窥见，值得业界重新审视与评估。大厂跨界降维打击，初创公司该去往何方？这次比赛的结果也带给了我们另一个思考——荣耀用消费电子技术跨界碾压机器人比赛，这反映出了一个残酷的现实，手握技术、资金、供应链、人才的科技大厂，跨界切入新兴赛道时，凭借成熟技术与资源优势，对初创公司形成降维打击。初创团队耗时数年研发的技术、积累的经验，在大厂的资源面前不堪一击，行业竞争门槛被彻底拉高。笔者在做投资尽调时遇到过这种初创公司，很早就发现了某赛道，早期成长迅速，后来突然收入和利润断崖式下跌，关键时间节点是某大厂进入这个赛道。面对大厂在科技领域“赢者通吃、技术碾压”的格局，初创公司未来的路也许会愈发艰难。一个可行的突围方向，是深入大厂无暇顾及的小众细分赛道。毕竟大厂追求规模化和大众化市场，往往不会主动布局那些精细化、长尾化的领域。初创公司若能聚焦垂直场景，深耕细分技术，把专业壁垒做深做精，能在一定程度上避开正面交锋。但这本质上仍是一种被动应对。如何在科技“赢者通吃”的时代真正呵护新生初创公司，需要社会各方共同发力。例如资本层面有更多耐心的资本，基础设施层面可建立共享的测试基地，政策层面在采购、招标中为中小企业预留份额。当然，这些路径尚无标准答案，究竟如何平衡竞争与共生、效率与多样性，还需要社会各界和创业者们在实践中共同探索。#荣耀机器人##机器人马拉松北京亦庄开跑##荣耀机器人首次参赛就夺冠#,"荣耀机器人,机器人马拉松北京亦庄开跑,荣耀机器人首次参赛就夺冠",0,0,0,2026-04-20 21:19,HUAWEI Mate 40 Pro+
