帖子id,类别,机器人状态,人的形象,过滤前,删除,保留,删除率%,含@,重复片段,纯emoji,空内容,一级评论次数,二级评论次数,帖子链接
69db34bb000000001a0348ae,失败|抢救者,失败,抢救者,1145,731,414,63.8,661,53,3,14,483.0,662.0,https://www.xiaohongshu.com/explore/69db34bb000000001a0348ae?source=webshare&xhsshare=pc_web&xsec_token=ABmGnOO3uUiWICJt2WQTIPmVYSmSx6guxTfsmY6azmrM8=&xsec_source=pc_share
69df625d0000000021005c63,失败|观众,失败,观众,3248,1336,1912,41.1,1114,200,12,10,,,https://www.xiaohongshu.com/explore/69df625d0000000021005c63?source=webshare&xhsshare=pc_web&xsec_token=ABmwDHDtxW8ICF6uM0M4EqkNMm0_ID6NkuwJDN5IuQzbo=&xsec_source=pc_share
69e48b0b000000001a02578c,失败|服务者,失败,服务者,429,152,277,35.4,139,10,0,3,,,https://www.xiaohongshu.com/explore/69e48b0b000000001a02578c?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf1DeOvkqWWv4W7Y_5Ep9iZI=&xsec_source=pc_share
69e2583b00000000230211ea,失败|抢救者,失败,抢救者,2351,544,1807,23.1,463,48,1,32,1803.0,548.0,https://www.xiaohongshu.com/explore/69e2583b00000000230211ea?source=webshare&xhsshare=pc_web&xsec_token=ABEh-jaB3qs_ulEnGc0ym9HQaX5VchRhbYJsK_5JN8jII=&xsec_source=pc_share
69e41e24000000001a025f1a,失败|观众,失败,观众,125,10,115,8.0,8,2,0,0,87.0,38.0,https://www.xiaohongshu.com/explore/69e41e24000000001a025f1a?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pTeKWMG0bczPVWjI-PKiWg4=&xsec_source=pc_share
69e429b4000000001b00037a,常态|观众,常态,观众,1360,642,718,47.2,565,69,0,8,,,https://www.xiaohongshu.com/explore/69e429b4000000001b00037a?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBGl5EWuZ01NccooWZo8fji9JyQabNSst4pOdwuW38QdU=&author_share=1&xhsshare=CopyLink&shareRedId=Nzw5NDU-OUo2OkpEQTwzOj46Pk1JSEw-&apptime=1778476600&share_id=612df443888d4c46af42d11bf28564fc
69e43a5a000000001d01dcc7,常态|观众,常态,观众,143,49,94,34.3,37,9,0,3,73.0,70.0,https://www.xiaohongshu.com/explore/69e43a5a000000001d01dcc7?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pWWcyDJgZkEGIP1wQE4k6N8=&xsec_source=pc_share
69e44f3a000000002301079c,常态|观众,常态,观众,12,4,8,33.3,1,1,0,2,10.0,2.0,https://www.xiaohongshu.com/explore/69e44f3a000000002301079c?source=webshare&xhsshare=pc_web&xsec_token=CBIKdUwRBDKLtFUfL9ckADqvu5WnQfrCeMbQRtezhhUWE=&xsec_source=pc_share
69e46032000000001f002048,常态|保护者,常态,保护者,5005,1096,3909,21.9,1020,61,2,13,,,https://www.xiaohongshu.com/explore/69e46032000000001f002048?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBGl5EWuZ01NccooWZo8fji9ToO8TGzw2vfxoVG8aiMi8=&author_share=1&xhsshare=CopyLink&shareRedId=Nzw5NDU-OUo2OkpEQTwzOj46Pk1JSEw-&apptime=1778476558&share_id=5ef79586de544f50bc49b22aa568b5e7
69e634590000000022003bb5,常态|观众,常态,观众,426,57,369,13.4,49,6,0,2,,,https://www.xiaohongshu.com/explore/69e634590000000022003bb5?source=webshare&xhsshare=pc_web&xsec_token=ABegEExteR-fh44OcwJc-MQkW6u9PDssK7meNVt9Wpgjc=&xsec_source=pc_share
