帖子id,post_category,robot_status,human_role,corpus,帖子链接,帖子正文,clean_L1,clean_L2,shared_L1,shared_L2,clean_合计,shared_合计,保留率
69e44278000000001a0217bb,强势|被超越者,强势,被超越者,batch1,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",148,161,112,114,309,226,0.7314
69e4551e000000001f005895,强势|被超越者,强势,被超越者,batch1,https://www.xiaohongshu.com/explore/69e4551e000000001f005895?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pTKJy_HE5kGjVCcdECQtSM4=&xsec_,"恭喜荣耀包揽金银铜所有奖项！中国力量[赞R]

",87,328,61,184,415,245,0.5904
69e4426b000000001d01c7ed,混合|观众,混合,观众,batch1,https://www.xiaohongshu.com/explore/69e4426b000000001d01c7ed?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pbUIlFyuaHMlMd6ouyFruIs=&xsec_source=pc_share,"

",767,1528,500,757,2295,1257,0.5477
69e2583b00000000230211ea,失败|抢救者,失败,抢救者,batch1,https://www.xiaohongshu.com/explore/69e2583b00000000230211ea?source=webshare&xhsshare=pc_web&xsec_token=ABEh-jaB3qs_ulEnGc0ym9HQaX5VchRhbYJsK_5JN8jII=&xsec_source=pc_share,"马拉松上机器人跑崩了，零件掉一地，最后躺着上担架。

",1391,416,916,269,1807,1185,0.6558
69db34bb000000001a0348ae,失败|抢救者,失败,抢救者,batch1,https://www.xiaohongshu.com/explore/69db34bb000000001a0348ae?source=webshare&xhsshare=pc_web&xsec_token=ABmGnOO3uUiWICJt2WQTIPmVYSmSx6guxTfsmY6azmrM8=&xsec_source=pc_share,"亦庄机器人马拉松

",98,316,74,147,414,221,0.5338
69e41e24000000001a025f1a,失败|观众,失败,观众,batch1,https://www.xiaohongshu.com/explore/69e41e24000000001a025f1a?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pTeKWMG0bczPVWjI-PKiWg4=&xsec_source=pc_share,"

",79,36,48,28,115,76,0.6609
69da7e87000000001a03484e,强势|观众,强势,观众,batch1,https://www.xiaohongshu.com/explore/69da7e87000000001a03484e?source=webshare&xhsshare=pc_web&xsec_token=ABNBHHNeP1pQepTYoKTNbl6lC82nUfCh7p4tjQ0yh3Yco=&xsec_source=pc_share,"是什么让我熬夜剪视频，是亦庄的机器人马拉松测试！！快的几位是真快啊，完全是原速度（按跑过我面前的速度排序），咣当咣当跑过去了
慢的也是真慢，还有没头的机器人，也有摔跤的跑得歪歪扭扭突然不跑的，早上再剪了 总得来说很有意思

",3106,2188,2507,1546,5294,4053,0.7656
69e42cc100000000220001ad,弱势|观众,弱势,观众,batch1,https://www.xiaohongshu.com/explore/69e42cc100000000220001ad?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pTtWvzTgk7t_UqtKL02iuV8=&xsec_source=pc_share,"

",939,710,545,390,1649,935,0.567
69e47f8f000000001f007203,混合|观众,混合,观众,batch1,https://www.xiaohongshu.com/explore/69e47f8f000000001f007203?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pa0nehc6OZnM27rlZfWbIec=&xsec_source=pc_share,"记录一下2026年的机器人状态，五年后再看！

",1556,1484,1081,882,3040,1963,0.6457
69e6f2bc0000000023005345,弱势|观众,弱势,观众,batch1,https://www.xiaohongshu.com/explore/69e6f2bc0000000023005345?source=webshare&xhsshare=pc_web&xsec_token=ABa-SF7HSETP6hVMh5HXuewX25bgOc_J1O8RyXVzwM-gE=&xsec_source=pc_share,"

",193,158,140,105,351,245,0.698
69e48d54000000002102e178,弱势|保护者,弱势,保护者,batch1,https://www.xiaohongshu.com/explore/69e48d54000000002102e178?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pbE4Gbh9JiGOnx4gle4oDZk=&xsec_source=pc_share,"即使失败，工程师依然深深爱着自家机器人小孩[哭惹R]

",78,401,55,223,479,278,0.5804
