relation_type,term,n_comments,share_in_all_comments,median_like
parenting,孩子,194,0.006208993438950232,0.0
parenting,养,155,0.00496079372699632,0.0
parenting,娃,82,0.0026244199071851497,0.0
parenting,宝宝,77,0.0024643943030884944,0.0
parenting,妈妈,40,0.0012802048327732437,0.0
parenting,宝贝,31,0.000992158745399264,0.0
parenting,长大,23,0.0007361177788446151,0.0
parenting,儿子,18,0.0005760921747479596,0.0
parenting,爸爸,16,0.0005120819331092975,0.0
parenting,娃娃,15,0.00048007681228996637,0.0
parenting,带娃,10,0.0003200512081933109,0.0
parenting,闺女,5,0.00016002560409665546,0.0
peer_worker,上班,72,0.0023043686989918386,0.0
peer_worker,失业,43,0.001376220195231237,0.0
peer_worker,像我,34,0.0010881741078572571,0.0
peer_worker,同事,9,0.0002880460873739798,0.0
peer_worker,像极了我,4,0.00012802048327732437,0.0
peer_worker,打工人,3,9.601536245799327e-05,0.0
peer_worker,社畜,1,3.200512081933109e-05,0.0
pet_cute,可爱,588,0.018819011041766684,0.0
pet_cute,萌,172,0.005504880780924948,0.0
pet_cute,小朋友,39,0.0012481997119539127,0.0
pet_cute,心疼,20,0.0006401024163866218,0.0
pet_cute,小可爱,12,0.0003840614498319731,0.0
pet_cute,太萌了,6,0.00019203072491598655,0.0
pet_cute,狗子,3,9.601536245799327e-05,0.0
pet_cute,扶起来,2,6.401024163866218e-05,0.5
pet_cute,修狗,1,3.200512081933109e-05,0.0
species_competition,人类,607,0.019427108337333972,0.0
species_competition,取代,53,0.001696271403424548,0.0
species_competition,跑不过,48,0.0015362457993278924,0.0
species_competition,追不上,28,0.0008961433829412706,0.0
species_competition,造反,17,0.0005440870539286286,1.0
species_competition,碳基,15,0.00048007681228996637,0.0
species_competition,碳基生物,9,0.0002880460873739798,0.0
species_competition,统治地球,6,0.00019203072491598655,0.0
species_competition,灭绝,4,0.00012802048327732437,0.0
species_competition,威胁,2,6.401024163866218e-05,0.0
tool_toy,机器,4240,0.13570171227396383,0.0
tool_toy,机器人,3973,0.12715634501520243,0.0
tool_toy,遥控,748,0.02393983037285966,0.0
tool_toy,这玩意,197,0.006305008801408225,0.0
tool_toy,玩具,138,0.00441670667306769,0.0
tool_toy,没用,67,0.0021443430948951832,0.0
tool_toy,遥控玩具,55,0.0017602816450632101,0.0
tool_toy,意义在哪,53,0.001696271403424548,0.0
tool_toy,这东西,31,0.000992158745399264,0.0
tool_toy,那玩意,14,0.0004480716914706353,0.0
warrior_hero,战场,152,0.004864778364538326,0.0
warrior_hero,上战场,59,0.0018883021283405345,0.0
warrior_hero,冲锋,21,0.0006721075372059529,0.0
warrior_hero,战士,19,0.0006080972955672907,0.0
warrior_hero,坚持,16,0.0005120819331092975,0.0
warrior_hero,英雄,9,0.0002880460873739798,0.0
