topic_cluster,post_category,relation_type,n_comments,n_hit_comments,hit_rate
0,all,parenting,31,0,0.0
0,all,peer_worker,31,0,0.0
0,all,pet_cute,31,1,0.03225806451612903
0,all,species_competition,31,0,0.0
0,all,tool_toy,31,3,0.0967741935483871
0,all,warrior_hero,31,0,0.0
0,中性|观众,parenting,19,0,0.0
0,中性|观众,peer_worker,19,0,0.0
0,中性|观众,pet_cute,19,0,0.0
0,中性|观众,species_competition,19,0,0.0
0,中性|观众,tool_toy,19,1,0.05263157894736842
0,中性|观众,warrior_hero,19,0,0.0
0,中性|评价者,parenting,2,0,0.0
0,中性|评价者,peer_worker,2,0,0.0
0,中性|评价者,pet_cute,2,0,0.0
0,中性|评价者,species_competition,2,0,0.0
0,中性|评价者,tool_toy,2,0,0.0
0,中性|评价者,warrior_hero,2,0,0.0
0,失败|抢救者,parenting,27,0,0.0
0,失败|抢救者,peer_worker,27,0,0.0
0,失败|抢救者,pet_cute,27,0,0.0
0,失败|抢救者,species_competition,27,0,0.0
0,失败|抢救者,tool_toy,27,2,0.07407407407407407
0,失败|抢救者,warrior_hero,27,0,0.0
0,弱势|同伴,parenting,3,0,0.0
0,弱势|同伴,peer_worker,3,0,0.0
0,弱势|同伴,pet_cute,3,0,0.0
0,弱势|同伴,species_competition,3,0,0.0
0,弱势|同伴,tool_toy,3,0,0.0
0,弱势|同伴,warrior_hero,3,0,0.0
0,弱势|观众,parenting,22,1,0.045454545454545456
0,弱势|观众,peer_worker,22,0,0.0
0,弱势|观众,pet_cute,22,2,0.09090909090909091
0,弱势|观众,species_competition,22,1,0.045454545454545456
0,弱势|观众,tool_toy,22,0,0.0
0,弱势|观众,warrior_hero,22,0,0.0
0,强势|服务者,parenting,68,1,0.014705882352941176
0,强势|服务者,peer_worker,68,0,0.0
0,强势|服务者,pet_cute,68,0,0.0
0,强势|服务者,species_competition,68,0,0.0
0,强势|服务者,tool_toy,68,7,0.10294117647058823
0,强势|服务者,warrior_hero,68,0,0.0
0,成功|被超越者,parenting,2,0,0.0
0,成功|被超越者,peer_worker,2,0,0.0
0,成功|被超越者,pet_cute,2,0,0.0
0,成功|被超越者,species_competition,2,0,0.0
0,成功|被超越者,tool_toy,2,0,0.0
0,成功|被超越者,warrior_hero,2,0,0.0
0,成功|观众,parenting,30,0,0.0
0,成功|观众,peer_worker,30,0,0.0
0,成功|观众,pet_cute,30,0,0.0
0,成功|观众,species_competition,30,0,0.0
0,成功|观众,tool_toy,30,3,0.1
0,成功|观众,warrior_hero,30,0,0.0
1,all,parenting,59,0,0.0
1,all,peer_worker,59,0,0.0
1,all,pet_cute,59,1,0.01694915254237288
1,all,species_competition,59,0,0.0
1,all,tool_toy,59,5,0.0847457627118644
1,all,warrior_hero,59,0,0.0
1,中性|观众,parenting,77,0,0.0
1,中性|观众,peer_worker,77,0,0.0
1,中性|观众,pet_cute,77,0,0.0
1,中性|观众,species_competition,77,0,0.0
1,中性|观众,tool_toy,77,2,0.025974025974025976
1,中性|观众,warrior_hero,77,0,0.0
1,中性|评价者,parenting,3,0,0.0
1,中性|评价者,peer_worker,3,0,0.0
1,中性|评价者,pet_cute,3,0,0.0
1,中性|评价者,species_competition,3,0,0.0
1,中性|评价者,tool_toy,3,0,0.0
1,中性|评价者,warrior_hero,3,0,0.0
1,失败|抢救者,parenting,41,1,0.024390243902439025
1,失败|抢救者,peer_worker,41,0,0.0
1,失败|抢救者,pet_cute,41,1,0.024390243902439025
1,失败|抢救者,species_competition,41,0,0.0
1,失败|抢救者,tool_toy,41,0,0.0
1,失败|抢救者,warrior_hero,41,0,0.0
1,失败|观众,parenting,2,0,0.0
1,失败|观众,peer_worker,2,0,0.0
1,失败|观众,pet_cute,2,0,0.0
1,失败|观众,species_competition,2,0,0.0
1,失败|观众,tool_toy,2,0,0.0
1,失败|观众,warrior_hero,2,0,0.0
1,弱势|同伴,parenting,15,0,0.0
1,弱势|同伴,peer_worker,15,0,0.0
1,弱势|同伴,pet_cute,15,0,0.0
1,弱势|同伴,species_competition,15,0,0.0
1,弱势|同伴,tool_toy,15,0,0.0
1,弱势|同伴,warrior_hero,15,0,0.0
1,弱势|观众,parenting,24,0,0.0
1,弱势|观众,peer_worker,24,0,0.0
1,弱势|观众,pet_cute,24,1,0.041666666666666664
1,弱势|观众,species_competition,24,0,0.0
1,弱势|观众,tool_toy,24,0,0.0
1,弱势|观众,warrior_hero,24,0,0.0
1,强势|服务者,parenting,52,0,0.0
1,强势|服务者,peer_worker,52,0,0.0
1,强势|服务者,pet_cute,52,0,0.0
1,强势|服务者,species_competition,52,1,0.019230769230769232
1,强势|服务者,tool_toy,52,4,0.07692307692307693
