post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.9798507462686568,1
中性|观众,1,0.020149253731343283,1
中性|评价者,0,0.9848484848484849,2
中性|评价者,1,0.015151515151515152,2
失败|抢救者,0,0.9855422355422356,2
失败|抢救者,1,0.014457764457764458,2
失败|观众,0,0.8666666666666667,1
失败|观众,1,0.13333333333333333,1
弱势|同伴,0,0.979933110367893,1
弱势|同伴,1,0.020066889632107024,1
弱势|观众,0,0.9820957025927284,2
弱势|观众,1,0.017904297407271667,2
弱势|评价者,0,1.0,1
弱势|评价者,1,0.0,1
强势|服务者,0,0.802885924312551,1
强势|服务者,1,0.19711407568744896,1
成功|服务者,0,1.0,1
成功|服务者,1,0.0,1
成功|被超越者,0,0.9631270310996533,2
成功|被超越者,1,0.03687296890034676,2
成功|观众,0,0.9729303547963206,1
成功|观众,1,0.02706964520367937,1
