帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,topic
69e481e8000000002003ad94,"

",,,2,69e4916c0000000014018c09,69e490ae000000001401d42a,5a3cea154eacab600209420b,为以后做准备，复杂地形，废墟，山地，城市，你懂的[偷笑R]。之后还会有多足机器人，那玩意可就吓人了,2026.04.19,上海,8904.0,,49,强势|服务者,强势,服务者,12,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4a270000000001401a802,,61a087b8000000001000d34d,这个我懂，在它们统治地球之前，先留一个好印象。,2026.04.19,河北,7973.0,168.0,23,弱势|同伴,弱势,同伴,5,0
69e2583b00000000230211ea,"

",,2406.0,2,69e2fc72000000001401900a,69e2fc2d000000001401b82a,618b91c8000000001000c813,恭喜你 发明了汽车,2026.04.18,湖南,7631.0,,9,失败|抢救者,失败,抢救者,3,0
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,1,69e47e4a000000001401cc1c,,55fa1118a75c9522d84386a4,哈哈哈哈从《我追一下》到《拜拜了您呐》只用了五秒[偷笑R][偷笑R],2026.04.19,北京,6956.0,61.0,34,成功|被超越者,成功,被超越者,4,0
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,1,69e60d1b0000000014019808,,5d667be70000000001004975,怎么不拍豆脚，她也参赛了。,2026.04.20,湖南,6640.0,357.0,13,,,,2,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2fc2d000000001401b82a,,5d7ee9340000000001007f91,能不能做成四个轮子的，加一种液体就可以跑起来的那种！,2026.04.18,陕西,6166.0,158.0,26,失败|抢救者,失败,抢救者,7,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e451fd000000001401c806,,5d6548b6000000000101abd0,太可爱啦还拿着奶瓶�[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R][笑哭R],2026.04.19,广东,5607.0,124.0,40,中性|观众,中性,观众,2,0
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,1,69e51ef20000000014019c03,,651906110000000032309248,不务正业，停下来互动[笑哭R][笑哭R],2026.04.20,广东,5523.0,181.0,20,,,,3,0
69e481e8000000002003ad94,"

",,,1,69e490ae000000001401d42a,,5b92131965aece0001d21a33,比跑步干嘛非要人形，轮子不是更快[笑哭R],2026.04.19,浙江,4733.0,1334.0,21,强势|服务者,强势,服务者,6,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daef220000000035024590,,6225a0840000000010004d0d,你们这些说机器人跑步没用的人。想想你们老的走不动路的时候。突然心梗 机器人就可以飞一样背着去医院。,2026.04.12,美国,4613.0,241.0,49,成功|观众,成功,观众,13,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4a662000000001401a016,69e4a2e5000000001401b816,604d8387000000000100a4db,那也是他的心血和作品，确实跟自己孩子似的,2026.04.19,湖南,4242.0,,20,弱势|同伴,弱势,同伴,5,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4a2e5000000001401b816,,5b16a94b11be100f2c360749,他是怕摔下来，公司要他赔,2026.04.19,广东,4072.0,41.0,12,弱势|同伴,弱势,同伴,2,0
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e4573a000000001401a417,,599fe7ce6a6a6917a03c4e09,您是生命的热烈，它是钢铁的进步[赞R],2026.04.19,北京,3905.0,33.0,19,成功|被超越者,成功,被超越者,4,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e504de000000001401bc03,,5b04fabbb1da141b6a8ed05d,这个程序员也长得很小，有点清澈的孩子气，新的人搂着新的机器人，一代年轻人更比一代强，中国一定会越来越好,2026.04.20,海南,3268.0,17.0,51,弱势|同伴,弱势,同伴,13,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,1,69e72520000000001401e42b,,56f3fd6f1c07df3ca2a2840b,下次给娃买双会闪光会叫叫的鞋,2026.04.21,湖南,3237.0,22.0,14,弱势|观众,弱势,观众,3,0
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,2,69e494fd000000001401c01e,69e490dd000000001401e423,585b320482ec390142b28a5a,据我今天刷到的不完全统计：在摔倒的机器人对手旁边鼓掌，给观众跳舞，最后没电坐上了救护车,2026.04.19,山东,3219.0,,43,成功|被超越者,成功,被超越者,14,0
69e481e8000000002003ad94,"

",,,1,69e56a0b000000001401c009,,5a2a0f614eacab460655f17f,这减速到停下简直不要太丝滑，还有站稳后晃的那两下[捂脸R]像低血糖似的,2026.04.20,广东,3043.0,43.0,35,强势|服务者,强势,服务者,10,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc73fa00000000350236af,,5b825f4d72dd190001eeab6a,我还以为是机器人医生来救人[笑哭R],2026.04.13,北京,2706.0,62.0,18,失败|抢救者,失败,抢救者,4,0
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,1,69e4367c0000000014018826,,5bd4164d3a8a5b0001274f5c,笑死�这个机器人刚刚从我面前过去了，它没跑了,2026.04.19,北京,2636.0,42.0,22,弱势|观众,弱势,观众,4,0
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,2,69e4ea66000000001401882f,69e4e1f0000000001401a40f,6625bee500000000070076ad,我看着挺有意思的，这性感的金属小腿儿，跑的挺带劲儿,2026.04.19,河南,2636.0,,25,,,,6,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daf56d000000001601419c,,576457d06a6a695229d3dd8d,你知道夜里在亦庄看到这些玩意，独自训练的时候有多诡异吗？[哭惹R][哭惹R],2026.04.12,北京,2564.0,102.0,38,成功|观众,成功,观众,8,0
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4e706000000001401d812,69e4e394000000001401bc31,5ac625c7e8ac2b2b74545694,没错，我的每一个ppt都是我的心血,2026.04.19,河南,2412.0,,17,弱势|同伴,弱势,同伴,3,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e46025000000001401dc38,69e45f74000000001401bc0a,5b7b9b311f0bca00017a6a95,这是人形机器人，你说的那种是另一种机器人。,2026.04.19,江苏,2132.0,,21,中性|观众,中性,观众,4,0
69e6f2bc0000000023005345,"�机器人第一视角，好多人呀

",,687.0,1,69e7170a000000001401b807,,5a71eb6311be105aee6fa561,名次不重要、流量才是最重要的，那么多机器人只记得这个小鼻嘎了[捂脸R],2026.04.21,浙江,2088.0,19.0,35,弱势|观众,弱势,观众,7,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e462bc0000000014019807,69e46241000000001401e822,60a9d18b0000000001002fd3,镜头转到这里的时候真的太好笑了[捂脸R],2026.04.19,山东,1933.0,,20,中性|观众,中性,观众,5,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9de80000000002029fb1,,5bd282d60e78cd00012f0541,我有救了，以后失业可以去抬坏机器人,2026.04.13,广东,1887.0,63.0,17,失败|抢救者,失败,抢救者,4,0
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e45387000000001401a810,,62231eb9000000001000ff70,这就是斯皮尔伯格镜头的含金量吗[doge],2026.04.19,北京,1746.0,40.0,21,中性|观众,中性,观众,3,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db30cc000000003500c79d,69db30220000000016016d90,6617b16e0000000007005302,造反了就不是你去追他了，你应该想想开啥车能逃掉[暗中观察R][doge],2026.04.12,山东,1658.0,,36,成功|观众,成功,观众,5,0
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,2,69e5610f0000000014019c0c,69e51ef20000000014019c03,64ddc72d0000000001010ed7,花蝴蝶，显眼包,2026.04.20,湖南,1651.0,,7,,,,2,0
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,2,69e58719000000001401dc0e,69e586020000000014019401,5cff0572000000001702a2cb,任何事物都是需要通过实践后一步步进化，透过现象看本质，其实就是掌握先进技术，研发机器人技术是目前社会必须的技术鸭,2026.04.20,广西,1561.0,,56,,,,20,0
69e481e8000000002003ad94,"

",,,2,69e48647000000001401c03c,69e4853b000000001401b022,5c1f80c70000000006039d5c,快速散热的，但是可燃，有火花就直接烧,2026.04.19,上海,8645.0,,18,强势|服务者,强势,服务者,4,1
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,1,69e48d160000000014018c1b,,5fa8d0fc000000000100566c,这玩意只要有电，能跑死你们人类,2026.04.19,安徽,2825.0,153.0,15,成功|被超越者,成功,被超越者,4,1
69e481e8000000002003ad94,"

",,,2,69e489460000000014018c23,69e4853b000000001401b022,5b706599f7e8b95176d1359c,足球赛场上也用，烷基制冷喷雾,2026.04.19,北京,1355.0,,14,强势|服务者,强势,服务者,5,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4aab8000000001401d439,69e4a2e5000000001401b816,645623a5000000000f007a93,油盐不进是吧,2026.04.19,吉林,804.0,,6,弱势|同伴,弱势,同伴,2,1
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e462de000000001401b01d,69e461fb000000001401e82b,5944e17882ec397a22d76fd6,天气太热，中暑了吧,2026.04.19,广东,547.0,,9,中性|观众,中性,观众,3,1
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,2,69e58cd8000000002d0200e5,69e586020000000014019401,5f7231d50000000001006a4a,考验长时间的运动散热，元件的耐冲击耐磨损和电池续航能力。,2026.04.20,美国,348.0,,28,,,,10,1
69e481e8000000002003ad94,"

",,,2,69e4898c000000001401b002,69e4853b000000001401b022,61c85d85000000001000cd1e,感觉是压缩空气，降温用,2026.04.19,浙江,335.0,,11,强势|服务者,强势,服务者,2,1
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e45b09000000001401c40f,69e451fd000000001401c806,5f1d95700000000001005a6c,我还以为是拿着瓶农夫山泉,2026.04.19,北京,284.0,,12,中性|观众,中性,观众,2,1
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4b438000000001401a812,69e4a2e5000000001401b816,5b7564a826b61b0001455af6,来人，把这个靓仔叉出去,2026.04.19,北京,202.0,,11,弱势|同伴,弱势,同伴,3,1
