post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.20729092208720515,1
中性|观众,1,0.2794853466761973,1
中性|观众,2,0.4281629735525375,1
中性|观众,3,0.06576125804145819,1
中性|观众,4,0.01929949964260186,1
中性|评价者,0,0.24836601307189543,2
中性|评价者,1,0.20751633986928103,2
中性|评价者,2,0.3227124183006536,2
中性|评价者,3,0.20669934640522875,2
中性|评价者,4,0.014705882352941176,2
失败|抢救者,0,0.37932675049998005,2
失败|抢救者,1,0.33231580506760416,2
失败|抢救者,2,0.21897417197034874,2
失败|抢救者,3,0.05538810417818093,2
失败|抢救者,4,0.013995168283886113,2
失败|观众,0,0.19480519480519481,1
失败|观众,1,0.24675324675324675,1
失败|观众,2,0.33766233766233766,1
失败|观众,3,0.09090909090909091,1
失败|观众,4,0.12987012987012986,1
弱势|同伴,0,0.19801980198019803,1
弱势|同伴,1,0.4389438943894389,1
弱势|同伴,2,0.2838283828382838,1
弱势|同伴,3,0.0594059405940594,1
弱势|同伴,4,0.019801980198019802,1
弱势|观众,0,0.12987283718991036,2
弱势|观众,1,0.21298467792370232,2
弱势|观众,2,0.5724671669793622,2
弱势|观众,3,0.06746404002501563,2
弱势|观众,4,0.01721127788200959,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.8,1
弱势|评价者,2,0.2,1
弱势|评价者,3,0.0,1
弱势|评价者,4,0.0,1
强势|服务者,0,0.2916666666666667,1
强势|服务者,1,0.1356496272630458,1
强势|服务者,2,0.09331735889243876,1
强势|服务者,3,0.28407880724174656,1
强势|服务者,4,0.19528753993610223,1
成功|服务者,0,0.0,1
成功|服务者,1,0.125,1
成功|服务者,2,0.0,1
成功|服务者,3,0.875,1
成功|服务者,4,0.0,1
成功|被超越者,0,0.3111776788770969,2
成功|被超越者,1,0.310065046217049,2
成功|被超越者,2,0.19140705237932215,2
成功|被超越者,3,0.15347483738445739,2
成功|被超越者,4,0.03387538514207463,2
成功|观众,0,0.3114555582465488,1
成功|观众,1,0.26229111164930974,1
成功|观众,2,0.2317752482441269,1
成功|观众,3,0.16953257447323808,1
成功|观众,4,0.02494550738677646,1
