robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.30028063610851263,1
,1,0.3283442469597755,1
,2,0.2666043030869972,1
,3,0.08699719363891488,1
,4,0.01777362020579981,1
中性,0,0.23467431607699865,3
中性,1,0.23150600880491978,3
中性,2,0.3578626033846149,3
中性,3,0.15971998361730522,3
中性,4,0.016237088116161404,3
失败,0,0.317819565268385,3
失败,1,0.30379495229615167,3
失败,2,0.25853689386767836,3
失败,3,0.06722843308848425,3
失败,4,0.05262015547930069,3
弱势,0,0.11444136909000469,4
弱势,1,0.41622831255921094,4
弱势,2,0.407190679199252,4
弱势,3,0.048583505161022666,4
弱势,4,0.013556133990509745,4
强势,0,0.2916666666666667,1
强势,1,0.1356496272630458,1
强势,2,0.09331735889243876,1
强势,3,0.28407880724174656,1
强势,4,0.19528753993610223,1
成功,0,0.23345272900018565,4
成功,1,0.25185530102085196,4
成功,2,0.1536473382506928,4
成功,3,0.3378705623105382,4
成功,4,0.02317406941773143,4
