帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,929,4129,0.2249939452651974
69da7e87000000001a03484e,1,1238,4129,0.29983046742552677
69da7e87000000001a03484e,2,466,4129,0.11286025672075563
69da7e87000000001a03484e,3,687,4129,0.16638411237587794
69da7e87000000001a03484e,4,617,4129,0.14943085492855412
69da7e87000000001a03484e,5,103,4129,0.02494550738677646
69da7e87000000001a03484e,6,89,4129,0.0215548558973117
69db34bb000000001a0348ae,0,137,293,0.46757679180887374
69db34bb000000001a0348ae,1,20,293,0.06825938566552901
69db34bb000000001a0348ae,2,95,293,0.3242320819112628
69db34bb000000001a0348ae,3,30,293,0.10238907849829351
69db34bb000000001a0348ae,4,1,293,0.0034129692832764505
69db34bb000000001a0348ae,5,6,293,0.020477815699658702
69db34bb000000001a0348ae,6,4,293,0.013651877133105802
69e2583b00000000230211ea,0,256,1198,0.21368948247078465
69e2583b00000000230211ea,1,417,1198,0.34808013355592654
69e2583b00000000230211ea,2,212,1198,0.17696160267111852
69e2583b00000000230211ea,3,215,1198,0.17946577629382304
69e2583b00000000230211ea,4,56,1198,0.04674457429048414
69e2583b00000000230211ea,5,9,1198,0.007512520868113523
69e2583b00000000230211ea,6,33,1198,0.027545909849749584
69e41e24000000001a025f1a,0,15,77,0.19480519480519481
69e41e24000000001a025f1a,1,32,77,0.4155844155844156
69e41e24000000001a025f1a,2,13,77,0.16883116883116883
69e41e24000000001a025f1a,3,4,77,0.05194805194805195
69e41e24000000001a025f1a,5,10,77,0.12987012987012986
69e41e24000000001a025f1a,6,3,77,0.03896103896103896
69e42cc100000000220001ad,0,133,936,0.1420940170940171
69e42cc100000000220001ad,1,336,936,0.358974358974359
69e42cc100000000220001ad,2,326,936,0.3482905982905983
69e42cc100000000220001ad,3,70,936,0.07478632478632478
69e42cc100000000220001ad,4,47,936,0.050213675213675216
69e42cc100000000220001ad,5,17,936,0.018162393162393164
69e42cc100000000220001ad,6,7,936,0.007478632478632479
69e43a5a000000001d01dcc7,0,13,68,0.19117647058823528
69e43a5a000000001d01dcc7,1,19,68,0.27941176470588236
69e43a5a000000001d01dcc7,2,19,68,0.27941176470588236
69e43a5a000000001d01dcc7,3,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,5,2,68,0.029411764705882353
69e43a5a000000001d01dcc7,6,12,68,0.17647058823529413
69e4426b000000001d01c7ed,0,271,1399,0.1937097927090779
