post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.10150107219442459,1
中性|观众,1,0.054324517512508934,1
中性|观众,2,0.08005718370264475,1
中性|观众,3,0.23874195854181557,1
中性|观众,4,0.034310221586847746,1
中性|观众,5,0.06004288777698356,1
中性|观众,6,0.040028591851322376,1
中性|观众,7,0.08005718370264475,1
中性|观众,8,0.06933523945675482,1
中性|观众,9,0.04646175839885633,1
中性|观众,10,0.13581129378127232,1
中性|观众,11,0.059328091493924234,1
中性|评价者,0,0.12745098039215685,2
中性|评价者,1,0.12990196078431374,2
中性|评价者,2,0.12826797385620914,2
中性|评价者,3,0.05065359477124183,2
中性|评价者,4,0.1119281045751634,2
中性|评价者,5,0.05065359477124183,2
中性|评价者,6,0.05065359477124183,2
中性|评价者,7,0.10702614379084967,2
中性|评价者,8,0.0784313725490196,2
中性|评价者,9,0.05718954248366013,2
中性|评价者,10,0.09395424836601307,2
中性|评价者,11,0.013888888888888888,2
失败|抢救者,0,0.11163799734483525,2
失败|抢救者,1,0.06182374492185497,2
失败|抢救者,2,0.0620188938332944,2
失败|抢救者,3,0.07290734842484914,2
失败|抢救者,4,0.06319690952497621,2
失败|抢救者,5,0.07165526161349689,2
失败|抢救者,6,0.0826548228845573,2
失败|抢救者,7,0.16844342390901787,2
失败|抢救者,8,0.09057473491085827,2
失败|抢救者,9,0.08357358965739259,2
失败|抢救者,10,0.07931592472095131,2
失败|抢救者,11,0.052197348253915796,2
失败|观众,0,0.09090909090909091,1
失败|观众,1,0.06493506493506493,1
失败|观众,2,0.07792207792207792,1
失败|观众,3,0.07792207792207792,1
失败|观众,4,0.19480519480519481,1
失败|观众,5,0.06493506493506493,1
失败|观众,6,0.03896103896103896,1
失败|观众,7,0.07792207792207792,1
失败|观众,8,0.09090909090909091,1
失败|观众,9,0.12987012987012986,1
失败|观众,10,0.05194805194805195,1
失败|观众,11,0.03896103896103896,1
弱势|同伴,0,0.1254125412541254,1
弱势|同伴,1,0.04950495049504951,1
弱势|同伴,2,0.07920792079207921,1
弱势|同伴,3,0.1716171617161716,1
弱势|同伴,4,0.0297029702970297,1
弱势|同伴,5,0.06930693069306931,1
弱势|同伴,6,0.0627062706270627,1
弱势|同伴,7,0.09900990099009901,1
弱势|同伴,8,0.08250825082508251,1
弱势|同伴,9,0.026402640264026403,1
弱势|同伴,10,0.18151815181518152,1
弱势|同伴,11,0.0231023102310231,1
弱势|观众,0,0.07236293516781322,2
弱势|观众,1,0.06971805294976027,2
弱势|观众,2,0.07430425265791119,2
弱势|观众,3,0.14514279758182197,2
弱势|观众,4,0.047477590160516996,2
弱势|观众,5,0.03323691890765062,2
弱势|观众,6,0.04917135709818637,2
弱势|观众,7,0.052597977902855954,2
弱势|观众,8,0.07548988951427976,2
弱势|观众,9,0.04040285595163644,2
弱势|观众,10,0.29092401500938087,2
弱势|观众,11,0.04917135709818637,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.2,1
弱势|评价者,2,0.2,1
弱势|评价者,3,0.2,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.0,1
弱势|评价者,6,0.0,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.0,1
弱势|评价者,9,0.0,1
弱势|评价者,10,0.4,1
弱势|评价者,11,0.0,1
强势|服务者,0,0.10543130990415335,1
强势|服务者,1,0.15495207667731628,1
强势|服务者,2,0.060303514376996804,1
强势|服务者,3,0.04912140575079872,1
强势|服务者,4,0.14550053248136316,1
强势|服务者,5,0.06589456869009584,1
强势|服务者,6,0.05071884984025559,1
强势|服务者,7,0.086395101171459,1
强势|服务者,8,0.08479765708200213,1
强势|服务者,9,0.06549520766773163,1
强势|服务者,10,0.049387646432374865,1
强势|服务者,11,0.08200212992545261,1
成功|服务者,0,0.25,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.125,1
成功|服务者,4,0.25,1
成功|服务者,5,0.0,1
成功|服务者,6,0.125,1
成功|服务者,7,0.0,1
成功|服务者,8,0.0,1
成功|服务者,9,0.125,1
成功|服务者,10,0.0,1
成功|服务者,11,0.125,1
成功|被超越者,0,0.09724409448818898,2
成功|被超越者,1,0.05167750770284149,2
成功|被超越者,2,0.0938377268058884,2
成功|被超越者,3,0.08875385142074632,2
成功|被超越者,4,0.0406025333789798,2
成功|被超越者,5,0.10106128038343033,2
成功|被超越者,6,0.1204553235193427,2
成功|被超越者,7,0.09630263608353304,2
成功|被超越者,8,0.09683327627524821,2
成功|被超越者,9,0.08067442656624443,2
成功|被超越者,10,0.06742553919890448,2
成功|被超越者,11,0.06513180417665183,2
成功|观众,0,0.10753209009445386,1
成功|观众,1,0.08016468878663115,1
成功|观众,2,0.07725841608137564,1
成功|观众,3,0.07386776459191087,1
成功|观众,4,0.04141438604989101,1
成功|观众,5,0.08403971906030516,1
成功|观众,6,0.1237587793654638,1
成功|观众,7,0.08888350690239767,1
成功|观众,8,0.09154759021554856,1
成功|观众,9,0.09227415839186244,1
成功|观众,10,0.05521918139985468,1
成功|观众,11,0.08403971906030516,1
