帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,1093,4129,0.26471300557035604
69da7e87000000001a03484e,1,815,4129,0.19738435456527004
69da7e87000000001a03484e,2,639,4129,0.1547590215548559
69da7e87000000001a03484e,3,1097,4129,0.2656817631387745
69da7e87000000001a03484e,4,485,4129,0.11746185517074352
69db34bb000000001a0348ae,0,46,293,0.15699658703071673
69db34bb000000001a0348ae,1,128,293,0.43686006825938567
69db34bb000000001a0348ae,2,40,293,0.13651877133105803
69db34bb000000001a0348ae,3,45,293,0.15358361774744028
69db34bb000000001a0348ae,4,34,293,0.11604095563139932
69e2583b00000000230211ea,0,315,1198,0.2629382303839733
69e2583b00000000230211ea,1,252,1198,0.21035058430717862
69e2583b00000000230211ea,2,208,1198,0.17362270450751252
69e2583b00000000230211ea,3,238,1198,0.1986644407345576
69e2583b00000000230211ea,4,185,1198,0.15442404006677796
69e41e24000000001a025f1a,0,17,77,0.22077922077922077
69e41e24000000001a025f1a,1,17,77,0.22077922077922077
69e41e24000000001a025f1a,2,13,77,0.16883116883116883
69e41e24000000001a025f1a,3,12,77,0.15584415584415584
69e41e24000000001a025f1a,4,18,77,0.23376623376623376
69e42cc100000000220001ad,0,183,936,0.1955128205128205
69e42cc100000000220001ad,1,126,936,0.1346153846153846
69e42cc100000000220001ad,2,149,936,0.15918803418803418
69e42cc100000000220001ad,3,377,936,0.4027777777777778
69e42cc100000000220001ad,4,101,936,0.10790598290598291
69e43a5a000000001d01dcc7,0,9,68,0.1323529411764706
69e43a5a000000001d01dcc7,1,14,68,0.20588235294117646
69e43a5a000000001d01dcc7,2,19,68,0.27941176470588236
69e43a5a000000001d01dcc7,3,14,68,0.20588235294117646
69e43a5a000000001d01dcc7,4,12,68,0.17647058823529413
69e4426b000000001d01c7ed,0,252,1399,0.18012866333095068
69e4426b000000001d01c7ed,1,171,1399,0.1222301644031451
69e4426b000000001d01c7ed,2,229,1399,0.16368834882058614
69e4426b000000001d01c7ed,3,578,1399,0.4131522516082916
69e4426b000000001d01c7ed,4,169,1399,0.12080057183702644
69e44278000000001a0217bb,0,44,230,0.19130434782608696
69e44278000000001a0217bb,1,49,230,0.21304347826086956
69e44278000000001a0217bb,2,50,230,0.21739130434782608
69e44278000000001a0217bb,3,65,230,0.2826086956521739
69e44278000000001a0217bb,4,22,230,0.09565217391304348
69e44f3a000000002301079c,1,1,5,0.2
69e44f3a000000002301079c,2,1,5,0.2
69e44f3a000000002301079c,3,2,5,0.4
69e44f3a000000002301079c,4,1,5,0.2
69e44fbf000000001e00cc6a,0,2,8,0.25
69e44fbf000000001e00cc6a,4,6,8,0.75
69e4551e000000001f005895,0,58,254,0.2283464566929134
69e4551e000000001f005895,1,37,254,0.14566929133858267
69e4551e000000001f005895,2,48,254,0.1889763779527559
69e4551e000000001f005895,3,64,254,0.25196850393700787
69e4551e000000001f005895,4,47,254,0.18503937007874016
69e47f8f000000001f007203,0,448,2138,0.20954162768942938
69e47f8f000000001f007203,1,423,2138,0.19784845650140317
69e47f8f000000001f007203,2,376,2138,0.17586529466791395
69e47f8f000000001f007203,3,613,2138,0.28671655753040226
69e47f8f000000001f007203,4,278,2138,0.13002806361085126
69e481e8000000002003ad94,0,1760,7512,0.23429179978700745
69e481e8000000002003ad94,1,2074,7512,0.2760915867944622
69e481e8000000002003ad94,2,942,7512,0.1253993610223642
69e481e8000000002003ad94,3,830,7512,0.11048988285410011
69e481e8000000002003ad94,4,1906,7512,0.25372736954206604
69e48d54000000002102e178,0,55,303,0.18151815181518152
69e48d54000000002102e178,1,41,303,0.1353135313531353
69e48d54000000002102e178,2,55,303,0.18151815181518152
69e48d54000000002102e178,3,122,303,0.40264026402640263
69e48d54000000002102e178,4,30,303,0.09900990099009901
69e5a09a000000002103ba03,0,5,36,0.1388888888888889
69e5a09a000000002103ba03,1,6,36,0.16666666666666666
69e5a09a000000002103ba03,2,9,36,0.25
69e5a09a000000002103ba03,3,4,36,0.1111111111111111
69e5a09a000000002103ba03,4,12,36,0.3333333333333333
69e6f2bc0000000023005345,0,26,246,0.10569105691056911
69e6f2bc0000000023005345,1,42,246,0.17073170731707318
69e6f2bc0000000023005345,2,41,246,0.16666666666666666
69e6f2bc0000000023005345,3,109,246,0.44308943089430897
69e6f2bc0000000023005345,4,28,246,0.11382113821138211
