robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.20954162768942938,1
,1,0.19784845650140317,1
,2,0.17586529466791395,1
,3,0.28671655753040226,1
,4,0.13002806361085126,1
中性,0,0.15045683113210337,3
中性,1,0.1649263946703294,3
中性,2,0.2310333711754895,3
中性,3,0.2433819052201931,3
中性,4,0.2102014978018846,3
失败,0,0.21357134606463693,3
失败,1,0.2893299577819283,3
失败,2,0.15965754822324646,3
失败,3,0.16936407144205123,3
失败,4,0.168077076488137,3
弱势,0,0.12068050730964279,4
弱势,1,0.1601651558213983,4
弱势,2,0.1768432131674706,4
弱势,3,0.41212686817462235,4
弱势,4,0.130184255526866,4
强势,0,0.23429179978700745,1
强势,1,0.2760915867944622,1
强势,2,0.1253993610223642,1
强势,3,0.11048988285410011,1
强势,4,0.25372736954206604,1
成功,0,0.2335909525223391,4
成功,1,0.13902428104118056,4
成功,2,0.1402816759638595,4
成功,3,0.20006474068198907,4
成功,4,0.2870383497906318,4
