excluded_post_id,robot_status,topic,delta_mean_share
69da7e87000000001a03484e,,0,0.0
69da7e87000000001a03484e,,1,0.0
69da7e87000000001a03484e,,2,0.0
69da7e87000000001a03484e,,3,0.0
69da7e87000000001a03484e,,4,0.0
69da7e87000000001a03484e,,5,0.0
69da7e87000000001a03484e,,6,0.0
69da7e87000000001a03484e,中性,0,0.0
69da7e87000000001a03484e,中性,1,0.0
69da7e87000000001a03484e,中性,2,0.0
69da7e87000000001a03484e,中性,3,0.0
69da7e87000000001a03484e,中性,4,0.0
69da7e87000000001a03484e,中性,5,0.0
69da7e87000000001a03484e,中性,6,0.0
69da7e87000000001a03484e,失败,0,0.0
69da7e87000000001a03484e,失败,1,0.0
69da7e87000000001a03484e,失败,2,0.0
69da7e87000000001a03484e,失败,3,0.0
69da7e87000000001a03484e,失败,4,0.0
69da7e87000000001a03484e,失败,5,0.0
69da7e87000000001a03484e,失败,6,0.0
69da7e87000000001a03484e,弱势,0,0.0
69da7e87000000001a03484e,弱势,1,0.0
69da7e87000000001a03484e,弱势,2,0.0
69da7e87000000001a03484e,弱势,3,0.0
69da7e87000000001a03484e,弱势,4,0.0
69da7e87000000001a03484e,弱势,5,0.0
69da7e87000000001a03484e,弱势,6,0.0
69da7e87000000001a03484e,强势,0,0.0
69da7e87000000001a03484e,强势,1,0.0
69da7e87000000001a03484e,强势,2,0.0
69da7e87000000001a03484e,强势,3,0.0
69da7e87000000001a03484e,强势,4,0.0
69da7e87000000001a03484e,强势,5,0.0
69da7e87000000001a03484e,强势,6,0.0
69da7e87000000001a03484e,成功,0,-0.008040241295864448
69da7e87000000001a03484e,成功,1,-0.020092466434050972
69da7e87000000001a03484e,成功,2,0.013546845890133358
69da7e87000000001a03484e,成功,3,-0.0038948202673081966
69da7e87000000001a03484e,成功,4,0.05356361269657228
69da7e87000000001a03484e,成功,5,-0.011581087415722557
69da7e87000000001a03484e,成功,6,-0.023501843173759474
69db34bb000000001a0348ae,,0,0.0
69db34bb000000001a0348ae,,1,0.0
69db34bb000000001a0348ae,,2,0.0
69db34bb000000001a0348ae,,3,0.0
69db34bb000000001a0348ae,,4,0.0
69db34bb000000001a0348ae,,5,0.0
69db34bb000000001a0348ae,,6,0.0
69db34bb000000001a0348ae,中性,0,0.0
69db34bb000000001a0348ae,中性,1,0.0
69db34bb000000001a0348ae,中性,2,0.0
69db34bb000000001a0348ae,中性,3,0.0
69db34bb000000001a0348ae,中性,4,0.0
69db34bb000000001a0348ae,中性,5,0.0
69db34bb000000001a0348ae,中性,6,0.0
69db34bb000000001a0348ae,失败,0,0.012893764279748865
69db34bb000000001a0348ae,失败,1,-0.0222947595459803
69db34bb000000001a0348ae,失败,2,0.01971424555851388
69db34bb000000001a0348ae,失败,3,-0.001944015405016944
69db34bb000000001a0348ae,失败,4,0.019751577106839294
69db34bb000000001a0348ae,失败,5,0.0030161905457477545
69db34bb000000001a0348ae,失败,6,-0.031137002539852576
69db34bb000000001a0348ae,弱势,0,0.0
69db34bb000000001a0348ae,弱势,1,0.0
69db34bb000000001a0348ae,弱势,2,0.0
69db34bb000000001a0348ae,弱势,3,0.0
69db34bb000000001a0348ae,弱势,4,0.0
69db34bb000000001a0348ae,弱势,5,0.0
69db34bb000000001a0348ae,弱势,6,0.0
69db34bb000000001a0348ae,强势,0,0.0
69db34bb000000001a0348ae,强势,1,0.0
69db34bb000000001a0348ae,强势,2,0.0
69db34bb000000001a0348ae,强势,3,0.0
69db34bb000000001a0348ae,强势,4,0.0
69db34bb000000001a0348ae,强势,5,0.0
69db34bb000000001a0348ae,强势,6,0.0
69db34bb000000001a0348ae,成功,0,0.0
69db34bb000000001a0348ae,成功,1,0.0
69db34bb000000001a0348ae,成功,2,0.0
69db34bb000000001a0348ae,成功,3,0.0
69db34bb000000001a0348ae,成功,4,0.0
69db34bb000000001a0348ae,成功,5,0.0
69db34bb000000001a0348ae,成功,6,0.0
69e2583b00000000230211ea,,0,0.0
69e2583b00000000230211ea,,1,0.0
69e2583b00000000230211ea,,2,0.0
69e2583b00000000230211ea,,3,0.0
69e2583b00000000230211ea,,4,0.0
69e2583b00000000230211ea,,5,0.0
69e2583b00000000230211ea,,6,0.0
69e2583b00000000230211ea,中性,0,0.0
69e2583b00000000230211ea,中性,1,0.0
69e2583b00000000230211ea,中性,2,0.0
69e2583b00000000230211ea,中性,3,0.0
69e2583b00000000230211ea,中性,4,0.0
69e2583b00000000230211ea,中性,5,0.0
69e2583b00000000230211ea,中性,6,0.0
69e2583b00000000230211ea,失败,0,-0.01200267859717341
69e2583b00000000230211ea,失败,1,0.011545771031147678
69e2583b00000000230211ea,失败,2,-0.010662035729411976
69e2583b00000000230211ea,失败,3,-0.008345469478073866
69e2583b00000000230211ea,失败,4,0.0025827462339966106
69e2583b00000000230211ea,失败,5,0.00775246887082881
69e2583b00000000230211ea,失败,6,0.009129197668686112
69e2583b00000000230211ea,弱势,0,0.0
69e2583b00000000230211ea,弱势,1,0.0
69e2583b00000000230211ea,弱势,2,0.0
