post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.14796283059328091,1
中性|观众,1,0.056468906361686916,1
中性|观众,2,0.2894924946390279,1
中性|观众,3,0.027877055039313797,1
中性|观众,4,0.08720514653323802,1
中性|观众,5,0.027877055039313797,1
中性|观众,6,0.07934238741958542,1
中性|观众,7,0.16654753395282346,1
中性|观众,8,0.057183702644746245,1
中性|观众,9,0.06004288777698356,1
中性|评价者,0,0.16584967320261437,2
中性|评价者,1,0.06372549019607843,2
中性|评价者,2,0.065359477124183,2
中性|评价者,3,0.17238562091503268,2
中性|评价者,4,0.05718954248366013,2
中性|评价者,5,0.021241830065359478,2
中性|评价者,6,0.07271241830065359,2
中性|评价者,7,0.2107843137254902,2
中性|评价者,8,0.09967320261437909,2
中性|评价者,9,0.07107843137254902,2
失败|抢救者,0,0.3349852142649581,2
失败|抢救者,1,0.10381922088577664,2
失败|抢救者,2,0.05628692872648954,2
失败|抢救者,3,0.02348339382474773,2
失败|抢救者,4,0.06403163406587771,2
失败|抢救者,5,0.038693613360150876,2
失败|抢救者,6,0.06824229233022044,2
失败|抢救者,7,0.16657170369273022,2
失败|抢救者,8,0.036950093158677436,2
失败|抢救者,9,0.10693590569037134,2
失败|观众,0,0.18181818181818182,1
失败|观众,1,0.11688311688311688,1
失败|观众,2,0.05194805194805195,1
失败|观众,3,0.025974025974025976,1
失败|观众,4,0.05194805194805195,1
失败|观众,5,0.16883116883116883,1
失败|观众,6,0.1038961038961039,1
失败|观众,7,0.14285714285714285,1
失败|观众,8,0.025974025974025976,1
失败|观众,9,0.12987012987012986,1
弱势|同伴,0,0.1782178217821782,1
弱势|同伴,1,0.056105610561056105,1
弱势|同伴,2,0.17491749174917492,1
弱势|同伴,3,0.036303630363036306,1
弱势|同伴,4,0.1485148514851485,1
弱势|同伴,5,0.019801980198019802,1
弱势|同伴,6,0.0924092409240924,1
弱势|同伴,7,0.12871287128712872,1
弱势|同伴,8,0.0924092409240924,1
弱势|同伴,9,0.07260726072607261,1
弱势|观众,0,0.1133130081300813,2
弱势|观众,1,0.04510631644777986,2
弱势|观众,2,0.34533302063789867,2
弱势|观众,3,0.02523712737127371,2
弱势|观众,4,0.09001719824890556,2
弱势|观众,5,0.028220762976860537,2
弱势|观众,6,0.08884459036898062,2
弱势|观众,7,0.14260214717531788,2
弱势|观众,8,0.06050656660412758,2
弱势|观众,9,0.06081926203877423,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,0.6,1
弱势|评价者,3,0.0,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.2,1
弱势|评价者,6,0.0,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.0,1
弱势|评价者,9,0.2,1
强势|服务者,0,0.15468583599574015,1
强势|服务者,1,0.10117145899893504,1
强势|服务者,2,0.017438764643237487,1
强势|服务者,3,0.05564430244941427,1
强势|服务者,4,0.047657082002129925,1
强势|服务者,5,0.16813099041533547,1
强势|服务者,6,0.06363152289669861,1
强势|服务者,7,0.22097976570820022,1
强势|服务者,8,0.08040468583599573,1
强势|服务者,9,0.0902555910543131,1
成功|服务者,0,0.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.0,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|服务者,7,0.125,1
成功|服务者,8,0.875,1
成功|服务者,9,0.0,1
成功|被超越者,0,0.197158507360493,2
成功|被超越者,1,0.10085587127695994,2
成功|被超越者,2,0.055819924683327624,2
成功|被超越者,3,0.056555973981513186,2
成功|被超越者,4,0.09798014378637454,2
成功|被超越者,5,0.056555973981513186,2
成功|被超越者,6,0.15285861006504622,2
成功|被超越者,7,0.1408421773365286,2
成功|被超越者,8,0.03469702156795618,2
成功|被超越者,9,0.10667579596028758,2
成功|观众,0,0.2007750060547348,1
成功|观众,1,0.08379752966820053,1
成功|观众,2,0.039719060305158635,1
成功|观众,3,0.02542988617098571,1
成功|观众,4,0.10365705982077986,1
成功|观众,5,0.0431097117946234,1
成功|观众,6,0.14046984742068297,1
成功|观众,7,0.21457980140469848,1
成功|观众,8,0.048437878420925166,1
成功|观众,9,0.10002421893921046,1
