robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.215622076707203,1
,1,0.08185219831618334,1
,2,0.17212347988774557,1
,3,0.03554724041159962,1
,4,0.08980355472404115,1
,5,0.023854069223573433,1
,6,0.08793264733395698,1
,7,0.15014031805425632,1
,8,0.06454630495790459,1
,9,0.07857811038353602,1
中性,0,0.15988739233283655,3
中性,1,0.061306628917947935,3
中性,2,0.14007048296246463,3
中性,3,0.12421609895645973,3
中性,4,0.06719474383351944,3
中性,5,0.023453571723344252,3
中性,6,0.0749224080069642,3
中性,7,0.1960387204679346,3
中性,8,0.0855100359578348,3
中性,9,0.06739991684069387,3
失败,0,0.28392953678269933,3
失败,1,0.10817385288489005,3
失败,2,0.054840636467010345,3
失败,3,0.024313604541173813,3
失败,4,0.060003773359935786,3
失败,5,0.08207279851715686,3
失败,6,0.08012689618551493,3
失败,7,0.15866685008086776,3
失败,8,0.03329140409712695,3
失败,9,0.11458064708362418,3
弱势,0,0.1012109595105852,4
弱势,1,0.03657956086415396,4
弱势,2,0.36639588325624306,4
弱势,3,0.021694471276395934,4
弱势,4,0.08213731199573991,4
弱势,5,0.06906087653793523,4
弱势,6,0.06752460541551342,4
弱势,7,0.10347929140944112,4
弱势,8,0.053355593533086894,4
弱势,9,0.09856144620090528,4
强势,0,0.15468583599574015,1
强势,1,0.10117145899893504,1
强势,2,0.017438764643237487,1
强势,3,0.05564430244941427,1
强势,4,0.047657082002129925,1
强势,5,0.16813099041533547,1
强势,6,0.06363152289669861,1
强势,7,0.22097976570820022,1
强势,8,0.08040468583599573,1
强势,9,0.0902555910543131,1
成功,0,0.1487730051939302,4
成功,1,0.0713773180555301,4
成功,2,0.03783972741795347,4
成功,3,0.03463545853350302,4
成功,4,0.07490433684838223,4
成功,5,0.03905541493941244,4
成功,6,0.11154676688769385,4
成功,7,0.1553160390194389,4
成功,8,0.24820798038920938,4
成功,9,0.0783439527149464,4
