帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,713,4129,0.17268103657059822
69da7e87000000001a03484e,1,256,4129,0.06200048437878421
69da7e87000000001a03484e,2,81,4129,0.01961734076047469
69da7e87000000001a03484e,3,83,4129,0.020101719544683944
69da7e87000000001a03484e,4,241,4129,0.05836764349721482
69da7e87000000001a03484e,5,136,4129,0.03293775732622911
69da7e87000000001a03484e,6,230,4129,0.05570356018406394
69da7e87000000001a03484e,7,433,4129,0.10486800678130298
69da7e87000000001a03484e,8,171,4129,0.04141438604989101
69da7e87000000001a03484e,9,227,4129,0.05497699200775006
69da7e87000000001a03484e,10,1180,4129,0.2857834826834585
69da7e87000000001a03484e,11,378,4129,0.09154759021554856
69db34bb000000001a0348ae,0,118,293,0.40273037542662116
69db34bb000000001a0348ae,1,15,293,0.051194539249146756
69db34bb000000001a0348ae,2,9,293,0.030716723549488054
69db34bb000000001a0348ae,3,2,293,0.006825938566552901
69db34bb000000001a0348ae,4,6,293,0.020477815699658702
69db34bb000000001a0348ae,5,8,293,0.027303754266211604
69db34bb000000001a0348ae,6,7,293,0.023890784982935155
69db34bb000000001a0348ae,7,14,293,0.04778156996587031
69db34bb000000001a0348ae,8,4,293,0.013651877133105802
69db34bb000000001a0348ae,9,14,293,0.04778156996587031
69db34bb000000001a0348ae,10,85,293,0.2901023890784983
69db34bb000000001a0348ae,11,11,293,0.03754266211604096
69e2583b00000000230211ea,0,229,1198,0.1911519198664441
69e2583b00000000230211ea,1,71,1198,0.05926544240400668
69e2583b00000000230211ea,2,17,1198,0.014190317195325543
69e2583b00000000230211ea,3,31,1198,0.02587646076794658
69e2583b00000000230211ea,4,23,1198,0.019198664440734557
69e2583b00000000230211ea,5,34,1198,0.028380634390651086
69e2583b00000000230211ea,6,60,1198,0.05008347245409015
69e2583b00000000230211ea,7,142,1198,0.11853088480801335
69e2583b00000000230211ea,8,45,1198,0.037562604340567615
69e2583b00000000230211ea,9,49,1198,0.040901502504173626
69e2583b00000000230211ea,10,414,1198,0.34557595993322204
69e2583b00000000230211ea,11,83,1198,0.06928213689482471
69e41e24000000001a025f1a,0,10,77,0.12987012987012986
69e41e24000000001a025f1a,1,7,77,0.09090909090909091
69e41e24000000001a025f1a,2,3,77,0.03896103896103896
69e41e24000000001a025f1a,3,1,77,0.012987012987012988
69e41e24000000001a025f1a,4,1,77,0.012987012987012988
69e41e24000000001a025f1a,5,11,77,0.14285714285714285
69e41e24000000001a025f1a,6,5,77,0.06493506493506493
69e41e24000000001a025f1a,7,6,77,0.07792207792207792
69e41e24000000001a025f1a,8,2,77,0.025974025974025976
69e41e24000000001a025f1a,9,4,77,0.05194805194805195
69e41e24000000001a025f1a,10,21,77,0.2727272727272727
69e41e24000000001a025f1a,11,6,77,0.07792207792207792
69e42cc100000000220001ad,0,107,936,0.11431623931623931
69e42cc100000000220001ad,1,37,936,0.03952991452991453
69e42cc100000000220001ad,2,254,936,0.27136752136752135
69e42cc100000000220001ad,3,9,936,0.009615384615384616
69e42cc100000000220001ad,4,37,936,0.03952991452991453
69e42cc100000000220001ad,5,21,936,0.022435897435897436
69e42cc100000000220001ad,6,60,936,0.0641025641025641
69e42cc100000000220001ad,7,65,936,0.06944444444444445
69e42cc100000000220001ad,8,43,936,0.045940170940170943
69e42cc100000000220001ad,9,45,936,0.04807692307692308
69e42cc100000000220001ad,10,185,936,0.19764957264957264
69e42cc100000000220001ad,11,73,936,0.07799145299145299
69e43a5a000000001d01dcc7,0,13,68,0.19117647058823528
69e43a5a000000001d01dcc7,2,5,68,0.07352941176470588
69e43a5a000000001d01dcc7,3,13,68,0.19117647058823528
69e43a5a000000001d01dcc7,4,2,68,0.029411764705882353
69e43a5a000000001d01dcc7,5,1,68,0.014705882352941176
69e43a5a000000001d01dcc7,6,4,68,0.058823529411764705
69e43a5a000000001d01dcc7,7,2,68,0.029411764705882353
69e43a5a000000001d01dcc7,8,4,68,0.058823529411764705
69e43a5a000000001d01dcc7,9,1,68,0.014705882352941176
69e43a5a000000001d01dcc7,10,16,68,0.23529411764705882
69e43a5a000000001d01dcc7,11,7,68,0.10294117647058823
69e4426b000000001d01c7ed,0,179,1399,0.12794853466761974
69e4426b000000001d01c7ed,1,58,1399,0.04145818441744103
69e4426b000000001d01c7ed,2,272,1399,0.19442458899213724
69e4426b000000001d01c7ed,3,35,1399,0.02501786990707648
69e4426b000000001d01c7ed,4,46,1399,0.032880629020729094
69e4426b000000001d01c7ed,5,30,1399,0.021443888491779844
69e4426b000000001d01c7ed,6,63,1399,0.04503216583273767
69e4426b000000001d01c7ed,7,110,1399,0.07862759113652609
69e4426b000000001d01c7ed,8,65,1399,0.04646175839885633
69e4426b000000001d01c7ed,9,43,1399,0.030736240171551108
69e4426b000000001d01c7ed,10,403,1399,0.28806290207290924
69e4426b000000001d01c7ed,11,95,1399,0.06790564689063616
69e44278000000001a0217bb,0,52,230,0.22608695652173913
69e44278000000001a0217bb,1,26,230,0.11304347826086956
69e44278000000001a0217bb,2,9,230,0.0391304347826087
69e44278000000001a0217bb,3,6,230,0.02608695652173913
69e44278000000001a0217bb,4,15,230,0.06521739130434782
69e44278000000001a0217bb,5,5,230,0.021739130434782608
69e44278000000001a0217bb,6,15,230,0.06521739130434782
69e44278000000001a0217bb,7,15,230,0.06521739130434782
69e44278000000001a0217bb,8,5,230,0.021739130434782608
69e44278000000001a0217bb,9,8,230,0.034782608695652174
69e44278000000001a0217bb,10,60,230,0.2608695652173913
