post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.24588992137240887,1
中性|观众,1,0.06790564689063616,1
中性|观众,2,0.06433166547533953,1
中性|观众,3,0.1043602573266619,1
中性|观众,4,0.09935668334524661,1
中性|观众,5,0.09578270192994996,1
中性|观众,6,0.08291636883488206,1
中性|观众,7,0.17512508934953538,1
中性|观众,8,0.03359542530378842,1
中性|观众,9,0.030736240171551108,1
中性|评价者,0,0.30800653594771243,2
中性|评价者,1,0.007352941176470588,2
中性|评价者,2,0.022058823529411766,2
中性|评价者,3,0.07761437908496732,2
中性|评价者,4,0.03594771241830065,2
中性|评价者,5,0.06454248366013071,2
中性|评价者,6,0.04330065359477124,2
中性|评价者,7,0.29248366013071897,2
中性|评价者,8,0.0784313725490196,2
中性|评价者,9,0.07026143790849673,2
