帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,2,69e462ad0000000014013804,69e450da000000001401d82d,5aa763154eacab62a3dd8751,回旋镖连机器人也不能幸免[笑哭R],2026.04.19,北京,14.0,,17,中性|评价者,中性,评价者,3,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e47717000000001401c402,69e45af00000000014019407,5b06e0b5e8ac2b719b9b62fb,歪个楼，机器人有性别吗,2026.04.19,福建,12.0,,11,中性|观众,中性,观众,3,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4611d000000001401dc24,,616f6ba7000000000201a2e3,这年头 人当机器人用 机器人当人用……,2026.04.19,广东,5.0,0.0,19,中性|观众,中性,观众,5,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e47cae000000001401b00a,,6119eeb4000000000101fbb9,@Rhino模型 卡哇伊机器人,2026.04.19,湖北,1.0,0.0,15,中性|观众,中性,观众,2,中性,0,0.35438372220357367
69e5a09a000000002103ba03,"半马途中机器人即兴表演，越夸越上头

",711.0,83.0,1,69e5f9560000000014019c05,,5571274562a60c1e3f2b5d29,机器人中的显眼包,2026.04.20,河北,1.0,0.0,8,中性|评价者,中性,评价者,2,中性,0,0.35438372220357367
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,1,69e462f30000000014018c1b,,65223db40000000024017c43,机器人加啥油[失望R],2026.04.19,浙江,1.0,0.0,11,中性|评价者,中性,评价者,2,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e9a7cb000000001401c413,69e4d997000000001401a802,5e6df1cb00000000010075ee,东亚机器人,2026.04.23,广东,1.0,,5,中性|观众,中性,观众,2,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e47e5f000000001401d422,,58c2691c82ec3921488e18f2,好鸡肋的机器人[doge],2026.04.19,山东,0.0,0.0,13,中性|观众,中性,观众,2,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e46b56000000001401c413,,64a14d5c000000002a034af1,你们（机器人）一天天滴不干正事,2026.04.19,上海,0.0,0.0,15,中性|观众,中性,观众,4,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4684f000000001401cc22,,61b06072000000002102169d,机器人乞讨是新思路吗[doge],2026.04.19,广东,0.0,0.0,16,中性|观众,中性,观众,3,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4650b000000001401b017,,6260cf0e000000001000eec2,这机器人咋打这么多肌贴啊[doge],2026.04.19,上海,0.0,0.0,18,中性|观众,中性,观众,2,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e9d8f00000000014019806,,5d52474d0000000012009d6f,机器人非得是两足行走的吗？四足或是轮式的就不是机器人吗？,2026.04.23,山东,0.0,0.0,28,中性|观众,中性,观众,8,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e46d95000000001401a008,,5ae873874eacab734e75d9db,别发了 机器人跌的还不够多么[笑哭R],2026.04.19,上海,0.0,0.0,19,中性|观众,中性,观众,4,中性,0,0.35438372220357367
69e5a09a000000002103ba03,"半马途中机器人即兴表演，越夸越上头

",711.0,83.0,1,69e61c64000000001401e830,,620b9adc000000001000cef2,机器人里也有嘉豪,2026.04.20,湖北,0.0,0.0,8,中性|评价者,中性,评价者,2,中性,0,0.35438372220357367
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e5771f000000001401cc10,69e4d997000000001401a802,613f6aa1000000001f03c37f,机器人的喜乐也不相同,2026.04.20,湖北,0.0,,10,中性|观众,中性,观众,3,中性,0,0.35438372220357367
