帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,60,293,0.20477815699658702
69db34bb000000001a0348ae,1,10,293,0.034129692832764506
69db34bb000000001a0348ae,2,21,293,0.07167235494880546
69db34bb000000001a0348ae,3,22,293,0.07508532423208192
69db34bb000000001a0348ae,4,70,293,0.23890784982935154
69db34bb000000001a0348ae,5,3,293,0.010238907849829351
69db34bb000000001a0348ae,6,4,293,0.013651877133105802
69db34bb000000001a0348ae,7,85,293,0.2901023890784983
69db34bb000000001a0348ae,8,4,293,0.013651877133105802
69db34bb000000001a0348ae,9,14,293,0.04778156996587031
69e2583b00000000230211ea,0,225,1198,0.18781302170283806
69e2583b00000000230211ea,1,164,1198,0.13689482470784642
69e2583b00000000230211ea,2,144,1198,0.12020033388981637
69e2583b00000000230211ea,3,141,1198,0.11769616026711185
69e2583b00000000230211ea,4,82,1198,0.06844741235392321
69e2583b00000000230211ea,5,123,1198,0.10267111853088481
69e2583b00000000230211ea,6,103,1198,0.08597662771285476
69e2583b00000000230211ea,7,28,1198,0.02337228714524207
69e2583b00000000230211ea,8,96,1198,0.08013355592654424
69e2583b00000000230211ea,9,92,1198,0.07679465776293823
69e41e24000000001a025f1a,0,16,77,0.2077922077922078
69e41e24000000001a025f1a,1,13,77,0.16883116883116883
69e41e24000000001a025f1a,2,8,77,0.1038961038961039
69e41e24000000001a025f1a,3,6,77,0.07792207792207792
69e41e24000000001a025f1a,4,12,77,0.15584415584415584
69e41e24000000001a025f1a,5,3,77,0.03896103896103896
69e41e24000000001a025f1a,6,10,77,0.12987012987012986
69e41e24000000001a025f1a,8,8,77,0.1038961038961039
69e41e24000000001a025f1a,9,1,77,0.012987012987012988
