post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|同伴,0,0.3128491620111732,1
弱势|同伴,1,0.0335195530726257,1
弱势|同伴,2,0.2346368715083799,1
弱势|同伴,3,0.0335195530726257,1
弱势|同伴,4,0.0111731843575419,1
弱势|同伴,5,0.00558659217877095,1
弱势|同伴,6,0.01675977653631285,1
弱势|同伴,7,0.10614525139664804,1
弱势|同伴,8,0.00558659217877095,1
弱势|同伴,9,0.0223463687150838,1
弱势|同伴,10,0.21787709497206703,1
弱势|同伴,11,0.0,1
弱势|同伴,12,0.0,1
弱势|观众,0,0.2258623351228967,2
弱势|观众,1,0.15687123720004803,2
弱势|观众,2,0.07821906999879934,2
弱势|观众,3,0.09477110169636885,2
弱势|观众,4,0.08415378809968954,2
弱势|观众,5,0.058806881528618724,2
弱势|观众,6,0.04213049518876177,2
弱势|观众,7,0.030848527469511673,2
弱势|观众,8,0.05916279309102759,2
弱势|观众,9,0.04182175262859985,2
弱势|观众,10,0.001483679525222552,2
弱势|观众,11,0.09693658770861563,2
弱势|观众,12,0.028931750741839762,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,0.5,1
弱势|评价者,3,0.0,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.0,1
弱势|评价者,6,0.0,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.0,1
弱势|评价者,9,0.0,1
弱势|评价者,10,0.0,1
弱势|评价者,11,0.5,1
弱势|评价者,12,0.0,1
