post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|同伴,0,0.39603960396039606,1
弱势|同伴,1,0.10231023102310231,1
弱势|同伴,2,0.12871287128712872,1
弱势|同伴,3,0.10561056105610561,1
弱势|同伴,4,0.09570957095709572,1
弱势|同伴,5,0.0594059405940594,1
弱势|同伴,6,0.11221122112211221,1
弱势|观众,0,0.31974411090264754,2
弱势|观众,1,0.07975036481134043,2
弱势|观众,2,0.1748358348968105,2
弱势|观众,3,0.1134172399416302,2
弱势|观众,4,0.1018735668125912,2
弱势|观众,5,0.10817959141129872,2
弱势|观众,6,0.10219929122368146,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.2,1
弱势|评价者,2,0.4,1
弱势|评价者,3,0.2,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.0,1
弱势|评价者,6,0.2,1
