post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|同伴,0,0.17491749174917492,1
弱势|同伴,1,0.1419141914191419,1
弱势|同伴,2,0.1782178217821782,1
弱势|同伴,3,0.0462046204620462,1
弱势|同伴,4,0.0033003300330033004,1
弱势|同伴,5,0.1188118811881188,1
弱势|同伴,6,0.0429042904290429,1
弱势|同伴,7,0.12211221122112212,1
弱势|同伴,8,0.12871287128712872,1
弱势|同伴,9,0.0429042904290429,1
弱势|观众,0,0.19938242651657284,2
弱势|观众,1,0.1182379612257661,2
弱势|观众,2,0.04949708150927663,2
弱势|观众,3,0.11963206170523244,2
弱势|观众,4,0.044259432978945176,2
弱势|观众,5,0.05250677506775068,2
弱势|观众,6,0.10571711486345634,2
弱势|观众,7,0.06605691056910569,2
弱势|观众,8,0.1377944548676256,2
弱势|观众,9,0.1069157806962685,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,0.0,1
弱势|评价者,3,0.2,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.2,1
弱势|评价者,6,0.4,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.2,1
弱势|评价者,9,0.0,1
