帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,183,936,0.1955128205128205
69e42cc100000000220001ad,1,111,936,0.11858974358974358
69e42cc100000000220001ad,2,47,936,0.050213675213675216
69e42cc100000000220001ad,3,106,936,0.11324786324786325
69e42cc100000000220001ad,4,41,936,0.0438034188034188
69e42cc100000000220001ad,5,26,936,0.027777777777777776
69e42cc100000000220001ad,6,118,936,0.12606837606837606
69e42cc100000000220001ad,7,78,936,0.08333333333333333
69e42cc100000000220001ad,8,140,936,0.14957264957264957
69e42cc100000000220001ad,9,86,936,0.09188034188034189
69e44f3a000000002301079c,3,1,5,0.2
69e44f3a000000002301079c,5,1,5,0.2
69e44f3a000000002301079c,6,2,5,0.4
69e44f3a000000002301079c,8,1,5,0.2
69e48d54000000002102e178,0,53,303,0.17491749174917492
69e48d54000000002102e178,1,43,303,0.1419141914191419
69e48d54000000002102e178,2,54,303,0.1782178217821782
69e48d54000000002102e178,3,14,303,0.0462046204620462
69e48d54000000002102e178,4,1,303,0.0033003300330033004
69e48d54000000002102e178,5,36,303,0.1188118811881188
69e48d54000000002102e178,6,13,303,0.0429042904290429
69e48d54000000002102e178,7,37,303,0.12211221122112212
69e48d54000000002102e178,8,39,303,0.12871287128712872
69e48d54000000002102e178,9,13,303,0.0429042904290429
69e6f2bc0000000023005345,0,50,246,0.2032520325203252
69e6f2bc0000000023005345,1,29,246,0.11788617886178862
69e6f2bc0000000023005345,2,12,246,0.04878048780487805
69e6f2bc0000000023005345,3,31,246,0.12601626016260162
69e6f2bc0000000023005345,4,11,246,0.044715447154471545
69e6f2bc0000000023005345,5,19,246,0.07723577235772358
69e6f2bc0000000023005345,6,21,246,0.08536585365853659
69e6f2bc0000000023005345,7,12,246,0.04878048780487805
69e6f2bc0000000023005345,8,31,246,0.12601626016260162
69e6f2bc0000000023005345,9,30,246,0.12195121951219512
