post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.10977917981072555,1
强势|服务者,1,0.04437434279705573,1
强势|服务者,2,0.06519453207150368,1
强势|服务者,3,0.039116719242902206,1
强势|服务者,4,0.0056782334384858045,1
强势|服务者,5,0.03617245005257624,1
强势|服务者,6,0.028601472134595164,1
强势|服务者,7,0.030494216614090432,1
强势|服务者,8,0.03196635120925342,1
强势|服务者,9,0.006098843322818086,1
强势|服务者,10,0.023764458464773923,1
强势|服务者,11,0.015352260778128285,1
强势|服务者,12,0.03259726603575184,1
强势|服务者,13,0.026708727655099896,1
强势|服务者,14,0.02355415352260778,1
强势|服务者,15,0.024605678233438486,1
强势|服务者,16,0.01598317560462671,1
强势|服务者,17,0.010515247108307046,1
强势|服务者,18,0.025867507886435333,1
强势|服务者,19,0.017875920084121977,1
强势|服务者,20,0.012407991587802314,1
强势|服务者,21,0.020609884332281808,1
强势|服务者,22,0.014511041009463722,1
强势|服务者,23,0.01892744479495268,1
强势|服务者,24,0.003995793901156677,1
强势|服务者,25,0.01808622502628812,1
强势|服务者,26,0.0029442691903259727,1
强势|服务者,27,0.01598317560462671,1
强势|服务者,28,0.00946372239747634,1
强势|服务者,29,0.0004206098843322818,1
强势|服务者,30,0.016403785488958992,1
强势|服务者,31,0.01661409043112513,1
强势|服务者,32,0.010094637223974764,1
强势|服务者,33,0.011356466876971609,1
强势|服务者,34,0.010935856992639327,1
强势|服务者,35,0.016824395373291272,1
强势|服务者,36,0.015352260778128285,1
强势|服务者,37,0.015141955835962145,1
强势|服务者,38,0.010094637223974764,1
强势|服务者,39,0.012828601472134596,1
强势|服务者,40,0.0014721345951629863,1
强势|服务者,41,0.01177707676130389,1
强势|服务者,42,0.0012618296529968455,1
强势|服务者,43,0.0006309148264984228,1
强势|服务者,44,0.011146161934805467,1
强势|服务者,45,0.011146161934805467,1
强势|服务者,46,0.0010515247108307045,1
强势|服务者,47,0.00946372239747634,1
强势|服务者,48,0.00967402733964248,1
强势|服务者,49,0.0033648790746582543,1
强势|服务者,50,0.0092534174553102,1
强势|服务者,51,0.006309148264984227,1
强势|服务者,52,0.0056782334384858045,1
强势|服务者,53,0.002523659305993691,1
强势|服务者,54,0.0002103049421661409,1
强势|服务者,55,0.00694006309148265,1
强势|服务者,56,0.0031545741324921135,1
强势|服务者,57,0.0006309148264984228,1
强势|服务者,58,0.0077812828601472135,1
强势|服务者,59,0.0077812828601472135,1
强势|服务者,60,0.002523659305993691,1
强势|服务者,61,0.005257623554153523,1
强势|服务者,62,0.005047318611987382,1
强势|服务者,63,0.0004206098843322818,1
强势|服务者,64,0.00694006309148265,1
强势|服务者,65,0.0006309148264984228,1
强势|服务者,66,0.0006309148264984228,1
成功|服务者,0,0.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.2,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|服务者,7,0.0,1
成功|服务者,8,0.0,1
成功|服务者,9,0.0,1
成功|服务者,10,0.0,1
成功|服务者,11,0.0,1
成功|服务者,12,0.0,1
成功|服务者,13,0.0,1
成功|服务者,14,0.0,1
成功|服务者,15,0.8,1
成功|服务者,16,0.0,1
成功|服务者,17,0.0,1
成功|服务者,18,0.0,1
成功|服务者,19,0.0,1
成功|服务者,20,0.0,1
成功|服务者,21,0.0,1
成功|服务者,22,0.0,1
成功|服务者,23,0.0,1
成功|服务者,24,0.0,1
成功|服务者,25,0.0,1
成功|服务者,26,0.0,1
成功|服务者,27,0.0,1
成功|服务者,28,0.0,1
成功|服务者,29,0.0,1
成功|服务者,30,0.0,1
成功|服务者,31,0.0,1
成功|服务者,32,0.0,1
成功|服务者,33,0.0,1
成功|服务者,34,0.0,1
成功|服务者,35,0.0,1
成功|服务者,36,0.0,1
成功|服务者,37,0.0,1
成功|服务者,38,0.0,1
成功|服务者,39,0.0,1
成功|服务者,40,0.0,1
成功|服务者,41,0.0,1
成功|服务者,42,0.0,1
成功|服务者,43,0.0,1
成功|服务者,44,0.0,1
成功|服务者,45,0.0,1
成功|服务者,46,0.0,1
成功|服务者,47,0.0,1
成功|服务者,48,0.0,1
成功|服务者,49,0.0,1
成功|服务者,50,0.0,1
成功|服务者,51,0.0,1
成功|服务者,52,0.0,1
成功|服务者,53,0.0,1
成功|服务者,54,0.0,1
成功|服务者,55,0.0,1
成功|服务者,56,0.0,1
成功|服务者,57,0.0,1
成功|服务者,58,0.0,1
成功|服务者,59,0.0,1
成功|服务者,60,0.0,1
成功|服务者,61,0.0,1
成功|服务者,62,0.0,1
成功|服务者,63,0.0,1
成功|服务者,64,0.0,1
成功|服务者,65,0.0,1
成功|服务者,66,0.0,1
成功|被超越者,0,0.05076910489281623,2
成功|被超越者,1,0.10112911143838979,2
成功|被超越者,2,0.0,2
成功|被超越者,3,0.047987236131566025,2
成功|被超越者,4,0.03767795778105056,2
成功|被超越者,5,0.0,2
成功|被超越者,6,0.023400425462281133,2
成功|被超越者,7,0.033709703812796595,2
成功|被超越者,8,0.011904761904761904,2
成功|被超越者,9,0.005154639175257732,2
成功|被超越者,10,0.005154639175257732,2
成功|被超越者,11,0.027777777777777776,2
成功|被超越者,12,0.0,2
成功|被超越者,13,0.019432171494027164,2
成功|被超越者,14,0.009122893143511699,2
成功|被超越者,15,0.017059401080019635,2
成功|被超越者,16,0.010309278350515464,2
成功|被超越者,17,0.08885616102110946,2
成功|被超越者,18,0.0,2
成功|被超越者,19,0.0,2
成功|被超越者,20,0.03133693339878907,2
成功|被超越者,21,0.003968253968253968,2
成功|被超越者,22,0.013091147111765667,2
成功|被超越者,23,0.0,2
成功|被超越者,24,0.06586483390607102,2
成功|被超越者,25,0.005154639175257732,2
成功|被超越者,26,0.04958271968581247,2
成功|被超越者,27,0.0,2
成功|被超越者,28,0.03133693339878907,2
成功|被超越者,29,0.0,2
成功|被超越者,30,0.013091147111765667,2
成功|被超越者,31,0.003968253968253968,2
成功|被超越者,32,0.0,2
成功|被超越者,33,0.014277532318769432,2
成功|被超越者,34,0.024586810669284895,2
成功|被超越者,35,0.0,2
成功|被超越者,36,0.015873015873015872,2
成功|被超越者,37,0.0,2
成功|被超越者,38,0.005154639175257732,2
成功|被超越者,39,0.0,2
成功|被超越者,40,0.003968253968253968,2
成功|被超越者,41,0.003968253968253968,2
成功|被超越者,42,0.0,2
成功|被超越者,43,0.0,2
成功|被超越者,44,0.005154639175257732,2
成功|被超越者,45,0.0,2
成功|被超越者,46,0.005154639175257732,2
成功|被超越者,47,0.0,2
成功|被超越者,48,0.0,2
成功|被超越者,49,0.046023564064801174,2
成功|被超越者,50,0.0,2
成功|被超越者,51,0.005154639175257732,2
成功|被超越者,52,0.013091147111765667,2
成功|被超越者,53,0.005154639175257732,2
成功|被超越者,54,0.0,2
成功|被超越者,55,0.009122893143511699,2
成功|被超越者,56,0.04999181803305514,2
成功|被超越者,57,0.0,2
成功|被超越者,58,0.0,2
成功|被超越者,59,0.003968253968253968,2
成功|被超越者,60,0.06942398952708231,2
成功|被超越者,61,0.0,2
成功|被超越者,62,0.005154639175257732,2
成功|被超越者,63,0.0,2
成功|被超越者,64,0.0,2
成功|被超越者,65,0.007936507936507936,2
成功|被超越者,66,0.0,2
成功|观众,0,0.025,1
成功|观众,1,0.07546296296296297,1
成功|观众,2,0.0,1
成功|观众,3,0.04722222222222222,1
成功|观众,4,0.10092592592592593,1
成功|观众,5,0.03148148148148148,1
成功|观众,6,0.032407407407407406,1
成功|观众,7,0.025,1
成功|观众,8,0.012962962962962963,1
成功|观众,9,0.06666666666666667,1
成功|观众,10,0.026851851851851852,1
成功|观众,11,0.03611111111111111,1
成功|观众,12,0.000462962962962963,1
成功|观众,13,0.008796296296296297,1
成功|观众,14,0.014814814814814815,1
成功|观众,15,0.006944444444444444,1
成功|观众,16,0.02638888888888889,1
成功|观众,17,0.027314814814814816,1
成功|观众,18,0.002777777777777778,1
成功|观众,19,0.013425925925925926,1
成功|观众,20,0.016666666666666666,1
成功|观众,21,0.000925925925925926,1
成功|观众,22,0.009259259259259259,1
成功|观众,23,0.0,1
成功|观众,24,0.024537037037037038,1
成功|观众,25,0.000462962962962963,1
成功|观众,26,0.02824074074074074,1
成功|观众,27,0.004166666666666667,1
成功|观众,28,0.014814814814814815,1
成功|观众,29,0.03796296296296296,1
成功|观众,30,0.000925925925925926,1
成功|观众,31,0.000925925925925926,1
成功|观众,32,0.01574074074074074,1
成功|观众,33,0.011574074074074073,1
成功|观众,34,0.011111111111111112,1
成功|观众,35,0.000462962962962963,1
成功|观众,36,0.001851851851851852,1
成功|观众,37,0.0,1
成功|观众,38,0.009259259259259259,1
成功|观众,39,0.000925925925925926,1
成功|观众,40,0.025,1
成功|观众,41,0.000925925925925926,1
成功|观众,42,0.024074074074074074,1
成功|观众,43,0.024074074074074074,1
成功|观众,44,0.000462962962962963,1
成功|观众,45,0.0,1
成功|观众,46,0.019444444444444445,1
成功|观众,47,0.000925925925925926,1
成功|观众,48,0.000462962962962963,1
成功|观众,49,0.008796296296296297,1
成功|观众,50,0.000462962962962963,1
成功|观众,51,0.0060185185185185185,1
成功|观众,52,0.0060185185185185185,1
成功|观众,53,0.013888888888888888,1
成功|观众,54,0.019444444444444445,1
成功|观众,55,0.0032407407407407406,1
成功|观众,56,0.0060185185185185185,1
成功|观众,57,0.01712962962962963,1
成功|观众,58,0.000925925925925926,1
成功|观众,59,0.0,1
成功|观众,60,0.004166666666666667,1
成功|观众,61,0.004166666666666667,1
成功|观众,62,0.003703703703703704,1
成功|观众,63,0.014351851851851852,1
成功|观众,64,0.0,1
成功|观众,65,0.012962962962962963,1
