post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.12806176783812567,1
强势|服务者,1,0.152555910543131,1
强势|服务者,2,0.07215122470713525,1
强势|服务者,3,0.07534611288604899,1
强势|服务者,4,0.08572949946751864,1
强势|服务者,5,0.07175186368477103,1
强势|服务者,6,0.09318423855165069,1
强势|服务者,7,0.07148562300319489,1
强势|服务者,8,0.0501863684771033,1
强势|服务者,9,0.07694355697550585,1
强势|服务者,10,0.056176783812566564,1
强势|服务者,11,0.06642705005324813,1
成功|服务者,0,0.125,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.125,1
成功|服务者,4,0.0,1
成功|服务者,5,0.375,1
成功|服务者,6,0.0,1
成功|服务者,7,0.0,1
成功|服务者,8,0.0,1
成功|服务者,9,0.0,1
成功|服务者,10,0.125,1
成功|服务者,11,0.25,1
成功|被超越者,0,0.13514207463197536,2
成功|被超越者,1,0.04982882574460801,2
成功|被超越者,2,0.06980486134885314,2
成功|被超越者,3,0.093717904827114,2
成功|被超越者,4,0.06968503937007875,2
成功|被超越者,5,0.10655597398151317,2
成功|被超越者,6,0.04515576857240671,2
成功|被超越者,7,0.08978089695309825,2
成功|被超越者,8,0.06918863402944198,2
成功|被超越者,9,0.08202670318384114,2
成功|被超越者,10,0.10938034919548101,2
成功|被超越者,11,0.0797329681615885,2
成功|观众,0,0.1332041656575442,1
成功|观众,1,0.036570598207798496,1
成功|观众,2,0.07580527972874788,1
成功|观众,3,0.09832889319447809,1
成功|观众,4,0.08839912811818842,1
成功|观众,5,0.06926616614192298,1
成功|观众,6,0.05400823443933156,1
成功|观众,7,0.0881569387260838,1
成功|观众,8,0.10898522644708161,1
成功|观众,9,0.10656333252603536,1
成功|观众,10,0.07628965851295713,1
成功|观众,11,0.06442237829983047,1
