topic,top_terms,size
0,"机器人, 人, 需要, 服务, 工作, 人形, 三个, 为了, 研究, 替代, 平衡, 很多, 机器, 场景, 代替",1578
1,"降温, 散热, 冰块, 还要, 问题, 电池, 关节, 干冰, 不行, 润滑, 测试, 云南白药, 换电池, 喷雾, 电机",1322
2,"遥控器, 地形, 以为, 机器人, 复杂, 轮子, 肯定, 无人机, 控制, 人形, 原来, 只是, 鸵鸟, 功能, 战场",889
3,"跑步, 跟着, 知道, 评论, 几个, 姿势, 膝盖, 工作人员, 有人, 一起, 意义, 看着, 搞笑, 一直, 发明",1018
4,"人, 轮子, 为什么, 机器, 机器人, 更快, 汽车, 战场, 理解, 开车, 人形, 要是, 真的, 一样, 做成",1042
5,"人类, 意义, 机器人, 后面, 人形机器人, 最后, 工程师, 终结者, 未来, 世界, ai, 遥控器, 为了, 全程, 防晒",879
6,"遥控, 人, 机器人, 伺候, 三个, wd40, 好像, 玩具, 干嘛, 个人, 没用, 不好, 停下来, 需要, 用来",945
7,"马拉松, 机器人, 玩意, 去年, 站不稳, 加油, 人家, 低血糖, 今年, 孩子, 是不是, 好多, 参加, 路上, 旁边",944
8,"发展, 东西, 这样, 进步, 起来, 科技, 去年, 一下, 开始, 这些, 一年, 进化, 速度, 哪里, 技术",861
9,"比赛, 机器人, 外卖, 赛车, f1, 是不是, 自动, 轮子, 中国, 一样, 美国, 快递, 亦庄, 驾驶, ai",1058
10,"自主, 技术, 速度, 厉害, 不用, 遥控, 机器人马拉松, 时间, 看看, 机械, 有没有, 八步, 赶蝉, 成熟, 多少",792
11,"机器人, 汽车, 补给, 设计, 人形, 程序员, 一点, 视频, 所有, 操控, 一定, 研发, 的话, 工具, 需要",805
