post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.14363684771033014,1
强势|服务者,1,0.09105431309904154,1
强势|服务者,2,0.09837593184238552,1
强势|服务者,3,0.05497870074547391,1
强势|服务者,4,0.08439829605963792,1
强势|服务者,5,0.068024494142705,1
强势|服务者,6,0.04619275825346113,1
强势|服务者,7,0.06735889243876464,1
强势|服务者,8,0.07441427050053248,1
强势|服务者,9,0.05497870074547391,1
强势|服务者,10,0.0724174653887114,1
强势|服务者,11,0.14416932907348243,1
成功|服务者,0,0.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.125,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|服务者,7,0.25,1
成功|服务者,8,0.25,1
成功|服务者,9,0.0,1
成功|服务者,10,0.25,1
成功|服务者,11,0.125,1
成功|被超越者,0,0.2076172543649435,2
成功|被超越者,1,0.09277644642245805,2
成功|被超越者,2,0.01595344060253338,2
成功|被超越者,3,0.04650804519000343,2
成功|被超越者,4,0.03986648408079425,2
成功|被超越者,5,0.07394727832933927,2
成功|被超越者,6,0.09507018144471072,2
成功|被超越者,7,0.016158849709003765,2
成功|被超越者,8,0.053029784320438214,2
成功|被超越者,9,0.08719616569667922,2
成功|被超越者,10,0.07333105100992811,2
成功|被超越者,11,0.19854501882916809,2
成功|观众,0,0.20004843787842091,1
成功|观众,1,0.07435214337612013,1
成功|观众,2,0.014046984742068298,1
成功|观众,3,0.02325018164204408,1
成功|观众,4,0.0741099539840155,1
成功|观众,5,0.0675708403971906,1
成功|观众,6,0.11019617340760475,1
成功|观众,7,0.03681278759990313,1
成功|观众,8,0.03802373456042625,1
成功|观众,9,0.12182126422862678,1
成功|观众,10,0.06950835553402761,1
成功|观众,11,0.17025914264955194,1
