帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,826,4129,0.20004843787842091
69da7e87000000001a03484e,1,307,4129,0.07435214337612013
69da7e87000000001a03484e,2,58,4129,0.014046984742068298
69da7e87000000001a03484e,3,96,4129,0.02325018164204408
69da7e87000000001a03484e,4,306,4129,0.0741099539840155
69da7e87000000001a03484e,5,279,4129,0.0675708403971906
69da7e87000000001a03484e,6,455,4129,0.11019617340760475
69da7e87000000001a03484e,7,152,4129,0.03681278759990313
69da7e87000000001a03484e,8,157,4129,0.03802373456042625
69da7e87000000001a03484e,9,503,4129,0.12182126422862678
69da7e87000000001a03484e,10,287,4129,0.06950835553402761
69da7e87000000001a03484e,11,703,4129,0.17025914264955194
69e44278000000001a0217bb,0,62,230,0.26956521739130435
69e44278000000001a0217bb,1,30,230,0.13043478260869565
69e44278000000001a0217bb,2,1,230,0.004347826086956522
69e44278000000001a0217bb,3,6,230,0.02608695652173913
69e44278000000001a0217bb,4,12,230,0.05217391304347826
69e44278000000001a0217bb,5,15,230,0.06521739130434782
69e44278000000001a0217bb,6,22,230,0.09565217391304348
69e44278000000001a0217bb,7,2,230,0.008695652173913044
69e44278000000001a0217bb,8,9,230,0.0391304347826087
69e44278000000001a0217bb,9,22,230,0.09565217391304348
69e44278000000001a0217bb,10,12,230,0.05217391304347826
69e44278000000001a0217bb,11,37,230,0.1608695652173913
69e44fbf000000001e00cc6a,4,1,8,0.125
69e44fbf000000001e00cc6a,7,2,8,0.25
69e44fbf000000001e00cc6a,8,2,8,0.25
69e44fbf000000001e00cc6a,10,2,8,0.25
69e44fbf000000001e00cc6a,11,1,8,0.125
69e4551e000000001f005895,0,37,254,0.14566929133858267
69e4551e000000001f005895,1,14,254,0.05511811023622047
69e4551e000000001f005895,2,7,254,0.027559055118110236
69e4551e000000001f005895,3,17,254,0.06692913385826772
69e4551e000000001f005895,4,7,254,0.027559055118110236
69e4551e000000001f005895,5,21,254,0.08267716535433071
69e4551e000000001f005895,6,24,254,0.09448818897637795
69e4551e000000001f005895,7,6,254,0.023622047244094488
69e4551e000000001f005895,8,17,254,0.06692913385826772
69e4551e000000001f005895,9,20,254,0.07874015748031496
69e4551e000000001f005895,10,24,254,0.09448818897637795
69e4551e000000001f005895,11,60,254,0.23622047244094488
69e481e8000000002003ad94,0,1079,7512,0.14363684771033014
69e481e8000000002003ad94,1,684,7512,0.09105431309904154
69e481e8000000002003ad94,2,739,7512,0.09837593184238552
69e481e8000000002003ad94,3,413,7512,0.05497870074547391
69e481e8000000002003ad94,4,634,7512,0.08439829605963792
69e481e8000000002003ad94,5,511,7512,0.068024494142705
69e481e8000000002003ad94,6,347,7512,0.04619275825346113
69e481e8000000002003ad94,7,506,7512,0.06735889243876464
69e481e8000000002003ad94,8,559,7512,0.07441427050053248
69e481e8000000002003ad94,9,413,7512,0.05497870074547391
69e481e8000000002003ad94,10,544,7512,0.0724174653887114
69e481e8000000002003ad94,11,1083,7512,0.14416932907348243
