帖子id,topic,count,n_comments,share_within_cell
69e43a5a000000001d01dcc7,0,17,68,0.25
69e43a5a000000001d01dcc7,1,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,2,18,68,0.2647058823529412
69e43a5a000000001d01dcc7,3,8,68,0.11764705882352941
69e43a5a000000001d01dcc7,4,9,68,0.1323529411764706
69e43a5a000000001d01dcc7,5,4,68,0.058823529411764705
69e43a5a000000001d01dcc7,6,9,68,0.1323529411764706
69e4426b000000001d01c7ed,0,388,1399,0.2773409578270193
69e4426b000000001d01c7ed,1,184,1399,0.13152251608291637
69e4426b000000001d01c7ed,2,213,1399,0.1522516082916369
69e4426b000000001d01c7ed,3,173,1399,0.12365975696926376
69e4426b000000001d01c7ed,4,156,1399,0.11150822015725519
69e4426b000000001d01c7ed,5,148,1399,0.10578984989278056
69e4426b000000001d01c7ed,6,137,1399,0.09792709077912795
69e5a09a000000002103ba03,0,14,36,0.3888888888888889
69e5a09a000000002103ba03,1,3,36,0.08333333333333333
69e5a09a000000002103ba03,2,7,36,0.19444444444444445
69e5a09a000000002103ba03,3,3,36,0.08333333333333333
69e5a09a000000002103ba03,4,3,36,0.08333333333333333
69e5a09a000000002103ba03,5,3,36,0.08333333333333333
69e5a09a000000002103ba03,6,3,36,0.08333333333333333
