帖子id,topic,count,n_comments,share_within_cell
69e43a5a000000001d01dcc7,0,23,68,0.3382352941176471
69e43a5a000000001d01dcc7,1,1,68,0.014705882352941176
69e43a5a000000001d01dcc7,2,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,3,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,4,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,5,5,68,0.07352941176470588
69e43a5a000000001d01dcc7,6,4,68,0.058823529411764705
69e43a5a000000001d01dcc7,7,19,68,0.27941176470588236
69e43a5a000000001d01dcc7,8,5,68,0.07352941176470588
69e43a5a000000001d01dcc7,9,2,68,0.029411764705882353
69e4426b000000001d01c7ed,0,344,1399,0.24588992137240887
69e4426b000000001d01c7ed,1,95,1399,0.06790564689063616
69e4426b000000001d01c7ed,2,90,1399,0.06433166547533953
69e4426b000000001d01c7ed,3,146,1399,0.1043602573266619
69e4426b000000001d01c7ed,4,139,1399,0.09935668334524661
69e4426b000000001d01c7ed,5,134,1399,0.09578270192994996
69e4426b000000001d01c7ed,6,116,1399,0.08291636883488206
69e4426b000000001d01c7ed,7,245,1399,0.17512508934953538
69e4426b000000001d01c7ed,8,47,1399,0.03359542530378842
69e4426b000000001d01c7ed,9,43,1399,0.030736240171551108
69e5a09a000000002103ba03,0,10,36,0.2777777777777778
69e5a09a000000002103ba03,3,4,36,0.1111111111111111
69e5a09a000000002103ba03,4,1,36,0.027777777777777776
69e5a09a000000002103ba03,5,2,36,0.05555555555555555
69e5a09a000000002103ba03,6,1,36,0.027777777777777776
69e5a09a000000002103ba03,7,11,36,0.3055555555555556
69e5a09a000000002103ba03,8,3,36,0.08333333333333333
69e5a09a000000002103ba03,9,4,36,0.1111111111111111
