帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,117,293,0.3993174061433447
69db34bb000000001a0348ae,1,16,293,0.05460750853242321
69db34bb000000001a0348ae,2,1,293,0.0034129692832764505
69db34bb000000001a0348ae,3,21,293,0.07167235494880546
69db34bb000000001a0348ae,4,7,293,0.023890784982935155
69db34bb000000001a0348ae,5,8,293,0.027303754266211604
69db34bb000000001a0348ae,6,13,293,0.04436860068259386
69db34bb000000001a0348ae,7,24,293,0.08191126279863481
69db34bb000000001a0348ae,8,12,293,0.040955631399317405
69db34bb000000001a0348ae,9,43,293,0.14675767918088736
69db34bb000000001a0348ae,10,20,293,0.06825938566552901
69db34bb000000001a0348ae,11,11,293,0.03754266211604096
69e2583b00000000230211ea,0,304,1198,0.25375626043405675
69e2583b00000000230211ea,1,86,1198,0.07178631051752922
69e2583b00000000230211ea,2,47,1198,0.03923205342237062
69e2583b00000000230211ea,3,141,1198,0.11769616026711185
69e2583b00000000230211ea,4,45,1198,0.037562604340567615
69e2583b00000000230211ea,5,79,1198,0.0659432387312187
69e2583b00000000230211ea,6,52,1198,0.04340567612687813
69e2583b00000000230211ea,7,103,1198,0.08597662771285476
69e2583b00000000230211ea,8,143,1198,0.11936560934891485
69e2583b00000000230211ea,9,46,1198,0.038397328881469114
69e2583b00000000230211ea,10,82,1198,0.06844741235392321
69e2583b00000000230211ea,11,70,1198,0.05843071786310518
69e41e24000000001a025f1a,0,19,77,0.24675324675324675
69e41e24000000001a025f1a,1,4,77,0.05194805194805195
69e41e24000000001a025f1a,2,11,77,0.14285714285714285
69e41e24000000001a025f1a,3,12,77,0.15584415584415584
69e41e24000000001a025f1a,4,2,77,0.025974025974025976
69e41e24000000001a025f1a,5,5,77,0.06493506493506493
69e41e24000000001a025f1a,6,3,77,0.03896103896103896
69e41e24000000001a025f1a,7,8,77,0.1038961038961039
69e41e24000000001a025f1a,8,2,77,0.025974025974025976
69e41e24000000001a025f1a,9,3,77,0.03896103896103896
69e41e24000000001a025f1a,10,7,77,0.09090909090909091
69e41e24000000001a025f1a,11,1,77,0.012987012987012988
