帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,267,936,0.28525641025641024
69e42cc100000000220001ad,1,301,936,0.3215811965811966
69e42cc100000000220001ad,2,173,936,0.18482905982905984
69e42cc100000000220001ad,3,171,936,0.18269230769230768
69e42cc100000000220001ad,4,24,936,0.02564102564102564
69e44f3a000000002301079c,0,5,5,1.0
69e48d54000000002102e178,0,136,303,0.44884488448844884
69e48d54000000002102e178,1,43,303,0.1419141914191419
69e48d54000000002102e178,2,78,303,0.25742574257425743
69e48d54000000002102e178,3,46,303,0.15181518151815182
69e6f2bc0000000023005345,0,110,246,0.44715447154471544
69e6f2bc0000000023005345,1,53,246,0.21544715447154472
69e6f2bc0000000023005345,2,36,246,0.14634146341463414
69e6f2bc0000000023005345,3,46,246,0.18699186991869918
69e6f2bc0000000023005345,4,1,246,0.0040650406504065045
