帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e481e8000000002003ad94,"

",,,2,69e4916c0000000014018c09,69e490ae000000001401d42a,5a3cea154eacab600209420b,为以后做准备，复杂地形，废墟，山地，城市，你懂的[偷笑R]。之后还会有多足机器人，那玩意可就吓人了,2026.04.19,上海,8904.0,,49,强势|服务者,强势,服务者,12,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,1,69e47e4a000000001401cc1c,,55fa1118a75c9522d84386a4,哈哈哈哈从《我追一下》到《拜拜了您呐》只用了五秒[偷笑R][偷笑R],2026.04.19,北京,6956.0,61.0,34,成功|被超越者,成功,被超越者,4,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e490ae000000001401d42a,,5b92131965aece0001d21a33,比跑步干嘛非要人形，轮子不是更快[笑哭R],2026.04.19,浙江,4733.0,1334.0,21,强势|服务者,强势,服务者,6,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daef220000000035024590,,6225a0840000000010004d0d,你们这些说机器人跑步没用的人。想想你们老的走不动路的时候。突然心梗 机器人就可以飞一样背着去医院。,2026.04.12,美国,4613.0,241.0,49,成功|观众,成功,观众,13,强势成功,0
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e4573a000000001401a417,,599fe7ce6a6a6917a03c4e09,您是生命的热烈，它是钢铁的进步[赞R],2026.04.19,北京,3905.0,33.0,19,成功|被超越者,成功,被超越者,4,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,2,69e494fd000000001401c01e,69e490dd000000001401e423,585b320482ec390142b28a5a,据我今天刷到的不完全统计：在摔倒的机器人对手旁边鼓掌，给观众跳舞，最后没电坐上了救护车,2026.04.19,山东,3219.0,,43,成功|被超越者,成功,被超越者,14,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e56a0b000000001401c009,,5a2a0f614eacab460655f17f,这减速到停下简直不要太丝滑，还有站稳后晃的那两下[捂脸R]像低血糖似的,2026.04.20,广东,3043.0,43.0,35,强势|服务者,强势,服务者,10,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daf56d000000001601419c,,576457d06a6a695229d3dd8d,你知道夜里在亦庄看到这些玩意，独自训练的时候有多诡异吗？[哭惹R][哭惹R],2026.04.12,北京,2564.0,102.0,38,成功|观众,成功,观众,8,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db30cc000000003500c79d,69db30220000000016016d90,6617b16e0000000007005302,造反了就不是你去追他了，你应该想想开啥车能逃掉[暗中观察R][doge],2026.04.12,山东,1658.0,,36,成功|观众,成功,观众,5,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e4924e000000001401c026,69e490ae000000001401d42a,63148d6d0000000015015a96,有轮的叫机器车,2026.04.19,广西,1421.0,,7,强势|服务者,强势,服务者,2,强势成功,0
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e47b6f000000001401940b,,640eef5400000000290130ae,你去超过它儿子[嘻嘻R],2026.04.19,浙江,1394.0,42.0,12,成功|被超越者,成功,被超越者,2,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e5949d000000001401cc1b,,657b027f0000000019012b19,孙孙，切汤饭了[doge],2026.04.20,浙江,1240.0,47.0,13,强势|服务者,强势,服务者,2,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf728000000001400868f,69daf56d000000001601419c,576457d06a6a695229d3dd8d,他们有时候还会给这玩意穿个带反光条的上衣！但是没有裤子！远远的就听见声音了，它跑过来才看到是个没穿裤子的机器人！,2026.04.12,北京,1203.0,,56,成功|观众,成功,观众,14,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e4962e000000001401b006,,5c23652e00000000050032b8,一个机器人需要3个人伺候，就业新方向来了,2026.04.19,黑龙江,1144.0,73.0,20,强势|服务者,强势,服务者,6,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69da9a3500000000010073ef,,5991139c50c4b459b6942b69,我就知道是因为你小子使劲儿跑步呢[生气R][生气R],2026.04.12,北京,1046.0,36.0,26,成功|观众,成功,观众,5,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e492de000000001401d809,69e490ae000000001401d42a,651a3fa30000000024014f22,因为人形可以和人本身结合起来，他可以用人的装备，人的武器，人也可以用他们的,2026.04.19,山东,907.0,,37,强势|服务者,强势,服务者,10,强势成功,0
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,2,69e464cb000000001401e415,69e4573a000000001401a417,6121ebd1000000002002f450,您是语言的艺术,2026.04.19,山西,880.0,,7,成功|被超越者,成功,被超越者,2,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e722e5000000001401b01c,69e71b47000000001401ac15,60875faf000000000100883e,这个评论像极了最开始火车刚出来还没马车快，人们问这东西有啥用的时候,2026.04.21,云南,879.0,,33,强势|服务者,强势,服务者,7,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e49292000000001401a80a,69e490ae000000001401d42a,5b4ae3344eacab35f35772a7,具身智能也是要发展的，这是未来5年重要的发展方向之一,2026.04.19,广东,786.0,,26,强势|服务者,强势,服务者,7,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,2,69e49a8a0000000014018c38,69e48d160000000014018c1b,6695ac4a000000000f0344e4,您好这位AI，我可没说过AI的坏话，都是他们说的,2026.04.19,辽宁,746.0,,24,成功|被超越者,成功,被超越者,5,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e492f6000000001401c80f,69e490ae000000001401d42a,6584e5ca000000001c009983,等明年搞一个5公里越野跑，后年搞一个负重60公斤5公里越野跑，你就知道为什么要人形了。,2026.04.19,澳大利亚,698.0,,43,强势|服务者,强势,服务者,12,强势成功,0
