帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,3396,3832,0.8862212943632568
69da7e87000000001a03484e,1,112,3832,0.029227557411273485
69da7e87000000001a03484e,2,64,3832,0.016701461377870562
69da7e87000000001a03484e,3,144,3832,0.037578288100208766
69da7e87000000001a03484e,4,33,3832,0.00861169102296451
69da7e87000000001a03484e,5,82,3832,0.02139874739039666
69da7e87000000001a03484e,6,1,3832,0.00026096033402922753
69e44278000000001a0217bb,0,203,218,0.9311926605504587
69e44278000000001a0217bb,1,4,218,0.01834862385321101
69e44278000000001a0217bb,2,6,218,0.027522935779816515
69e44278000000001a0217bb,3,1,218,0.0045871559633027525
69e44278000000001a0217bb,4,3,218,0.013761467889908258
69e44278000000001a0217bb,6,1,218,0.0045871559633027525
69e44fbf000000001e00cc6a,0,6,6,1.0
69e4551e000000001f005895,0,213,241,0.8838174273858921
69e4551e000000001f005895,1,16,241,0.06639004149377593
69e4551e000000001f005895,2,8,241,0.03319502074688797
69e4551e000000001f005895,4,4,241,0.016597510373443983
69e481e8000000002003ad94,0,4986,7145,0.6978306508047586
69e481e8000000002003ad94,1,1497,7145,0.20951714485654305
69e481e8000000002003ad94,2,533,7145,0.07459762071378587
69e481e8000000002003ad94,3,29,7145,0.004058782365290413
69e481e8000000002003ad94,4,45,7145,0.006298110566829951
69e481e8000000002003ad94,5,2,7145,0.00027991602519244227
69e481e8000000002003ad94,6,53,7145,0.00741777466759972
