帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,1096,4129,0.2654395737466699
69da7e87000000001a03484e,1,1644,4129,0.39815936062000484
69da7e87000000001a03484e,2,855,4129,0.20707193024945508
69da7e87000000001a03484e,3,422,4129,0.10220392346815209
69da7e87000000001a03484e,4,112,4129,0.02712521191571809
69e44278000000001a0217bb,0,80,230,0.34782608695652173
69e44278000000001a0217bb,1,74,230,0.3217391304347826
69e44278000000001a0217bb,2,46,230,0.2
69e44278000000001a0217bb,3,26,230,0.11304347826086956
69e44278000000001a0217bb,4,4,230,0.017391304347826087
69e44fbf000000001e00cc6a,1,1,8,0.125
69e44fbf000000001e00cc6a,3,7,8,0.875
69e4551e000000001f005895,0,44,254,0.1732283464566929
69e4551e000000001f005895,1,115,254,0.452755905511811
69e4551e000000001f005895,2,52,254,0.2047244094488189
69e4551e000000001f005895,3,27,254,0.1062992125984252
69e4551e000000001f005895,4,16,254,0.06299212598425197
69e481e8000000002003ad94,0,2066,7512,0.2750266240681576
69e481e8000000002003ad94,1,939,7512,0.125
69e481e8000000002003ad94,2,1310,7512,0.17438764643237487
69e481e8000000002003ad94,3,1700,7512,0.22630457933972312
69e481e8000000002003ad94,4,1497,7512,0.1992811501597444
