帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e481e8000000002003ad94,"

",,,2,69e4916c0000000014018c09,69e490ae000000001401d42a,5a3cea154eacab600209420b,为以后做准备，复杂地形，废墟，山地，城市，你懂的[偷笑R]。之后还会有多足机器人，那玩意可就吓人了,2026.04.19,上海,8904.0,,49,强势|服务者,强势,服务者,12,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daef220000000035024590,,6225a0840000000010004d0d,你们这些说机器人跑步没用的人。想想你们老的走不动路的时候。突然心梗 机器人就可以飞一样背着去医院。,2026.04.12,美国,4613.0,241.0,49,成功|观众,成功,观众,13,强势成功,0
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,2,69e494fd000000001401c01e,69e490dd000000001401e423,585b320482ec390142b28a5a,据我今天刷到的不完全统计：在摔倒的机器人对手旁边鼓掌，给观众跳舞，最后没电坐上了救护车,2026.04.19,山东,3219.0,,43,成功|被超越者,成功,被超越者,14,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf728000000001400868f,69daf56d000000001601419c,576457d06a6a695229d3dd8d,他们有时候还会给这玩意穿个带反光条的上衣！但是没有裤子！远远的就听见声音了，它跑过来才看到是个没穿裤子的机器人！,2026.04.12,北京,1203.0,,56,成功|观众,成功,观众,14,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e4962e000000001401b006,,5c23652e00000000050032b8,一个机器人需要3个人伺候，就业新方向来了,2026.04.19,黑龙江,1144.0,73.0,20,强势|服务者,强势,服务者,6,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e492de000000001401d809,69e490ae000000001401d42a,651a3fa30000000024014f22,因为人形可以和人本身结合起来，他可以用人的装备，人的武器，人也可以用他们的,2026.04.19,山东,907.0,,37,强势|服务者,强势,服务者,10,强势成功,0
69e481e8000000002003ad94,"

",,,2,69e49292000000001401a80a,69e490ae000000001401d42a,5b4ae3344eacab35f35772a7,具身智能也是要发展的，这是未来5年重要的发展方向之一,2026.04.19,广东,786.0,,26,强势|服务者,强势,服务者,7,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69db30220000000016016d90,,6787d0a3000000000803e9aa,假如，我是说假如，某一天，机器人造反了，我们会不会连开车都追不上了[笑哭R],2026.04.12,广东,537.0,166.0,38,成功|观众,成功,观众,7,强势成功,0
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dab64a0000000016015dcc,,5f532c2c000000000101eb92,上次见机器人跑步视频，还是两个肥仔在旁边跟着呢。现在这个视频要是没加速，估计程序员跟不上了[笑哭R],2026.04.12,美国,361.0,13.0,50,成功|观众,成功,观众,14,强势成功,0
69e481e8000000002003ad94,"

",,,1,69e5841a000000001401d81f,,5ba7a42e95d6810001712b6e,一个机器人，三个人服侍它，以后不怕没岗位啦[偷笑R],2026.04.20,广东,339.0,51.0,26,强势|服务者,强势,服务者,6,强势成功,0
