method,k_or_mcs,n_topics,outlier_rate,silhouette,dbcv,mean_ari,min_ari,largest_share,smallest_share
hdbscan,10,317.0,0.38480474432136064,0.6015936136245728,0.3005847855032692,1.0,1.0,0.03182975627500909,0.0006062810719049351
hdbscan,20,182.0,0.3812614225504457,0.6326770186424255,0.3354378971716048,1.0,1.0,0.0634155163059859,0.0012056181807221652
hdbscan,30,140.0,0.39233896535004287,0.6324741840362549,0.32329841667232523,1.0,1.0,0.06457156886815615,0.0018413945494721335
hdbscan,50,88.0,0.44418335757711386,0.6560445427894592,0.30139700452275847,1.0,1.0,0.07576164273251912,0.0033552543282780833
hdbscan,80,37.0,0.37514453023012945,0.42914122343063354,0.1760803324591102,1.0,1.0,0.3940189816749239,0.004894645735092222
hdbscan,100,31.0,0.40576628995561526,0.44929006695747375,0.2037077852835762,1.0,1.0,0.39197840823499874,0.006276675872457946
hdbscan,200,3.0,0.09067173921151767,0.15568692982196808,-0.5095908053246713,1.0,1.0,0.8642739950779327,0.04552912223133716
kmeans,5,5.0,0.0,0.3361826241016388,,0.9832205370348573,0.9750308999419878,0.2704859945544739,0.08973928611390847
kmeans,7,7.0,0.0,0.35568881034851074,,0.9764550829168575,0.9653782384468873,0.24120696728954533,0.07067994479877662
kmeans,10,10.0,0.0,0.3589879870414734,,0.7917678296758416,0.7315392131580862,0.2214389616202305,0.042184178135839766
