帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,56,2379,0.023539302227826818
69da7e87000000001a03484e,1,110,2379,0.04623791509037411
69da7e87000000001a03484e,2,141,2379,0.05926860025220681
69da7e87000000001a03484e,3,55,2379,0.023118957545187054
69da7e87000000001a03484e,4,8,2379,0.003362757461118117
69da7e87000000001a03484e,5,153,2379,0.06431273644388398
69da7e87000000001a03484e,6,1,2379,0.0004203446826397646
69da7e87000000001a03484e,7,17,2379,0.007145859604875998
69da7e87000000001a03484e,8,58,2379,0.02437999159310635
69da7e87000000001a03484e,9,75,2379,0.031525851197982346
69da7e87000000001a03484e,10,20,2379,0.008406893652795292
69da7e87000000001a03484e,11,65,2379,0.0273224043715847
69da7e87000000001a03484e,12,46,2379,0.019335855401429174
69da7e87000000001a03484e,13,30,2379,0.012610340479192938
69da7e87000000001a03484e,14,21,2379,0.008827238335435058
69da7e87000000001a03484e,15,53,2379,0.022278268179907523
69da7e87000000001a03484e,16,138,2379,0.058007566204287514
69da7e87000000001a03484e,17,2,2379,0.0008406893652795292
69da7e87000000001a03484e,18,3,2379,0.0012610340479192938
69da7e87000000001a03484e,19,29,2379,0.012189995796553174
69da7e87000000001a03484e,20,4,2379,0.0016813787305590584
69da7e87000000001a03484e,21,21,2379,0.008827238335435058
69da7e87000000001a03484e,22,47,2379,0.019756200084068937
69da7e87000000001a03484e,23,1,2379,0.0004203446826397646
69da7e87000000001a03484e,24,103,2379,0.04329550231189575
69da7e87000000001a03484e,25,8,2379,0.003362757461118117
69da7e87000000001a03484e,26,29,2379,0.012189995796553174
69da7e87000000001a03484e,28,2,2379,0.0008406893652795292
69da7e87000000001a03484e,29,9,2379,0.0037831021437578815
69da7e87000000001a03484e,30,9,2379,0.0037831021437578815
69da7e87000000001a03484e,31,4,2379,0.0016813787305590584
69da7e87000000001a03484e,32,54,2379,0.02269861286254729
69da7e87000000001a03484e,33,2,2379,0.0008406893652795292
69da7e87000000001a03484e,34,2,2379,0.0008406893652795292
69da7e87000000001a03484e,35,27,2379,0.011349306431273645
69da7e87000000001a03484e,36,1,2379,0.0004203446826397646
69da7e87000000001a03484e,37,19,2379,0.007986548970155528
69da7e87000000001a03484e,40,22,2379,0.009247583018074821
69da7e87000000001a03484e,41,8,2379,0.003362757461118117
69da7e87000000001a03484e,42,2,2379,0.0008406893652795292
69da7e87000000001a03484e,43,3,2379,0.0012610340479192938
69da7e87000000001a03484e,44,6,2379,0.0025220680958385876
69da7e87000000001a03484e,45,14,2379,0.0058848255569567045
69da7e87000000001a03484e,46,16,2379,0.006725514922236234
69da7e87000000001a03484e,47,16,2379,0.006725514922236234
69da7e87000000001a03484e,48,8,2379,0.003362757461118117
69da7e87000000001a03484e,49,4,2379,0.0016813787305590584
69da7e87000000001a03484e,50,34,2379,0.014291719209751997
69da7e87000000001a03484e,51,1,2379,0.0004203446826397646
69da7e87000000001a03484e,52,13,2379,0.00546448087431694
69da7e87000000001a03484e,53,15,2379,0.006305170239596469
69da7e87000000001a03484e,54,9,2379,0.0037831021437578815
69da7e87000000001a03484e,55,7,2379,0.0029424127784783522
69da7e87000000001a03484e,56,1,2379,0.0004203446826397646
69da7e87000000001a03484e,57,2,2379,0.0008406893652795292
69da7e87000000001a03484e,58,28,2379,0.011769651113913409
69da7e87000000001a03484e,59,7,2379,0.0029424127784783522
69da7e87000000001a03484e,60,10,2379,0.004203446826397646
69da7e87000000001a03484e,61,1,2379,0.0004203446826397646
69da7e87000000001a03484e,63,19,2379,0.007986548970155528
69da7e87000000001a03484e,65,4,2379,0.0016813787305590584
69da7e87000000001a03484e,66,1,2379,0.0004203446826397646
69da7e87000000001a03484e,68,37,2379,0.015552753257671291
69da7e87000000001a03484e,69,1,2379,0.0004203446826397646
69da7e87000000001a03484e,70,2,2379,0.0008406893652795292
69da7e87000000001a03484e,71,9,2379,0.0037831021437578815
69da7e87000000001a03484e,72,53,2379,0.022278268179907523
69da7e87000000001a03484e,73,1,2379,0.0004203446826397646
69da7e87000000001a03484e,74,4,2379,0.0016813787305590584
69da7e87000000001a03484e,75,2,2379,0.0008406893652795292
69da7e87000000001a03484e,76,10,2379,0.004203446826397646
69da7e87000000001a03484e,78,7,2379,0.0029424127784783522
69da7e87000000001a03484e,79,1,2379,0.0004203446826397646
69da7e87000000001a03484e,80,7,2379,0.0029424127784783522
69da7e87000000001a03484e,81,3,2379,0.0012610340479192938
69da7e87000000001a03484e,82,8,2379,0.003362757461118117
69da7e87000000001a03484e,83,7,2379,0.0029424127784783522
69da7e87000000001a03484e,84,18,2379,0.007566204287515763
69da7e87000000001a03484e,85,2,2379,0.0008406893652795292
69da7e87000000001a03484e,87,9,2379,0.0037831021437578815
69da7e87000000001a03484e,88,3,2379,0.0012610340479192938
69da7e87000000001a03484e,89,1,2379,0.0004203446826397646
69da7e87000000001a03484e,90,5,2379,0.002101723413198823
69da7e87000000001a03484e,91,3,2379,0.0012610340479192938
69da7e87000000001a03484e,92,1,2379,0.0004203446826397646
