帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,865,4053,0.21342215642733778
69da7e87000000001a03484e,1,846,4053,0.20873427091043673
69da7e87000000001a03484e,2,199,4053,0.04909943251912164
69da7e87000000001a03484e,3,465,4053,0.11472982975573649
69da7e87000000001a03484e,4,118,4053,0.029114236368122378
69da7e87000000001a03484e,5,388,4053,0.09573155687145324
69da7e87000000001a03484e,6,247,4053,0.06094251171971379
69da7e87000000001a03484e,7,476,4053,0.11744386873920552
69da7e87000000001a03484e,8,380,4053,0.09375771033802122
69da7e87000000001a03484e,9,69,4053,0.017024426350851222
69db34bb000000001a0348ae,0,108,221,0.48868778280542985
69db34bb000000001a0348ae,1,24,221,0.1085972850678733
69db34bb000000001a0348ae,2,25,221,0.11312217194570136
69db34bb000000001a0348ae,3,32,221,0.14479638009049775
69db34bb000000001a0348ae,4,5,221,0.02262443438914027
69db34bb000000001a0348ae,5,1,221,0.004524886877828055
69db34bb000000001a0348ae,6,2,221,0.00904977375565611
69db34bb000000001a0348ae,7,12,221,0.05429864253393665
69db34bb000000001a0348ae,8,10,221,0.04524886877828054
69db34bb000000001a0348ae,9,2,221,0.00904977375565611
69df625d0000000021005c63,0,293,1172,0.25
69df625d0000000021005c63,1,188,1172,0.16040955631399317
69df625d0000000021005c63,2,182,1172,0.1552901023890785
69df625d0000000021005c63,3,173,1172,0.1476109215017065
69df625d0000000021005c63,4,21,1172,0.017918088737201365
69df625d0000000021005c63,5,35,1172,0.029863481228668942
69df625d0000000021005c63,6,44,1172,0.03754266211604096
69df625d0000000021005c63,7,53,1172,0.04522184300341297
69df625d0000000021005c63,8,130,1172,0.11092150170648464
69df625d0000000021005c63,9,53,1172,0.04522184300341297
69e2583b00000000230211ea,0,237,1185,0.2
69e2583b00000000230211ea,1,404,1185,0.3409282700421941
69e2583b00000000230211ea,2,76,1185,0.06413502109704641
69e2583b00000000230211ea,3,235,1185,0.19831223628691982
69e2583b00000000230211ea,4,12,1185,0.010126582278481013
69e2583b00000000230211ea,5,42,1185,0.035443037974683546
69e2583b00000000230211ea,6,49,1185,0.04135021097046414
69e2583b00000000230211ea,7,65,1185,0.05485232067510549
69e2583b00000000230211ea,8,46,1185,0.038818565400843885
69e2583b00000000230211ea,9,19,1185,0.016033755274261603
69e40352000000002102fc75,0,237,690,0.34347826086956523
69e40352000000002102fc75,1,50,690,0.07246376811594203
69e40352000000002102fc75,2,57,690,0.08260869565217391
69e40352000000002102fc75,3,152,690,0.22028985507246376
69e40352000000002102fc75,4,19,690,0.02753623188405797
69e40352000000002102fc75,5,31,690,0.04492753623188406
69e40352000000002102fc75,6,33,690,0.04782608695652174
69e40352000000002102fc75,7,46,690,0.06666666666666667
69e40352000000002102fc75,8,36,690,0.05217391304347826
69e40352000000002102fc75,9,29,690,0.042028985507246375
69e41e24000000001a025f1a,0,14,76,0.18421052631578946
69e41e24000000001a025f1a,1,20,76,0.2631578947368421
69e41e24000000001a025f1a,2,9,76,0.11842105263157894
69e41e24000000001a025f1a,3,8,76,0.10526315789473684
69e41e24000000001a025f1a,4,12,76,0.15789473684210525
69e41e24000000001a025f1a,6,4,76,0.05263157894736842
69e41e24000000001a025f1a,8,6,76,0.07894736842105263
69e41e24000000001a025f1a,9,3,76,0.039473684210526314
69e429b4000000001b00037a,0,67,437,0.15331807780320367
69e429b4000000001b00037a,1,86,437,0.19679633867276888
69e429b4000000001b00037a,2,93,437,0.2128146453089245
