post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.36348397197243065,2
失败|抢救者,1,0.23036447295568666,2
失败|抢救者,2,0.22942512935066917,2
失败|抢救者,3,0.11037287358955267,2
失败|抢救者,4,0.029419401645760544,2
失败|抢救者,5,0.016375508333810643,2
失败|抢救者,6,0.02055864215208966,2
失败|服务者,0,0.31413612565445026,1
失败|服务者,1,0.13089005235602094,1
失败|服务者,2,0.16753926701570682,1
失败|服务者,3,0.06282722513089005,1
失败|服务者,4,0.06282722513089005,1
失败|服务者,5,0.17277486910994763,1
失败|服务者,6,0.08900523560209424,1
失败|观众,0,0.22563768636608583,2
失败|观众,1,0.2566238548589905,2
失败|观众,2,0.19438207292976467,2
失败|观众,3,0.16025238009700019,2
失败|观众,4,0.020051194539249147,2
失败|观众,5,0.0879064127896533,2
失败|观众,6,0.05514639841925633,2
常态|保护者,0,0.3861607142857143,1
常态|保护者,1,0.03794642857142857,1
常态|保护者,2,0.22098214285714285,1
常态|保护者,3,0.30357142857142855,1
常态|保护者,4,0.026785714285714284,1
常态|保护者,5,0.013392857142857142,1
常态|保护者,6,0.011160714285714286,1
常态|服务者,0,0.24571805006587616,2
常态|服务者,1,0.04782608695652174,2
常态|服务者,2,0.5085638998682477,2
常态|服务者,3,0.050724637681159424,2
常态|服务者,4,0.08530961791831357,2
常态|服务者,5,0.013768115942028985,2
常态|服务者,6,0.04808959156785244,2
常态|观众,0,0.16905562369410881,5
常态|观众,1,0.1774791145365687,5
常态|观众,2,0.1382909437647008,5
常态|观众,3,0.37553082395812515,5
常态|观众,4,0.012228366419819805,5
常态|观众,5,0.028608789591900496,5
常态|观众,6,0.09880633803477622,5
弱势|保护者,0,0.18705035971223022,1
弱势|保护者,1,0.13309352517985612,1
弱势|保护者,2,0.3057553956834532,1
弱势|保护者,3,0.3057553956834532,1
弱势|保护者,4,0.01079136690647482,1
弱势|保护者,5,0.017985611510791366,1
弱势|保护者,6,0.039568345323741004,1
弱势|服务者,0,0.13818722139673106,1
弱势|服务者,1,0.11589895988112928,1
弱势|服务者,2,0.08915304606240713,1
弱势|服务者,3,0.1901931649331352,1
弱势|服务者,4,0.01188707280832095,1
弱势|服务者,5,0.4175334323922734,1
弱势|服务者,6,0.03714710252600297,1
弱势|观众,0,0.16415050868832382,3
弱势|观众,1,0.22964337250051536,3
弱势|观众,2,0.17495531545951715,3
弱势|观众,3,0.32014211745304183,3
弱势|观众,4,0.02765275807292614,3
弱势|观众,5,0.028959462572907952,3
弱势|观众,6,0.05449646525276777,3
强势|服务者,0,0.14609811621387336,4
强势|服务者,1,0.1551120576560572,4
强势|服务者,2,0.1659946028523279,4
强势|服务者,3,0.04260204189332467,4
强势|服务者,4,0.09780728011740297,4
强势|服务者,5,0.10001300633683105,4
强势|服务者,6,0.2923728949301829,4
强势|被超越者,0,0.27868882066100775,2
强势|被超越者,1,0.1889922340617663,2
强势|被超越者,2,0.17811992053458553,2
强势|被超越者,3,0.17573595810005418,2
强势|被超越者,4,0.09255914755282643,2
强势|被超越者,5,0.039118656312082355,2
强势|被超越者,6,0.046785262777677444,2
强势|观众,0,0.22421842593051372,5
强势|观众,1,0.17809932128409292,5
强势|观众,2,0.1963969305112259,5
强势|观众,3,0.18436723638741231,5
强势|观众,4,0.12401154490940611,5
强势|观众,5,0.019474124093185895,5
强势|观众,6,0.07343241688416313,5
混合|观众,0,0.27397767080766133,4
混合|观众,1,0.21592795466697967,4
混合|观众,2,0.1687533632829531,4
混合|观众,3,0.22122592449466807,4
混合|观众,4,0.042482567385475435,4
混合|观众,5,0.040354279641821034,4
混合|观众,6,0.03727823972044138,4
