robot_status,topic,mean_share_post_averaged,n_posts_in_status
失败,0,0.29847588846629663,5
失败,1,0.22097334159707507,5
失败,2,0.2030307343153149,5
失败,3,0.12081554650079915,5
失败,4,0.03235368350018188,5
失败,5,0.0762677422713751,5
失败,6,0.04808306334895725,5
常态,0,0.2153593666110013,8
常态,1,0.12762427189591444,8
常态,2,0.24119558267714278,8
常态,3,0.2853343529655467,8
常态,4,0.032318347777680057,8
常态,5,0.0229966296233022,8
常态,6,0.07517144844941254,8
弱势,0,0.16353782143478654,5
弱势,1,0.1875845205125063,5
弱势,2,0.18395487762488236,5
弱势,3,0.2912749825951428,5
弱势,4,0.02112734278671484,5
弱势,5,0.10447948632435773,5
弱势,6,0.04804096872160946,5
强势,0,0.20571474871182527,11
强势,1,0.17172084592438416,11
强势,2,0.18201844591223748,11
强势,3,0.13124693324640624,11
强势,4,0.1087641036474814,11
强势,5,0.05233272349431076,11
强势,6,0.14820219906335474,11
混合,0,0.27397767080766133,4
混合,1,0.21592795466697967,4
混合,2,0.1687533632829531,4
混合,3,0.22122592449466807,4
混合,4,0.042482567385475435,4
混合,5,0.040354279641821034,4
混合,6,0.03727823972044138,4
