帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,378,4053,0.09326424870466321
69da7e87000000001a03484e,1,283,4053,0.0698248211201579
69da7e87000000001a03484e,2,255,4053,0.06291635825314582
69da7e87000000001a03484e,3,318,4053,0.07846039970392302
69da7e87000000001a03484e,4,422,4053,0.10412040463853936
69da7e87000000001a03484e,5,206,4053,0.05082654823587466
69da7e87000000001a03484e,6,381,4053,0.09400444115470022
69da7e87000000001a03484e,7,313,4053,0.077226745620528
69da7e87000000001a03484e,8,223,4053,0.05502097211941771
69da7e87000000001a03484e,9,302,4053,0.07451270663705897
69da7e87000000001a03484e,10,313,4053,0.077226745620528
69da7e87000000001a03484e,11,659,4053,0.16259560819146313
69db34bb000000001a0348ae,0,31,221,0.14027149321266968
69db34bb000000001a0348ae,1,14,221,0.06334841628959276
69db34bb000000001a0348ae,2,12,221,0.05429864253393665
69db34bb000000001a0348ae,3,16,221,0.07239819004524888
69db34bb000000001a0348ae,4,52,221,0.23529411764705882
69db34bb000000001a0348ae,5,12,221,0.05429864253393665
69db34bb000000001a0348ae,6,14,221,0.06334841628959276
69db34bb000000001a0348ae,7,9,221,0.04072398190045249
69db34bb000000001a0348ae,8,19,221,0.08597285067873303
69db34bb000000001a0348ae,9,16,221,0.07239819004524888
69db34bb000000001a0348ae,10,13,221,0.058823529411764705
69db34bb000000001a0348ae,11,13,221,0.058823529411764705
69df625d0000000021005c63,0,108,1172,0.09215017064846416
69df625d0000000021005c63,1,80,1172,0.06825938566552901
69df625d0000000021005c63,2,72,1172,0.06143344709897611
69df625d0000000021005c63,3,60,1172,0.051194539249146756
69df625d0000000021005c63,4,145,1172,0.12372013651877133
69df625d0000000021005c63,5,39,1172,0.033276450511945395
69df625d0000000021005c63,6,86,1172,0.07337883959044368
69df625d0000000021005c63,7,135,1172,0.11518771331058021
69df625d0000000021005c63,8,110,1172,0.09385665529010238
69df625d0000000021005c63,9,121,1172,0.10324232081911262
69df625d0000000021005c63,10,69,1172,0.05887372013651877
69df625d0000000021005c63,11,147,1172,0.12542662116040956
69e2583b00000000230211ea,0,155,1185,0.1308016877637131
69e2583b00000000230211ea,1,52,1185,0.04388185654008439
69e2583b00000000230211ea,2,63,1185,0.053164556962025315
69e2583b00000000230211ea,3,85,1185,0.07172995780590717
69e2583b00000000230211ea,4,174,1185,0.1468354430379747
69e2583b00000000230211ea,5,74,1185,0.06244725738396625
69e2583b00000000230211ea,6,82,1185,0.06919831223628692
69e2583b00000000230211ea,7,61,1185,0.05147679324894515
69e2583b00000000230211ea,8,140,1185,0.11814345991561181
69e2583b00000000230211ea,9,116,1185,0.09789029535864979
69e2583b00000000230211ea,10,86,1185,0.07257383966244725
69e2583b00000000230211ea,11,97,1185,0.08185654008438818
69e40352000000002102fc75,0,87,690,0.12608695652173912
69e40352000000002102fc75,1,32,690,0.0463768115942029
69e40352000000002102fc75,2,39,690,0.05652173913043478
69e40352000000002102fc75,3,21,690,0.030434782608695653
69e40352000000002102fc75,4,125,690,0.18115942028985507
69e40352000000002102fc75,5,35,690,0.050724637681159424
69e40352000000002102fc75,6,65,690,0.09420289855072464
69e40352000000002102fc75,7,44,690,0.06376811594202898
69e40352000000002102fc75,8,62,690,0.08985507246376812
69e40352000000002102fc75,9,51,690,0.07391304347826087
69e40352000000002102fc75,10,46,690,0.06666666666666667
69e40352000000002102fc75,11,83,690,0.12028985507246377
69e41e24000000001a025f1a,0,6,76,0.07894736842105263
69e41e24000000001a025f1a,1,2,76,0.02631578947368421
69e41e24000000001a025f1a,2,7,76,0.09210526315789473
69e41e24000000001a025f1a,3,2,76,0.02631578947368421
69e41e24000000001a025f1a,4,14,76,0.18421052631578946
69e41e24000000001a025f1a,5,12,76,0.15789473684210525
69e41e24000000001a025f1a,6,4,76,0.05263157894736842
69e41e24000000001a025f1a,7,7,76,0.09210526315789473
69e41e24000000001a025f1a,8,6,76,0.07894736842105263
69e41e24000000001a025f1a,9,5,76,0.06578947368421052
69e41e24000000001a025f1a,10,4,76,0.05263157894736842
69e41e24000000001a025f1a,11,7,76,0.09210526315789473
69e429b4000000001b00037a,0,49,437,0.11212814645308924
69e429b4000000001b00037a,1,19,437,0.043478260869565216
69e429b4000000001b00037a,2,32,437,0.07322654462242563
69e429b4000000001b00037a,3,25,437,0.057208237986270026
69e429b4000000001b00037a,4,41,437,0.09382151029748284
69e429b4000000001b00037a,5,27,437,0.06178489702517163
69e429b4000000001b00037a,6,58,437,0.13272311212814644
69e429b4000000001b00037a,7,76,437,0.17391304347826086
69e429b4000000001b00037a,8,33,437,0.07551487414187644
69e429b4000000001b00037a,9,30,437,0.06864988558352403
69e429b4000000001b00037a,10,25,437,0.057208237986270026
69e429b4000000001b00037a,11,22,437,0.05034324942791762
69e42cc100000000220001ad,0,112,935,0.11978609625668449
69e42cc100000000220001ad,1,112,935,0.11978609625668449
69e42cc100000000220001ad,2,47,935,0.05026737967914439
69e42cc100000000220001ad,3,83,935,0.08877005347593583
69e42cc100000000220001ad,4,56,935,0.059893048128342244
69e42cc100000000220001ad,5,58,935,0.06203208556149733
69e42cc100000000220001ad,6,47,935,0.05026737967914439
69e42cc100000000220001ad,7,159,935,0.17005347593582887
69e42cc100000000220001ad,8,64,935,0.06844919786096257
69e42cc100000000220001ad,9,75,935,0.08021390374331551
69e42cc100000000220001ad,10,65,935,0.06951871657754011
69e42cc100000000220001ad,11,57,935,0.06096256684491978
69e43a5a000000001d01dcc7,0,8,64,0.125
69e43a5a000000001d01dcc7,1,5,64,0.078125
69e43a5a000000001d01dcc7,2,6,64,0.09375
69e43a5a000000001d01dcc7,3,4,64,0.0625
69e43a5a000000001d01dcc7,4,17,64,0.265625
69e43a5a000000001d01dcc7,5,3,64,0.046875
69e43a5a000000001d01dcc7,6,2,64,0.03125
69e43a5a000000001d01dcc7,7,8,64,0.125
69e43a5a000000001d01dcc7,8,3,64,0.046875
69e43a5a000000001d01dcc7,9,6,64,0.09375
69e43a5a000000001d01dcc7,10,1,64,0.015625
69e43a5a000000001d01dcc7,11,1,64,0.015625
69e43b14000000001a02e095,0,73,673,0.10846953937592868
69e43b14000000001a02e095,1,20,673,0.029717682020802376
69e43b14000000001a02e095,2,34,673,0.05052005943536404
69e43b14000000001a02e095,3,78,673,0.11589895988112928
69e43b14000000001a02e095,4,71,673,0.10549777117384844
69e43b14000000001a02e095,5,162,673,0.24071322436849926
69e43b14000000001a02e095,6,29,673,0.04309063893016345
69e43b14000000001a02e095,7,69,673,0.1025260029717682
69e43b14000000001a02e095,8,32,673,0.0475482912332838
69e43b14000000001a02e095,9,43,673,0.0638930163447251
69e43b14000000001a02e095,10,46,673,0.06835066864784546
69e43b14000000001a02e095,11,16,673,0.0237741456166419
69e4412a000000002103883f,0,30,294,0.10204081632653061
69e4412a000000002103883f,1,9,294,0.030612244897959183
69e4412a000000002103883f,2,29,294,0.09863945578231292
69e4412a000000002103883f,3,18,294,0.061224489795918366
69e4412a000000002103883f,4,31,294,0.1054421768707483
69e4412a000000002103883f,5,19,294,0.06462585034013606
69e4412a000000002103883f,6,26,294,0.08843537414965986
69e4412a000000002103883f,7,38,294,0.1292517006802721
69e4412a000000002103883f,8,20,294,0.06802721088435375
69e4412a000000002103883f,9,35,294,0.11904761904761904
69e4412a000000002103883f,10,15,294,0.05102040816326531
69e4412a000000002103883f,11,24,294,0.08163265306122448
69e44171000000001a026b25,0,39,313,0.12460063897763578
69e44171000000001a026b25,1,17,313,0.054313099041533544
69e44171000000001a026b25,2,18,313,0.05750798722044728
69e44171000000001a026b25,3,19,313,0.06070287539936102
69e44171000000001a026b25,4,34,313,0.10862619808306709
69e44171000000001a026b25,5,31,313,0.09904153354632587
69e44171000000001a026b25,6,41,313,0.13099041533546327
69e44171000000001a026b25,7,24,313,0.07667731629392971
69e44171000000001a026b25,8,45,313,0.14376996805111822
69e44171000000001a026b25,9,17,313,0.054313099041533544
69e44171000000001a026b25,10,8,313,0.025559105431309903
69e44171000000001a026b25,11,20,313,0.06389776357827476
69e4426b000000001d01c7ed,0,103,1257,0.08194112967382657
69e4426b000000001d01c7ed,1,122,1257,0.09705648369132856
69e4426b000000001d01c7ed,2,83,1257,0.066030230708035
69e4426b000000001d01c7ed,3,136,1257,0.10819411296738266
69e4426b000000001d01c7ed,4,118,1257,0.09387430389817025
69e4426b000000001d01c7ed,5,90,1257,0.07159904534606205
