帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e0c65e0000000014018c03,,68e894bd0000000037032cf2,对不起我的女儿[哭惹R][哭惹R]   我是一个蹦溃的母亲。宝贝女儿才5岁就得了 重z.症  。。在ICu里面连呼吸都困难，我实在太无...助了，为了留住宝宝，一天只能睡4小时，在饭店做服务员，夜里送外卖。不敢休息[哭惹R]  给大伙:跪:下球啦闺女一把[合十R]叩谢,2026.04.16,江苏,1.0,0.0,134,失败|观众,失败,观众,27,失败,0,0.963332812708499
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看🤣

",,5834.0,1,69e7a976000000001401e812,,67d4daa7000000000a03e9de,对不住  我的宝宝[哭惹R][哭惹R]我是一个 蹦溃的妈妈 。宝贝儿才五岁就得了 这种唉  。。在ICu里面连呼吸都困难，我实在太无...助了，为了留住宝宝，一天只能睡4小时，在饭店做服务员，夜里送外卖。不敢休息[哭惹R]  跪 ：[合十R]下球大伙啦，一把[合十R]叩谢,2026.04.22,山东,0.0,0.0,136,混合|观众,混合,观众,27,,0,0.9583326968545073
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看🤣

",,5834.0,1,69e582ba000000001401a022,,6451c1380000000029016240,对不住 我的宝贝一一[捂脸R][捂脸R]我真不是一个合格的母亲，才1岁的一一就遭那么大的罪:癫:k娴[捂脸R]，请原谅妈妈的无能，我已拼劲全力，倾尽一切，借遍所有亲朋好友～为了把你从si神手中夺 回，我一天做几份工作，没日没夜环卫送外卖连轴转，[哭惹R]困到站着都能睡着[哭惹R]啃球点 开看看，啦啦我命苦的娃儿，给你跪[合十R]谢感恩了,2026.04.20,河北,1.0,0.0,169,混合|观众,混合,观众,33,,0,0.9427071866790093
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e1b3ed000000001401cc0d,,68c010b3000000001903e545,对不起我的宝贝女儿[合十R][合十R]我不是一个合格妈妈，女儿才一岁就受了那么大的罪过[哭惹R]，请原谅妈妈的无能，我拼尽全力，用掉了所有，借遍了一切。为了给你续**命，我一天做几份工作，困得站着都能睡着[哭惹R]祈__求头象看看  啦啦命苦的女娲吧[合十R],2026.04.17,广东,0.0,0.0,130,失败|观众,失败,观众,26,失败,0,0.9388882536415206
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69db17e0000000003501c1f8,,648ba258000000001c028e16,反正这会也不知道哪个有用，就乱点天赋树，总有一两个会出成果吧[doge],2026.04.12,河南,0.0,0.0,36,强势|观众,强势,观众,11,强势成功,0,0.8981463635516477
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了🤣🤣🤣

",,8501.0,1,69e5b585000000001401c415,,60b210ff000000000101c486,欺负小孩儿，刚看一个机器人那大长腿，一步够他倒腾十步了[失望R],2026.04.20,河北,4.0,0.0,32,弱势|观众,弱势,观众,9,弱势,0,0.8981461842981502
69e481e8000000002003ad94,"

",,,1,69e7466e000000001401c800,,5b7282fe4d3313000150c5bc,以前的作文写扶老太太过马路，以后的小朋友会不会改成扶机器人过马路[笑哭R][笑哭R][笑哭R][笑哭R],2026.04.21,广东,1.0,0.0,52,强势|服务者,强势,服务者,8,强势成功,0,0.8981453596648887
69e481e8000000002003ad94,"

",,,2,69e49803000000001401c801,69e4958b000000001401a800,6497a3bf000000001f007a7f,[微笑R]当年马车行老板也是这样想的，我这个马车多灵活，造啥火车呀，只能开在铁轨上。,2026.04.19,浙江,5.0,,42,强势|服务者,强势,服务者,11,强势成功,0,0.8981442934053683
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69dfa13900000000150097c4,,619b112600000000100052e9,指望这些机器人养老，先得给机器人配三个人工[doge],2026.04.15,上海,3.0,0.0,27,失败|观众,失败,观众,8,失败,0,0.8854144176266335
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,2,69e49db7000000001401a825,69e45575000000001401e004,63fa8ee30000000029016989,应该是操作失误，不知道哪个代码撞上了。只能冲上去，手动断电。,2026.04.19,湖南,1.0,,30,强势|服务者,强势,服务者,8,强势成功,0,0.8854119155615372
