robot_status,topic,mean_share_post_averaged,n_posts_in_status
失败,0,0.2711140054929765,5
失败,1,0.15670936886952788,5
失败,2,0.17162771933618154,5
失败,3,0.16295211992782982,5
失败,4,0.2375967863734842,5
常态,0,0.21882051213457968,8
常态,1,0.17168933378945664,8
常态,2,0.2208221800041385,8
常态,3,0.22148224217661971,8
常态,4,0.16718573189520547,8
弱势,0,0.20835744462165046,5
弱势,1,0.14246568023302875,5
弱势,2,0.1441661873005237,5
弱势,3,0.32930307284257004,5
弱势,4,0.17570761500222706,5
强势,0,0.19512697939684917,11
强势,1,0.156010112386924,11
强势,2,0.20628195191288887,11
强势,3,0.2352853067138905,11
强势,4,0.20729564958944743,11
混合,0,0.2320878055168813,4
混合,1,0.17097858629008497,4
混合,2,0.1404475693152896,4
混合,3,0.2243715753364885,4
混合,4,0.23211446354125553,4
