post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.21327491074326518,2
失败|抢救者,1,0.09795520934761441,2
失败|抢救者,2,0.0948851595165817,2
失败|抢救者,3,0.14915516352597513,2
失败|抢救者,4,0.1991542089084904,2
失败|抢救者,5,0.10953662867289077,2
失败|抢救者,6,0.1360387192851824,2
失败|服务者,0,0.18848167539267016,1
失败|服务者,1,0.08376963350785341,1
失败|服务者,2,0.09424083769633508,1
失败|服务者,3,0.07329842931937172,1
失败|服务者,4,0.21465968586387435,1
失败|服务者,5,0.2356020942408377,1
失败|服务者,6,0.1099476439790576,1
失败|观众,0,0.18254894916472067,2
失败|观众,1,0.1654841027483384,2
失败|观众,2,0.10577959403628526,2
失败|观众,3,0.09176845697862404,2
失败|观众,4,0.13838243218968924,2
失败|观众,5,0.1864334470989761,2
失败|观众,6,0.12960301778336628,2
常态|保护者,0,0.23660714285714285,1
常态|保护者,1,0.265625,1
常态|保护者,2,0.06919642857142858,1
常态|保护者,3,0.07142857142857142,1
常态|保护者,4,0.10714285714285714,1
常态|保护者,5,0.14508928571428573,1
常态|保护者,6,0.10491071428571429,1
常态|服务者,0,0.1938076416337286,2
常态|服务者,1,0.13339920948616601,2
常态|服务者,2,0.17160737812911725,2
常态|服务者,3,0.22891963109354413,2
常态|服务者,4,0.1321475625823452,2
常态|服务者,5,0.0391304347826087,2
常态|服务者,6,0.10098814229249012,2
常态|观众,0,0.10383396640030473,5
常态|观众,1,0.11845474075450138,5
常态|观众,2,0.15304138660665784,5
常态|观众,3,0.18478235947977328,5
常态|观众,4,0.1595937880860502,5
常态|观众,5,0.17326048489317844,5
常态|观众,6,0.10703327377953413,5
弱势|保护者,0,0.20863309352517986,1
弱势|保护者,1,0.11151079136690648,1
弱势|保护者,2,0.1079136690647482,1
弱势|保护者,3,0.2733812949640288,1
弱势|保护者,4,0.11151079136690648,1
弱势|保护者,5,0.11151079136690648,1
弱势|保护者,6,0.07553956834532374,1
弱势|服务者,0,0.11441307578008915,1
弱势|服务者,1,0.08023774145616643,1
弱势|服务者,2,0.08915304606240713,1
弱势|服务者,3,0.2213967310549777,1
弱势|服务者,4,0.09063893016344725,1
弱势|服务者,5,0.3016344725111441,1
弱势|服务者,6,0.1025260029717682,1
弱势|观众,0,0.15179550608122036,3
弱势|观众,1,0.13905101434513198,3
弱势|观众,2,0.12359173972619351,3
弱势|观众,3,0.20657087077255146,3
弱势|观众,4,0.11740696278511405,3
弱势|观众,5,0.14980392156862746,3
弱势|观众,6,0.1117799847211612,3
强势|服务者,0,0.09912922864730093,4
强势|服务者,1,0.15085291979634052,4
强势|服务者,2,0.17937297448725514,4
强势|服务者,3,0.10982965896000388,4
强势|服务者,4,0.12087327188171743,4
强势|服务者,5,0.22109858046250677,4
强势|服务者,6,0.11884336576487534,4
强势|被超越者,0,0.18187646740111973,2
强势|被超越者,1,0.12469748961531515,2
强势|被超越者,2,0.1437511287700921,2
强势|被超越者,3,0.13558786346396967,2
强势|被超越者,4,0.13814339895250136,2
强势|被超越者,5,0.09883510926494492,2
强势|被超越者,6,0.17710854253205707,2
强势|观众,0,0.1693027068519768,5
强势|观众,1,0.11460575591453295,5
强势|观众,2,0.14832401115829758,5
强势|观众,3,0.13804431731566372,5
强势|观众,4,0.16631351405723613,5
强势|观众,5,0.11091565114501929,5
强势|观众,6,0.15249404355727353,5
混合|观众,0,0.16413284030683437,4
混合|观众,1,0.13174381755166914,4
混合|观众,2,0.10962387118721847,4
混合|观众,3,0.17048898808566387,4
混合|观众,4,0.1480508173872545,4
混合|观众,5,0.12078558202674429,4
混合|观众,6,0.15517408345461534,4
