excluded_post_id,robot_status,topic,delta_mean_share
69da7e87000000001a03484e,失败,0,0.0
69da7e87000000001a03484e,失败,1,0.0
69da7e87000000001a03484e,失败,2,0.0
69da7e87000000001a03484e,失败,3,0.0
69da7e87000000001a03484e,失败,4,0.0
69da7e87000000001a03484e,失败,5,0.0
69da7e87000000001a03484e,失败,6,0.0
69da7e87000000001a03484e,常态,0,0.0
69da7e87000000001a03484e,常态,1,0.0
69da7e87000000001a03484e,常态,2,0.0
69da7e87000000001a03484e,常态,3,0.0
69da7e87000000001a03484e,常态,4,0.0
69da7e87000000001a03484e,常态,5,0.0
69da7e87000000001a03484e,常态,6,0.0
69da7e87000000001a03484e,弱势,0,0.0
69da7e87000000001a03484e,弱势,1,0.0
69da7e87000000001a03484e,弱势,2,0.0
69da7e87000000001a03484e,弱势,3,0.0
69da7e87000000001a03484e,弱势,4,0.0
69da7e87000000001a03484e,弱势,5,0.0
69da7e87000000001a03484e,弱势,6,0.0
69da7e87000000001a03484e,强势,0,-0.005205392948217119
69da7e87000000001a03484e,强势,1,-0.0008267231571263411
69da7e87000000001a03484e,强势,2,-0.0007493613548029271
69da7e87000000001a03484e,强势,3,0.0008347808839357651
69da7e87000000001a03484e,强势,4,0.007664730885502846
69da7e87000000001a03484e,强势,5,-0.0012165746573348235
69da7e87000000001a03484e,强势,6,-0.0005014596519574144
69da7e87000000001a03484e,混合,0,0.0
69da7e87000000001a03484e,混合,1,0.0
69da7e87000000001a03484e,混合,2,0.0
69da7e87000000001a03484e,混合,3,0.0
69da7e87000000001a03484e,混合,4,0.0
69da7e87000000001a03484e,混合,5,0.0
69da7e87000000001a03484e,混合,6,0.0
69db34bb000000001a0348ae,失败,0,0.001940555225116769
69db34bb000000001a0348ae,失败,1,0.009156182902538779
69db34bb000000001a0348ae,失败,2,0.004646819576922034
69db34bb000000001a0348ae,失败,3,0.011298081449027414
69db34bb000000001a0348ae,失败,4,0.004236744514665894
69db34bb000000001a0348ae,失败,5,0.009874156484325575
69db34bb000000001a0348ae,失败,6,-0.04115254015259648
69db34bb000000001a0348ae,常态,0,0.0
69db34bb000000001a0348ae,常态,1,0.0
69db34bb000000001a0348ae,常态,2,0.0
69db34bb000000001a0348ae,常态,3,0.0
69db34bb000000001a0348ae,常态,4,0.0
69db34bb000000001a0348ae,常态,5,0.0
69db34bb000000001a0348ae,常态,6,0.0
69db34bb000000001a0348ae,弱势,0,0.0
69db34bb000000001a0348ae,弱势,1,0.0
69db34bb000000001a0348ae,弱势,2,0.0
69db34bb000000001a0348ae,弱势,3,0.0
69db34bb000000001a0348ae,弱势,4,0.0
69db34bb000000001a0348ae,弱势,5,0.0
69db34bb000000001a0348ae,弱势,6,0.0
69db34bb000000001a0348ae,强势,0,0.0
69db34bb000000001a0348ae,强势,1,0.0
69db34bb000000001a0348ae,强势,2,0.0
69db34bb000000001a0348ae,强势,3,0.0
69db34bb000000001a0348ae,强势,4,0.0
69db34bb000000001a0348ae,强势,5,0.0
69db34bb000000001a0348ae,强势,6,0.0
69db34bb000000001a0348ae,混合,0,0.0
69db34bb000000001a0348ae,混合,1,0.0
69db34bb000000001a0348ae,混合,2,0.0
69db34bb000000001a0348ae,混合,3,0.0
69db34bb000000001a0348ae,混合,4,0.0
69db34bb000000001a0348ae,混合,5,0.0
69db34bb000000001a0348ae,混合,6,0.0
