帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,660,4053,0.16284233900814213
69da7e87000000001a03484e,1,245,4053,0.06044905008635579
69da7e87000000001a03484e,2,101,4053,0.024919812484579324
69da7e87000000001a03484e,3,95,4053,0.023439427584505304
69da7e87000000001a03484e,4,107,4053,0.026400197384653344
69da7e87000000001a03484e,5,133,4053,0.03281519861830743
69da7e87000000001a03484e,6,404,4053,0.0996792499383173
69da7e87000000001a03484e,7,299,4053,0.07377251418702196
69da7e87000000001a03484e,8,234,4053,0.05773501110288675
69da7e87000000001a03484e,9,411,4053,0.10140636565507032
69da7e87000000001a03484e,10,1132,4053,0.2792992844806316
69da7e87000000001a03484e,11,232,4053,0.057241549469528745
69db34bb000000001a0348ae,0,93,221,0.42081447963800905
69db34bb000000001a0348ae,1,16,221,0.07239819004524888
69db34bb000000001a0348ae,2,2,221,0.00904977375565611
69db34bb000000001a0348ae,3,5,221,0.02262443438914027
69db34bb000000001a0348ae,4,2,221,0.00904977375565611
69db34bb000000001a0348ae,5,6,221,0.027149321266968326
69db34bb000000001a0348ae,6,12,221,0.05429864253393665
69db34bb000000001a0348ae,7,9,221,0.04072398190045249
69db34bb000000001a0348ae,8,5,221,0.02262443438914027
69db34bb000000001a0348ae,9,11,221,0.049773755656108594
69db34bb000000001a0348ae,10,51,221,0.23076923076923078
69db34bb000000001a0348ae,11,9,221,0.04072398190045249
69df625d0000000021005c63,0,220,1172,0.18771331058020477
69df625d0000000021005c63,1,55,1172,0.04692832764505119
69df625d0000000021005c63,2,66,1172,0.05631399317406143
69df625d0000000021005c63,3,74,1172,0.06313993174061433
69df625d0000000021005c63,4,23,1172,0.01962457337883959
69df625d0000000021005c63,5,17,1172,0.014505119453924915
69df625d0000000021005c63,6,104,1172,0.08873720136518772
69df625d0000000021005c63,7,105,1172,0.08959044368600683
69df625d0000000021005c63,8,65,1172,0.05546075085324232
69df625d0000000021005c63,9,80,1172,0.06825938566552901
69df625d0000000021005c63,10,305,1172,0.26023890784982934
69df625d0000000021005c63,11,58,1172,0.04948805460750853
69e2583b00000000230211ea,0,218,1185,0.1839662447257384
69e2583b00000000230211ea,1,59,1185,0.049789029535864976
69e2583b00000000230211ea,2,27,1185,0.02278481012658228
69e2583b00000000230211ea,3,23,1185,0.019409282700421943
69e2583b00000000230211ea,4,22,1185,0.018565400843881856
