帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc89b6000000000202b60b,,5cbfada9000000001603a627,机器人有医保吗,2026.04.13,浙江,15.0,3.0,7,失败|抢救者,失败,抢救者,2,失败,0,0.20636877563872177
69e2583b00000000230211ea,"

",,2406.0,1,69e45606000000001401bc04,,5bfb941625225900018d37d6,平账机器人？,2026.04.19,江苏,10.0,1.0,6,失败|抢救者,失败,抢救者,2,失败,0,0.20636877563872177
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dae3b2000000000d03f7d4,,677a316b00000000180175ee,话说，以后中国足球队能派机器人去踢吗[偷笑R][偷笑R][偷笑R][偷笑R],2026.04.12,北京,9.0,2.0,38,强势|观众,强势,观众,3,强势成功,0,0.20636877563872177
69e2583b00000000230211ea,"

",,2406.0,2,69e2f812000000001401d81d,69e2f781000000001401880a,635c1478000000001802aabb,机器人别串,2026.04.18,云南,6.0,,5,失败|抢救者,失败,抢救者,2,失败,0,0.20636877563872177
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9a60000000003501d64c,,670cdc18000000001e00ee6c,机器人🤖别闹了行不,2026.04.13,北京,5.0,0.0,9,失败|抢救者,失败,抢救者,2,失败,0,0.20636877563872177
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69df952b000000001500a947,,643bfb7b000000000d019881,我买的机器人基要赔了吗,2026.04.15,江苏,5.0,2.0,11,失败|观众,失败,观众,2,失败,0,0.20636877563872177
69e48d54000000002102e178,"😭亦庄机器人半马最感人一幕

",,1589.0,1,69e4a340000000001401e405,,57e5c1836a6a69473eb75402,这是华北电力大学的机器人耶,2026.04.19,北京,4.0,0.0,13,弱势|保护者,弱势,保护者,2,弱势,0,0.20636877563872177
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db04690000000016014218,69db02c8000000003501de1d,5ea3b5590000000001004228,你猜机器人为啥叫机器人,2026.04.12,浙江,4.0,,11,强势|观众,强势,观众,2,强势成功,0,0.20636877563872177
69e46730000000001d0199c8,"

",,761.0,2,69e563a2000000001401cc09,69e562600000000014019009,5e107bd4000000000100708c,总共有三百多个机器人,2026.04.20,北京,3.0,,10,强势|观众,强势,观众,3,强势成功,0,0.20636877563872177
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dbbeac000000001500ba51,,613892e50000000002026074,陆军各集团军合成旅空降兵军合成旅海军陆战队合成旅都可以编成一个机器人营！,2026.04.12,浙江,2.0,0.0,36,强势|观众,强势,观众,10,强势成功,0,0.20636877563872177
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69df9f06000000003500d003,,566d46fe6a6a693ce0a2f00c,以后会不会说笑机器人是很不人道的[笑哭R],2026.04.15,广东,2.0,0.0,21,失败|观众,失败,观众,2,失败,0,0.20636877563872177
69e48341000000001a02d0c4,"机器人马拉松，我们看乐了，西方人看破防了🤣

",3931.0,1022.0,1,69e49c53000000001401c813,,6787a614000000000801f200,我们卷我们的机器人，它们打它们的侵略仗…[微笑R][微笑R][微笑R],2026.04.19,浙江,2.0,0.0,35,强势|观众,强势,观众,2,强势成功,0,0.20636877563872177
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e441a2000000001401c412,,57394ea4aed7587ff379db63,还是个社牛机器人[笑哭R],2026.04.19,河北,2.0,0.0,13,常态|观众,常态,观众,2,常态,0,0.20636877563872177
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e43d90000000001401b80c,,644ec64f0000000012035874,这副机器人不着调[失望R],2026.04.19,吉林,2.0,0.0,13,常态|观众,常态,观众,2,常态,0,0.20636877563872177
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69def67400000000350130bb,69dcbf41000000000203506c,5b825f93f25aeb000105b155,机器人老了怎门办！,2026.04.15,北京,2.0,,9,失败|抢救者,失败,抢救者,2,失败,0,0.20636877563872177
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf3a7000000003500ccff,69daf2f8000000000d03494e,5c138faf49cf5900014b6908,机器人：力大砖飞[坏笑R],2026.04.12,陕西,2.0,,13,强势|观众,强势,观众,2,强势成功,0,0.20636877563872177
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e58b130000000014018008,,5c8761120000000011007157,这个银色的机器人太赞了[赞R],2026.04.20,山东,1.0,0.0,15,强势|被超越者,强势,被超越者,3,强势成功,0,0.20636877563872177
69e2583b00000000230211ea,"

",,2406.0,1,69e2ea05000000001401c421,,601e0da500000000010089d4,这就是满网吹爆的机器人吗,2026.04.18,黑龙江,1.0,0.0,12,失败|抢救者,失败,抢救者,2,失败,0,0.20636877563872177
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看🤣

",,5834.0,1,69e73a0f000000001401d42c,,60ee58fa0000000001017393,怎么还有机器人会饭撒的[笑哭R],2026.04.21,四川,1.0,0.0,16,混合|观众,混合,观众,2,,0,0.20636877563872177
69e481e8000000002003ad94,"

",,,1,69e4a181000000001401bc1b,,6007d4dc0000000001008ea8,这个机器人又高又乖，太帅了[点赞R],2026.04.19,广东,1.0,0.0,18,强势|服务者,强势,服务者,2,强势成功,0,0.20636877563872177
69e481e8000000002003ad94,"

",,,1,69e56d64000000001401c405,,641a67e00000000012013cbe,感觉机器人好笨,2026.04.20,韩国,1.0,0.0,7,强势|服务者,强势,服务者,2,强势成功,0,0.20636877563872177
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,1,69e462f30000000014018c1b,,65223db40000000024017c43,机器人加啥油[失望R],2026.04.19,浙江,1.0,0.0,11,常态|观众,常态,观众,2,常态,0,0.20636877563872177
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,1,69e4881b0000000014018812,,5e68dc85000000000100be97,机器人说少管我[笑哭R][笑哭R][笑哭R],2026.04.19,安徽,1.0,0.0,22,强势|服务者,强势,服务者,2,强势成功,0,0.20636877563872177
69e447d2000000001d01aa01,"当算法有了腿，程序员万万没想到……

",,2912.0,1,69e4720a000000001401bc27,,678b1dc8000000000e01e3b2,骑上另一个机器人追啊[同款R][笑哭了R],2026.04.19,广东,1.0,0.0,21,强势|服务者,强势,服务者,2,强势成功,0,0.20636877563872177
69e46730000000001d0199c8,"

",,761.0,1,69e49953000000001401c826,,5658b4ee6a6a69464086d403,那个胸脯子放个主机箱的机器人太潦草了吧,2026.04.19,北京,1.0,0.0,19,强势|观众,强势,观众,5,强势成功,0,0.20636877563872177
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69eae3fd0000000014018826,,5bbca207cb2cc70001289d10,大炼机器人,2026.04.24,北京,1.0,0.0,5,失败|服务者,失败,服务者,2,失败,0,0.20636877563872177
69e429b4000000001b00037a,"张杰演唱会机器人来参加半马了？？

",,2026.0,1,69e45a82000000001401bc1a,,5485987be77989720886d16b,Mbti里的：E型机器人[偷笑R],2026.04.19,北京,1.0,0.0,17,常态|观众,常态,观众,2,常态,0,0.20636877563872177
