robot_status,topic,mean_share_post_averaged,n_posts_in_status
失败,0,0.2719309266843598,5
失败,1,0.10002416050049337,5
失败,2,0.07341058127374267,5
失败,3,0.06486989227095523,5
失败,4,0.4897644392704489,5
常态,0,0.21691590756233425,8
常态,1,0.06846867033716382,8
常态,2,0.12044612177221228,8
常态,3,0.17619253782359864,8
常态,4,0.4179767625046909,8
弱势,0,0.17096672787229558,5
弱势,1,0.0677318787707869,5
弱势,2,0.059009143088362324,5
弱势,3,0.23964958782679652,5
弱势,4,0.46264266244175856,5
强势,0,0.1687780534126989,11
强势,1,0.09932693771050462,11
强势,2,0.11020803605750679,11
强势,3,0.08745034020745698,11
强势,4,0.5342366326118327,11
混合,0,0.2413582818976845,4
混合,1,0.07486523293287119,4
混合,2,0.05818793663250765,4
混合,3,0.15983867507771746,4
混合,4,0.46574987345921925,4
