target_nr_topics,c_v_coherence,n_topics_final,raw_outlier_rate,raw_coverage,valid_docs,largest_topic_size,largest_share_valid,median_topic_size,min_topic_size,max_topic_size,n_posts_covered,review_burden_ok,max_cluster_ok
10,0.6540296924460021,9,0.4331803031255896,0.5668196968744104,9013,7380,0.8188172639520692,46.0,35,7380,,False,False
15,0.6557182055443957,14,0.4331803031255896,0.5668196968744104,9013,4747,0.5266836791301454,107.5,33,4747,,False,False
20,0.6606813889196663,19,0.4331803031255896,0.5668196968744104,9013,4683,0.5195828248086097,64.0,33,4683,,False,False
25,0.6124306814747066,24,0.4331803031255896,0.5668196968744104,9013,4003,0.4441362476422945,77.0,33,4003,,False,False
30,0.5506694867431423,29,0.4331803031255896,0.5668196968744104,9013,2770,0.30733385110396094,64.0,30,2770,,False,False
35,0.5506694867431423,34,0.4331803031255896,0.5668196968744104,9013,1546,0.17153001220459335,74.5,30,1546,,False,False
40,0.7116708275025189,39,0.4331803031255896,0.5668196968744104,9013,1546,0.17153001220459335,90.0,30,1546,,False,False
45,0.6712977139132094,44,0.4331803031255896,0.5668196968744104,9013,1546,0.17153001220459335,74.5,30,1546,,True,False
50,0.6554341222898541,49,0.4331803031255896,0.5668196968744104,9013,1320,0.1464551203816709,64.0,30,1320,,True,False
55,0.629058485780101,54,0.4331803031255896,0.5668196968744104,9013,1320,0.1464551203816709,75.0,30,1320,,True,False
60,0.6417332145845436,59,0.4331803031255896,0.5668196968744104,9013,1320,0.1464551203816709,65.0,30,1320,,True,False
65,0.6480563801223129,64,0.4331803031255896,0.5668196968744104,9013,1119,0.12415399977809831,71.5,30,1119,,True,False
70,0.6159635397718277,69,0.4331803031255896,0.5668196968744104,9013,1102,0.12226783534894042,65.0,30,1102,,True,False
75,0.5962153606866216,74,0.4331803031255896,0.5668196968744104,9013,756,0.0838788416731388,65.0,30,756,,True,True
80,0.583456568156166,79,0.4331803031255896,0.5668196968744104,9013,689,0.07644513480528126,65.0,30,689,,True,True
85,0.5764413902918241,84,0.4331803031255896,0.5668196968744104,9013,689,0.07644513480528126,64.0,30,689,,True,True
90,0.604646634857185,89,0.4331803031255896,0.5668196968744104,9013,689,0.07644513480528126,64.0,30,689,,True,True
95,0.5723930864179995,94,0.4331803031255896,0.5668196968744104,9013,689,0.07644513480528126,64.0,30,689,,True,True
100,0.5723930864179995,95,0.4331803031255896,0.5668196968744104,9013,689,0.07644513480528126,64.0,30,689,,True,True
