target_nr_topics,c_v_coherence,n_topics_final,raw_outlier_rate,raw_coverage,valid_docs,largest_topic_size,largest_share_valid,median_topic_size,min_topic_size,max_topic_size,n_posts_covered,review_burden_ok,max_cluster_ok
10,0.7008506962336545,9,0.4778185151237397,0.5221814848762603,5697,3181,0.5583640512550465,66.0,32,3181,,False,False
15,0.7229977804893366,14,0.4778185151237397,0.5221814848762603,5697,1874,0.3289450588028787,58.5,31,1874,,False,False
20,0.612162504096393,19,0.4778185151237397,0.5221814848762603,5697,1600,0.280849569949096,87.0,31,1600,,False,False
25,0.48664485313960326,24,0.4778185151237397,0.5221814848762603,5697,1053,0.1848341232227488,97.5,31,1053,,False,False
30,0.44518794131868794,29,0.4778185151237397,0.5221814848762603,5697,1053,0.1848341232227488,74.0,31,1053,,False,False
35,0.4810285109986313,34,0.4778185151237397,0.5221814848762603,5697,804,0.14112690889942076,98.5,31,804,,False,False
40,0.5076401619568416,39,0.4778185151237397,0.5221814848762603,5697,646,0.11339301386694751,102.0,31,646,,False,True
45,0.5047161818975856,44,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,79.5,31,570,,True,True
50,0.5027786442759011,49,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,74.0,31,570,,True,True
55,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
60,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
65,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
70,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
75,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
80,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
85,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
90,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
95,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
100,0.5027786442759011,50,0.4778185151237397,0.5221814848762603,5697,570,0.10005265929436545,75.0,31,570,,True,True
