target_nr_topics,c_v_coherence,n_topics_final,raw_outlier_rate,raw_coverage,valid_docs,largest_topic_size,largest_share_valid,median_topic_size,min_topic_size,max_topic_size,n_posts_covered,review_burden_ok,max_cluster_ok
10,0.5757969625018141,9,0.44418335757711386,0.5558166424228861,14902,7214,0.4840960944839619,165.0,53,7214,,False,False
15,0.5875774838153753,14,0.44418335757711386,0.5558166424228861,14902,7149,0.47973426385720036,177.5,53,7149,,False,False
20,0.6243667766699975,19,0.44418335757711386,0.5558166424228861,14902,6235,0.41840021473627703,162.0,53,6235,,False,False
25,0.6539665266329755,24,0.44418335757711386,0.5558166424228861,14902,6132,0.41148839082002414,106.5,52,6132,,False,False
30,0.6308024523233157,29,0.44418335757711386,0.5558166424228861,14902,5944,0.39887263454569855,110.0,52,5944,,False,False
35,0.6075464506471339,34,0.44418335757711386,0.5558166424228861,14902,5944,0.39887263454569855,102.5,52,5944,,False,False
40,0.6690350474264374,39,0.44418335757711386,0.5558166424228861,14902,4123,0.27667427190981075,102.0,52,4123,,False,False
45,0.6606899184451366,44,0.44418335757711386,0.5558166424228861,14902,4123,0.27667427190981075,104.0,52,4123,,True,False
50,0.6828355964834227,49,0.44418335757711386,0.5558166424228861,14902,2994,0.20091262917729164,110.0,52,2994,,True,False
55,0.6621465594824758,54,0.44418335757711386,0.5558166424228861,14902,2755,0.1848745134881224,115.0,52,2755,,True,False
60,0.6751395800805389,59,0.44418335757711386,0.5558166424228861,14902,2701,0.18125083881358206,109.0,52,2701,,True,False
65,0.6300432804204482,64,0.44418335757711386,0.5558166424228861,14902,2701,0.18125083881358206,109.5,52,2701,,True,False
70,0.5858761100661022,69,0.44418335757711386,0.5558166424228861,14902,2533,0.1699771842705677,109.0,52,2533,,True,False
75,0.5566851623021268,74,0.44418335757711386,0.5558166424228861,14902,2533,0.1699771842705677,106.0,50,2533,,True,False
80,0.5750337130916542,79,0.44418335757711386,0.5558166424228861,14902,1899,0.1274325593880016,104.0,50,1899,,True,False
85,0.5586813883111652,84,0.44418335757711386,0.5558166424228861,14902,1129,0.07576164273251912,105.5,50,1129,,True,True
90,0.5528705559775325,88,0.44418335757711386,0.5558166424228861,14902,1129,0.07576164273251912,107.0,50,1129,,True,True
95,0.5528705559775325,88,0.44418335757711386,0.5558166424228861,14902,1129,0.07576164273251912,107.0,50,1129,,True,True
100,0.5528705559775325,88,0.44418335757711386,0.5558166424228861,14902,1129,0.07576164273251912,107.0,50,1129,,True,True
