robot_status,topic,mean_share_post_averaged,n_posts_in_status
失败,0,0.3271150316373901,5
失败,1,0.14912612163436953,5
失败,2,0.08053014647060103,5
失败,3,0.046523226406877186,5
失败,4,0.05737957590819927,5
失败,5,0.04986780702912018,5
失败,6,0.0354626970833001,5
失败,7,0.07756658090094523,5
失败,8,0.012457696646497795,5
失败,9,0.013628725840812109,5
失败,10,0.012196264137518027,5
失败,11,0.024564594777169806,5
失败,12,0.01794614923952086,5
失败,13,0.07013337515213663,5
失败,14,0.01666188817338436,5
失败,15,0.008840118962157728,5
