post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.2966404280495961,2
失败|抢救者,1,0.11645830117816536,2
失败|抢救者,2,0.12617687914801667,2
失败|抢救者,3,0.0736173277769203,2
失败|抢救者,4,0.023959458764212585,2
失败|抢救者,5,0.10011318619128466,2
失败|抢救者,6,0.19909451046972268,2
失败|抢救者,7,0.019210783557133303,2
失败|抢救者,8,0.044729124864948296,2
失败|服务者,0,0.5495495495495496,1
失败|服务者,1,0.05405405405405406,1
失败|服务者,2,0.07207207207207207,1
失败|服务者,3,0.08108108108108109,1
失败|服务者,4,0.13513513513513514,1
失败|服务者,5,0.0,1
失败|服务者,6,0.009009009009009009,1
失败|服务者,7,0.018018018018018018,1
失败|服务者,8,0.08108108108108109,1
失败|观众,0,0.3774007682458387,2
失败|观众,1,0.2376404894010528,2
失败|观众,2,0.10145468772229335,2
失败|观众,3,0.03912363067292645,2
失败|观众,4,0.06341584862711623,2
失败|观众,5,0.001564945226917058,2
失败|观众,6,0.001564945226917058,2
失败|观众,7,0.12533788590126618,2
失败|观众,8,0.052496798975672214,2
