帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,44,155,0.2838709677419355
69db34bb000000001a0348ae,1,23,155,0.14838709677419354
69db34bb000000001a0348ae,2,5,155,0.03225806451612903
69db34bb000000001a0348ae,3,7,155,0.04516129032258064
69db34bb000000001a0348ae,4,1,155,0.0064516129032258064
69db34bb000000001a0348ae,5,12,155,0.07741935483870968
69db34bb000000001a0348ae,6,59,155,0.38064516129032255
69db34bb000000001a0348ae,7,2,155,0.012903225806451613
69db34bb000000001a0348ae,8,2,155,0.012903225806451613
69df625d0000000021005c63,0,279,639,0.43661971830985913
69df625d0000000021005c63,1,173,639,0.27073552425665104
69df625d0000000021005c63,2,28,639,0.04381846635367762
69df625d0000000021005c63,3,50,639,0.0782472613458529
69df625d0000000021005c63,4,52,639,0.081377151799687
69df625d0000000021005c63,5,2,639,0.003129890453834116
69df625d0000000021005c63,6,2,639,0.003129890453834116
69df625d0000000021005c63,7,44,639,0.06885758998435054
69df625d0000000021005c63,8,9,639,0.014084507042253521
69e2583b00000000230211ea,0,194,627,0.3094098883572568
69e2583b00000000230211ea,1,53,627,0.08452950558213716
69e2583b00000000230211ea,2,138,627,0.22009569377990432
69e2583b00000000230211ea,3,64,627,0.10207336523125997
69e2583b00000000230211ea,4,26,627,0.04146730462519936
69e2583b00000000230211ea,5,77,627,0.12280701754385964
69e2583b00000000230211ea,6,11,627,0.017543859649122806
69e2583b00000000230211ea,7,16,627,0.025518341307814992
69e2583b00000000230211ea,8,48,627,0.07655502392344497
69e41e24000000001a025f1a,0,14,44,0.3181818181818182
69e41e24000000001a025f1a,1,9,44,0.20454545454545456
69e41e24000000001a025f1a,2,7,44,0.1590909090909091
69e41e24000000001a025f1a,4,2,44,0.045454545454545456
69e41e24000000001a025f1a,7,8,44,0.18181818181818182
69e41e24000000001a025f1a,8,4,44,0.09090909090909091
69e48b0b000000001a02578c,0,61,111,0.5495495495495496
69e48b0b000000001a02578c,1,6,111,0.05405405405405406
69e48b0b000000001a02578c,2,8,111,0.07207207207207207
69e48b0b000000001a02578c,3,9,111,0.08108108108108109
69e48b0b000000001a02578c,4,15,111,0.13513513513513514
69e48b0b000000001a02578c,6,1,111,0.009009009009009009
69e48b0b000000001a02578c,7,2,111,0.018018018018018018
69e48b0b000000001a02578c,8,9,111,0.08108108108108109
