帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69dfb3290000000002035b6b,,661ab2d70000000007007f3b,大家娱乐一下哈，视频里只放了一些“精彩”画面配解说，其实还有更多的机器人是跑的又稳又快的[害羞R],2026.04.15,上海,4172.0,78.0,49,失败|观众,失败,观众,10,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69ef2e5b000000002902cd01,,6304a4be000000000f006a16,机器人提供了新的就业岗位，一个机器人跑马拉松需要两个助理,2026.04.27,云南,3414.0,99.0,28,失败|服务者,失败,服务者,9,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e2f5010000000014019417,69e2f480000000001401a819,67691cf70000000018014195,这个我觉得是真实视频，因为看见过其他视角的。这跟机器人材质和重量有关吧，我觉得这个程度摔一下还是可能会碎的,2026.04.18,河北,558.0,,53,失败|抢救者,失败,抢救者,12,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcbf41000000000203506c,,593aaac950c4b47afb0c39db,机器人老了可怎么办[doge],2026.04.13,湖南,359.0,17.0,15,失败|抢救者,失败,抢救者,2,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,2,69eeedd900000000270177bf,69ecb9a7000000002803354c,5b7519e9c41c61000115d162,我也觉得。每次有人问，都一大堆人说是为了适配人类社会的设施，但我寻思守望先锋奥丽莎这种设计也行啊,2026.04.27,江苏,307.0,,48,失败|服务者,失败,服务者,14,失败,0
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间🔥🔥

",1155.0,129.0,1,69e4779b000000001401c823,,5c4c2e3700000000100190c3,机器人马拉松会不会影响真人跑者的成绩啊，感觉大家都忍不住看哈哈哈,2026.04.19,北京,188.0,5.0,32,失败|观众,失败,观众,7,失败,0
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69df8f1f000000003502b58d,,5b15533211be107220b650a7,本来我还担心自己跑不过机器人，看了视频放心些了,2026.04.15,北京,135.0,40.0,23,失败|观众,失败,观众,6,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dcb0b900000000350151ec,69dc9de80000000002029fb1,65d1e7e2000000000401d2b0,估计有专门抬机器人的机器人，你可以去抬坏了的抬机器人的机器人,2026.04.13,江苏,130.0,,30,失败|抢救者,失败,抢救者,7,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2fa8a0000000014019019,,655c2b14000000000202a6fb,其实不一定应要走人型方向的机器人，弄个轮子的也不是不行吧，实用性总比观赏性大吧,2026.04.18,广东,89.0,6.0,39,失败|抢救者,失败,抢救者,12,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69ef404c000000002b003d6a,,6672bbe60000000003031293,不懂机器人跑马拉松的意义在哪[捂脸R],2026.04.27,江西,89.0,8.0,19,失败|服务者,失败,服务者,3,失败,0
