post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.380928651889188,2
失败|抢救者,1,0.10400748420108064,2
失败|抢救者,2,0.12921511350401893,2
失败|抢救者,3,0.059602497279340166,2
失败|抢救者,4,0.13611890715390343,2
失败|抢救者,5,0.04211390495828322,2
失败|抢救者,6,0.07260247818699048,2
失败|抢救者,7,0.02040590335452584,2
失败|抢救者,8,0.049941768333428796,2
失败|抢救者,9,0.005063291139240506,2
失败|服务者,0,0.3717277486910995,1
失败|服务者,1,0.07329842931937172,1
失败|服务者,2,0.08376963350785341,1
失败|服务者,3,0.041884816753926704,1
失败|服务者,4,0.09947643979057591,1
失败|服务者,5,0.1518324607329843,1
失败|服务者,6,0.03664921465968586,1
失败|服务者,7,0.10471204188481675,1
失败|服务者,8,0.03664921465968586,1
失败|服务者,9,0.0,1
失败|观众,0,0.24330878390515537,2
失败|观众,1,0.2078992275911622,2
失败|观众,2,0.08579576073289025,2
失败|观众,3,0.19485360158074366,2
失败|观众,4,0.09796569067720495,2
失败|观众,5,0.08029459313813544,2
失败|观众,6,0.012372013651877133,2
失败|观众,7,0.0464343452487875,2
失败|观众,8,0.021263696784623674,2
失败|观众,9,0.009812286689419795,2
