帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic
69e2583b00000000230211ea,"

",,2406.0,2,69e2fc72000000001401900a,69e2fc2d000000001401b82a,618b91c8000000001000c813,恭喜你 发明了汽车,2026.04.18,湖南,7631.0,,9,失败|抢救者,失败,抢救者,3,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2fc2d000000001401b82a,,5d7ee9340000000001007f91,能不能做成四个轮子的，加一种液体就可以跑起来的那种！,2026.04.18,陕西,6166.0,158.0,26,失败|抢救者,失败,抢救者,7,失败,0
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69dfb3290000000002035b6b,,661ab2d70000000007007f3b,大家娱乐一下哈，视频里只放了一些“精彩”画面配解说，其实还有更多的机器人是跑的又稳又快的[害羞R],2026.04.15,上海,4172.0,78.0,49,失败|观众,失败,观众,10,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69ef2e5b000000002902cd01,,6304a4be000000000f006a16,机器人提供了新的就业岗位，一个机器人跑马拉松需要两个助理,2026.04.27,云南,3414.0,99.0,28,失败|服务者,失败,服务者,9,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc73fa00000000350236af,,5b825f4d72dd190001eeab6a,我还以为是机器人医生来救人[笑哭R],2026.04.13,北京,2706.0,62.0,18,失败|抢救者,失败,抢救者,4,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9de80000000002029fb1,,5bd282d60e78cd00012f0541,我有救了，以后失业可以去抬坏机器人,2026.04.13,广东,1887.0,63.0,17,失败|抢救者,失败,抢救者,4,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2f480000000001401a819,,687d0158000000000d03d43e,这AI吧，不可能啊，机器人怎么摔下也不至于摔成这样，碎哪里都是渣，我儿子的玩具从4楼掉下去都没掉渣，就是变形了,2026.04.18,山东,924.0,39.0,55,失败|抢救者,失败,抢救者,11,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e2f5010000000014019417,69e2f480000000001401a819,67691cf70000000018014195,这个我觉得是真实视频，因为看见过其他视角的。这跟机器人材质和重量有关吧，我觉得这个程度摔一下还是可能会碎的,2026.04.18,河北,558.0,,53,失败|抢救者,失败,抢救者,12,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dca1ed000000001500405a,,5b19fdb74eacab2763b1d183,机器人抢救团队—爱回收,2026.04.13,北京,384.0,10.0,11,失败|抢救者,失败,抢救者,4,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcbf41000000000203506c,,593aaac950c4b47afb0c39db,机器人老了可怎么办[doge],2026.04.13,湖南,359.0,17.0,15,失败|抢救者,失败,抢救者,2,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,2,69eeedd900000000270177bf,69ecb9a7000000002803354c,5b7519e9c41c61000115d162,我也觉得。每次有人问，都一大堆人说是为了适配人类社会的设施，但我寻思守望先锋奥丽莎这种设计也行啊,2026.04.27,江苏,307.0,,48,失败|服务者,失败,服务者,14,失败,0
69e41e24000000001a025f1a,"人形机器人半马摔倒瞬间🔥🔥

",1155.0,129.0,1,69e4779b000000001401c823,,5c4c2e3700000000100190c3,机器人马拉松会不会影响真人跑者的成绩啊，感觉大家都忍不住看哈哈哈,2026.04.19,北京,188.0,5.0,32,失败|观众,失败,观众,7,失败,0
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69df8f1f000000003502b58d,,5b15533211be107220b650a7,本来我还担心自己跑不过机器人，看了视频放心些了,2026.04.15,北京,135.0,40.0,23,失败|观众,失败,观众,6,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dcb0b900000000350151ec,69dc9de80000000002029fb1,65d1e7e2000000000401d2b0,估计有专门抬机器人的机器人，你可以去抬坏了的抬机器人的机器人,2026.04.13,江苏,130.0,,30,失败|抢救者,失败,抢救者,7,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e30308000000001401cc2f,69e2fc2d000000001401b82a,5d0a4c0a0000000016038b39,恭喜你，发明了遥控车[doge],2026.04.18,广东,112.0,,16,失败|抢救者,失败,抢救者,3,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dca76500000000020366b4,,5595d98e3397db72cdc77a8d,社会发展到机器人都有救护车了，却还没有动物救护车,2026.04.13,北京,95.0,13.0,24,失败|抢救者,失败,抢救者,6,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e2fa8a0000000014019019,,655c2b14000000000202a6fb,其实不一定应要走人型方向的机器人，弄个轮子的也不是不行吧，实用性总比观赏性大吧,2026.04.18,广东,89.0,6.0,39,失败|抢救者,失败,抢救者,12,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69ef404c000000002b003d6a,,6672bbe60000000003031293,不懂机器人跑马拉松的意义在哪[捂脸R],2026.04.27,江西,89.0,8.0,19,失败|服务者,失败,服务者,3,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69ddbd8d000000000103e0e0,69dcb1ea000000000d03c735,5dcce86d000000000100badb,不会产生医闹了[笑哭R],2026.04.14,四川,78.0,,12,失败|抢救者,失败,抢救者,2,失败,0
69e2583b00000000230211ea,"

",,2406.0,1,69e30a7a0000000014019c23,,5744128baed75813df0354d7,为啥地上要搞个减速带，是怕机器人跑得太快不减速吗,2026.04.18,上海,77.0,7.0,24,失败|抢救者,失败,抢救者,5,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,2,69f221e500000000290377f7,69ef404c000000002b003d6a,603caad20000000001009db6,给这些研发团队展示的平台，其实就是科技大赛呗，用马拉松来测试看谁做的机器人在行动能力上表现最好，不会真以为是要培养机器人参加运动会吧,2026.04.29,湖南,75.0,,66,失败|服务者,失败,服务者,20,失败,0
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,2,69e032c6000000003500aec3,69e030c20000000002028a01,54e5ca4e2e1d937249a5c279,因为叫机器人啊，做成狗的叫机器狗，做成蜘蛛的叫机器蜘蛛。。这就是中文基本的表达方法。。又不像英文出现个啥就创造一个单词出来。。。。,2026.04.16,北京,69.0,,65,失败|观众,失败,观众,15,失败,0
69e2583b00000000230211ea,"

",,2406.0,2,69e2f6cf0000000014018c16,69e2f480000000001401a819,6229c0ef000000001000787a,机器人就是很脆弱的，之前就是有一个科技馆有悬浮机器人表演，结果机器出故障了机器人直接摔成渣了,2026.04.18,江苏,67.0,,46,失败|抢救者,失败,抢救者,12,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69eae867000000001401e003,,638dbf3f000000001f01ddfc,他手里拿的是遥控器吗[笑哭R]，这玩意不就是个遥控玩具么？,2026.04.24,北京,56.0,11.0,29,失败|服务者,失败,服务者,5,失败,0
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e35c62000000001401e015,,5fcbf8f60000000001000451,这个视频外网已经有了，老外说这才是中国机器人的真实水平,2026.04.18,上海,55.0,8.0,27,失败|观众,失败,观众,7,失败,0
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69ec4f2a000000002702bb17,,5f98bf490000000001006884,这种玩意儿就是为了圈钱吗？ 跑公路早就有人发明了更好的机器人 它有四个圆形的轮子 名字叫车,2026.04.25,上海,54.0,11.0,45,失败|服务者,失败,服务者,14,失败,0
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dca2a8000000000103ef7f,,55cf6cf7e4b1cf63678f75e8,机器人还不能救人但是人已经可以救机器人了[得意R],2026.04.13,湖南,47.0,0.0,25,失败|抢救者,失败,抢救者,4,失败,0
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69dfaade0000000015001fc4,,5b59c5b111be10524113c385,红色跑最快那个，形态是不是有点涉嫌作弊了，它是蹲着跑呀，比起其他的来，重心就更稳，不容易摔倒呀。人形机器人应该是直立的吧。,2026.04.15,山东,40.0,17.0,61,失败|观众,失败,观众,14,失败,0
