帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,94,221,0.4253393665158371
69db34bb000000001a0348ae,1,20,221,0.09049773755656108
69db34bb000000001a0348ae,2,15,221,0.06787330316742081
69db34bb000000001a0348ae,3,6,221,0.027149321266968326
69db34bb000000001a0348ae,4,6,221,0.027149321266968326
69db34bb000000001a0348ae,5,15,221,0.06787330316742081
69db34bb000000001a0348ae,6,13,221,0.058823529411764705
69db34bb000000001a0348ae,7,23,221,0.10407239819004525
69db34bb000000001a0348ae,8,19,221,0.08597285067873303
69db34bb000000001a0348ae,9,10,221,0.04524886877828054
69df625d0000000021005c63,0,226,1172,0.19283276450511946
69df625d0000000021005c63,1,94,1172,0.08020477815699659
69df625d0000000021005c63,2,110,1172,0.09385665529010238
69df625d0000000021005c63,3,100,1172,0.08532423208191127
69df625d0000000021005c63,4,85,1172,0.07252559726962457
69df625d0000000021005c63,5,157,1172,0.13395904436860068
69df625d0000000021005c63,6,87,1172,0.07423208191126279
69df625d0000000021005c63,7,74,1172,0.06313993174061433
69df625d0000000021005c63,8,143,1172,0.1220136518771331
69df625d0000000021005c63,9,96,1172,0.08191126279863481
69e2583b00000000230211ea,0,260,1185,0.21940928270042195
69e2583b00000000230211ea,1,78,1185,0.06582278481012659
69e2583b00000000230211ea,2,109,1185,0.0919831223628692
69e2583b00000000230211ea,3,118,1185,0.09957805907172995
69e2583b00000000230211ea,4,110,1185,0.09282700421940929
69e2583b00000000230211ea,5,73,1185,0.06160337552742616
69e2583b00000000230211ea,6,100,1185,0.08438818565400844
69e2583b00000000230211ea,7,160,1185,0.1350210970464135
69e2583b00000000230211ea,8,74,1185,0.06244725738396625
69e2583b00000000230211ea,9,103,1185,0.08691983122362869
69e41e24000000001a025f1a,0,16,76,0.21052631578947367
69e41e24000000001a025f1a,1,11,76,0.14473684210526316
69e41e24000000001a025f1a,2,8,76,0.10526315789473684
69e41e24000000001a025f1a,3,8,76,0.10526315789473684
69e41e24000000001a025f1a,4,4,76,0.05263157894736842
69e41e24000000001a025f1a,5,5,76,0.06578947368421052
69e41e24000000001a025f1a,6,5,76,0.06578947368421052
69e41e24000000001a025f1a,7,8,76,0.10526315789473684
69e41e24000000001a025f1a,8,4,76,0.05263157894736842
69e41e24000000001a025f1a,9,7,76,0.09210526315789473
69e48b0b000000001a02578c,0,37,191,0.193717277486911
69e48b0b000000001a02578c,1,19,191,0.09947643979057591
69e48b0b000000001a02578c,2,9,191,0.04712041884816754
69e48b0b000000001a02578c,3,18,191,0.09424083769633508
69e48b0b000000001a02578c,4,9,191,0.04712041884816754
69e48b0b000000001a02578c,5,15,191,0.07853403141361257
69e48b0b000000001a02578c,6,25,191,0.13089005235602094
69e48b0b000000001a02578c,7,15,191,0.07853403141361257
69e48b0b000000001a02578c,8,23,191,0.12041884816753927
69e48b0b000000001a02578c,9,21,191,0.1099476439790576
