帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,125,221,0.5656108597285068
69db34bb000000001a0348ae,1,22,221,0.09954751131221719
69db34bb000000001a0348ae,2,17,221,0.07692307692307693
69db34bb000000001a0348ae,3,2,221,0.00904977375565611
69db34bb000000001a0348ae,4,55,221,0.248868778280543
69df625d0000000021005c63,0,315,1172,0.2687713310580205
69df625d0000000021005c63,1,128,1172,0.10921501706484642
69df625d0000000021005c63,2,37,1172,0.031569965870307165
69df625d0000000021005c63,3,49,1172,0.041808873720136516
69df625d0000000021005c63,4,643,1172,0.5486348122866894
69e2583b00000000230211ea,0,288,1185,0.2430379746835443
69e2583b00000000230211ea,1,103,1185,0.08691983122362869
69e2583b00000000230211ea,2,106,1185,0.08945147679324894
69e2583b00000000230211ea,3,93,1185,0.07848101265822785
69e2583b00000000230211ea,4,595,1185,0.5021097046413502
69e41e24000000001a025f1a,0,15,76,0.19736842105263158
69e41e24000000001a025f1a,1,13,76,0.17105263157894737
69e41e24000000001a025f1a,2,5,76,0.06578947368421052
69e41e24000000001a025f1a,3,9,76,0.11842105263157894
69e41e24000000001a025f1a,4,34,76,0.4473684210526316
69e48b0b000000001a02578c,0,62,191,0.32460732984293195
69e48b0b000000001a02578c,1,27,191,0.14136125654450263
69e48b0b000000001a02578c,2,9,191,0.04712041884816754
69e48b0b000000001a02578c,3,6,191,0.031413612565445025
69e48b0b000000001a02578c,4,87,191,0.45549738219895286
