post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.3854172633025946,2
失败|抢救者,1,0.08732649827214234,2
失败|抢救者,2,0.08629360215361705,2
失败|抢救者,3,0.051091127785096516,2
失败|抢救者,4,0.20009355251350783,2
失败|抢救者,5,0.015495351012849153,2
失败|抢救者,6,0.17428260496019246,2
失败|服务者,0,0.28272251308900526,1
失败|服务者,1,0.11518324607329843,1
失败|服务者,2,0.04712041884816754,1
失败|服务者,3,0.03664921465968586,1
失败|服务者,4,0.17277486910994763,1
失败|服务者,5,0.015706806282722512,1
失败|服务者,6,0.3298429319371728,1
失败|观众,0,0.21923836895994253,2
失败|观众,1,0.1057122328004311,2
失败|观众,2,0.038687803125561346,2
失败|观众,3,0.06926980420334111,2
失败|观众,4,0.23477636069696425,2
失败|观众,5,0.07214388359978444,2
失败|观众,6,0.26017154661397524,2
